timestamp,open,high,low,close
2004-01-02,29.98,30.04,29.78,29.86
2004-01-05,29.95,30.39,29.68,30.39
2004-01-06,30.18,30.7,30.18,30.55
2004-01-07,30.53,30.57,30.25,30.33
2004-01-08,30.3,30.4,29.97,30.15
2004-01-09,30.05,30.05,29.62,29.62
2004-01-12,29.5,29.64,29.46,29.51
2004-01-13,29.54,29.63,29.16,29.34
2004-01-14,29.22,29.75,29.22,29.44
2004-01-15,28.9,29.06,28.6,28.87
2004-01-16,28.84,29.0,28.81,28.9
2004-01-20,28.95,29.4,28.95,29.27
2004-01-21,29.35,29.7,29.24,29.55
2004-01-22,29.42,29.7,29.41,29.56
2004-01-23,29.81,29.83,29.6,29.7
2004-01-26,29.72,30.75,29.72,30.62
2004-01-27,30.62,30.66,30.42,30.6
2004-01-28,30.61,30.61,29.82,29.82
2004-01-29,29.83,30.02,29.8,29.9773
2004-01-30,29.95,29.95,29.55,29.68
2004-02-02,29.69,30.25,29.69,30.15
2004-02-03,30.0,30.15,29.94,30.07
2004-02-04,29.9,30.0,29.79,29.9
2004-02-05,30.0,30.69,30.0,30.69
2004-02-06,30.65,30.99,30.65,30.9
2004-02-09,31.0,31.0,30.66,30.81
2004-02-10,30.8,31.01,30.76,30.91
2004-02-11,30.91,31.09,30.43,31.05
2004-02-12,31.0,31.0,30.66,30.78
2004-02-13,30.88,30.98,30.65,30.67
2004-02-17,30.85,31.05,30.79,31.04
2004-02-18,30.88,31.19,30.88,30.9616
2004-02-19,30.65,31.06,30.53,30.57
2004-02-20,30.35,30.74,30.2,30.55
2004-02-23,30.58,30.75,30.25,30.43
2004-02-24,30.46,30.81,30.38,30.5886
2004-02-25,30.5,30.85,30.34,30.83
2004-02-26,30.72,31.0,30.72,30.95
2004-02-27,30.9,31.51,30.9,31.27
2004-03-01,31.27,32.16,31.27,32.09
2004-03-02,31.95,32.44,31.95,32.26
2004-03-03,32.27,32.33,32.04,32.14
2004-03-04,32.28,32.28,31.85,31.98
2004-03-05,32.0,32.11,31.82,31.95
2004-03-08,31.95,32.0,31.72,31.98
2004-03-09,31.88,32.0,31.87,31.97
2004-03-10,31.9,32.1542,31.8,32.095
2004-03-11,32.2,32.2,31.57,31.7
2004-03-12,31.36,31.6,31.25,31.58
2004-03-15,31.5,31.56,31.0,31.17
2004-03-16,31.37,31.37,30.89,31.14
2004-03-17,31.2,31.58,31.13,31.5458
2004-03-18,31.45,31.63,31.1,31.45
2004-03-19,31.06,31.46,31.06,31.3925
2004-03-22,31.14,31.25,30.95,31.0
2004-03-23,31.21,31.98,30.73,31.52
2004-03-24,31.57,32.23,31.45,31.79
2004-03-25,32.35,32.5,32.01,32.33
2004-03-26,32.29,32.78,32.14,32.4
2004-03-29,32.4,33.11,32.34,33.11
2004-03-30,33.0,33.29,32.9,33.22
2004-03-31,33.1,33.61,33.02,33.52
2004-04-01,33.44,33.74,33.31,33.61
2004-04-02,33.84,33.84,33.28,33.4
2004-04-05,33.42,33.42,33.03,33.32
2004-04-06,33.32,33.69,33.17,33.66
2004-04-07,33.66,33.79,33.42,33.65
2004-04-08,33.96,33.96,33.02,33.225
2004-04-12,33.38,33.4,32.93,33.02
2004-04-13,33.21,33.21,32.62,32.74
2004-04-14,32.59,32.91,32.59,32.88
2004-04-15,32.9,33.01,32.66,32.8
2004-04-16,32.96,33.41,32.77,33.33
2004-04-19,33.25,33.55,33.2,33.51
2004-04-20,33.45,33.63,33.1,33.1766
2004-04-21,33.12,33.52,32.91,33.38
2004-04-22,33.43,33.98,33.15,33.6834
2004-04-23,33.6,34.0,33.42,33.96
2004-04-26,33.9,33.95,33.63,33.8334
2004-04-27,33.85,34.04,33.58,33.63
2004-04-28,33.71,33.93,33.44,33.88
2004-04-29,33.85,34.8,33.85,34.5
2004-04-30,34.4,34.77,34.16,34.16
2004-05-03,34.22,34.74,34.19,34.73
2004-05-04,34.61,34.99,34.4,34.77
2004-05-05,34.63,34.91,34.55,34.7427
2004-05-06,34.74,34.75,34.28,34.44
2004-05-07,34.43,35.08,34.38,34.84
