timestamp,open,high,low,close
2004-01-02,9.9168,9.9168,9.9168,9.9168
2004-01-05,10.1644,10.1644,10.1644,10.1644
2004-01-06,10.139,10.139,10.139,10.139
2004-01-07,10.1256,10.1256,10.1256,10.1256
2004-01-08,10.1703,10.1703,10.1703,10.1703
2004-01-09,10.1405,10.1405,10.1405,10.1405
2004-01-12,10.1316,10.1316,10.1316,10.1316
2004-01-13,10.1972,10.1972,10.1972,10.1972
2004-01-14,10.1286,10.1286,10.1286,10.1286
2004-01-15,9.9914,9.9914,9.9914,9.9914
2004-01-16,9.9645,9.9645,9.9645,9.9645
2004-01-20,10.1763,10.1763,10.1763,10.1763
2004-01-21,10.2837,10.2837,10.2837,10.2837
2004-01-22,10.1733,10.1733,10.1733,10.1733
2004-01-23,10.1845,10.1845,10.1845,10.1845
2004-01-26,10.3075,10.3075,10.3075,10.3075
2004-01-27,10.2747,10.2747,10.2747,10.2747
2004-01-28,9.9765,9.9765,9.9765,9.9765
2004-01-29,9.8244,9.8244,9.8244,9.8244
2004-01-30,9.6872,9.6872,9.6872,9.6872
2004-02-02,9.7379,9.7379,9.7379,9.7379
2004-02-03,9.7916,9.7916,9.7916,9.7916
2004-02-04,9.5082,9.5082,9.5082,9.5082
2004-02-05,9.4426,9.4426,9.4426,9.4426
2004-02-06,9.6215,9.6215,9.6215,9.6215
2004-02-09,9.7051,9.7051,9.7051,9.7051
2004-02-10,9.7975,9.7975,9.7975,9.7975
2004-02-11,9.9914,9.9914,9.9914,9.9914
2004-02-12,9.9685,9.9685,9.9685,9.9685
2004-02-13,9.9884,9.9884,9.9884,9.9884
2004-02-17,10.0689,10.0689,10.0689,10.0689
2004-02-18,10.1388,10.1388,10.1388,10.1388
2004-02-19,10.1405,10.1405,10.1405,10.1405
2004-02-20,10.1077,10.1077,10.1077,10.1077
2004-02-23,10.1495,10.1495,10.1495,10.1495
2004-02-24,10.1316,10.1316,10.1316,10.1316
2004-02-25,10.1763,10.1763,10.1763,10.1763
2004-02-26,10.2718,10.2718,10.2718,10.2718
2004-02-27,10.4805,10.4805,10.4805,10.4805
2004-03-01,10.7549,10.7549,10.7549,10.7549
2004-03-02,10.4537,10.4537,10.4537,10.4537
2004-03-03,10.4895,10.4895,10.4895,10.4895
2004-03-04,10.4298,10.4298,10.4298,10.4298
2004-03-05,10.5342,10.5342,10.5342,10.5342
2004-03-08,10.5879,10.5879,10.5879,10.5879
2004-03-09,10.5491,10.5491,10.5491,10.5491
2004-03-10,10.4042,10.4042,10.4042,10.4042
2004-03-11,10.1733,10.1733,10.1733,10.1733
2004-03-12,10.2956,10.2956,10.2956,10.2956
2004-03-15,10.2986,10.2986,10.2986,10.2986
2004-03-16,10.2807,10.2807,10.2807,10.2807
