timestamp,open,high,low,close
2005-02-10,9.5,10.65,9.2,10.64
2005-02-11,10.57,10.85,10.12,10.5
2005-02-14,10.4,10.65,10.31,10.5
2005-02-15,10.51,10.51,10.0,10.05
2005-02-16,10.05,10.2,9.97,10.12
2005-02-17,10.0,10.2,9.8,9.9
2005-02-18,9.75,10.09,9.5,9.8
2005-02-22,9.75,9.85,9.55,9.7
2005-02-23,9.73,9.8,9.5,9.5
2005-02-24,9.5,10.65,9.5,10.22
2005-02-25,9.62,10.6,9.45,10.45
2005-02-28,10.5,10.7,10.34,10.54
2005-03-01,10.65,10.87,10.21,10.62
2005-03-02,10.5,11.1,10.4,10.85
2005-03-03,10.9,11.29,10.65,10.79
2005-03-04,10.88,10.88,10.6,10.7
2005-03-07,11.3,11.34,10.86,10.88
2005-03-08,10.94,10.94,10.6,10.7
2005-03-09,10.57,10.63,10.25,10.35
2005-03-10,10.3,10.47,10.05,10.4
2005-03-11,10.07,10.35,9.96,10.28
2005-03-14,10.5,10.52,10.05,10.45
2005-03-15,10.57,10.9,10.54,10.75
2005-03-16,10.94,10.99,10.6,10.99
2005-03-17,10.99,11.14,10.74,11.07
2005-03-18,11.07,11.39,11.01,11.35
2005-03-21,11.35,11.85,11.35,11.41
2005-03-22,11.42,11.45,10.97,11.05
2005-03-23,10.88,11.0,10.71,10.88
2005-03-24,10.89,11.24,10.8,11.0
2005-03-28,10.8,11.28,10.8,11.15
2005-03-29,10.9,11.05,10.89,10.9474
2005-03-30,11.0,11.07,10.62,10.925
2005-03-31,10.8,11.0,10.63,10.7701
2005-04-01,10.7,10.8,10.29,10.7
2005-04-04,10.26,10.83,10.26,10.75
2005-04-05,10.55,10.84,10.55,10.78
2005-04-06,10.78,11.02,10.68,10.7859
2005-04-07,10.7,10.94,10.7,10.83
2005-04-08,10.93,11.0,10.79,10.89
2005-04-11,11.0,11.03,10.52,10.53
2005-04-12,10.3,10.86,10.3,10.7
2005-04-13,10.78,10.81,10.5,10.59
2005-04-14,10.5,10.8,10.5,10.7442
2005-04-15,10.4,10.61,9.95,10.49
2005-04-18,10.38,10.85,10.38,10.65
2005-04-19,10.84,10.84,10.77,10.79
2005-04-20,10.84,10.95,10.38,10.4
2005-04-21,10.39,11.65,10.05,11.06
2005-04-22,10.98,14.03,10.98,13.4
2005-04-25,13.6,14.61,13.24,14.45
2005-04-26,14.43,14.55,13.93,14.09
2005-04-27,13.95,15.0,13.61,15.0
2005-04-28,14.65,15.15,14.55,14.93
2005-04-29,14.8,15.5,14.75,14.95
2005-05-02,15.0,15.192,14.81,15.1
2005-05-03,14.99,15.47,14.9,15.0
2005-05-04,15.0,15.16,14.85,15.15
2005-05-05,15.03,15.45,14.98,15.36
2005-05-06,15.3,16.01,15.21,15.89
2005-05-09,15.92,16.05,15.57,15.71
2005-05-10,15.78,15.85,14.7,14.99
2005-05-11,15.03,15.03,14.71,14.84
2005-05-12,14.83,14.85,14.41,14.85
2005-05-13,14.61,14.74,14.42,14.5
2005-05-16,14.44,14.78,14.36,14.5
2005-05-17,14.5,14.92,14.48,14.79
2005-05-18,14.89,15.34,14.85,14.99
2005-05-19,15.12,15.45,14.95,15.24
2005-05-20,15.4,16.69,15.36,16.1
2005-05-23,16.33,16.33,15.83,16.12
2005-05-24,16.01,16.6,16.01,16.29
2005-05-25,16.49,16.85,16.36,16.55
2005-05-26,16.64,17.4,16.52,17.37
2005-05-27,17.25,17.4,17.14,17.19
2005-05-31,17.33,17.33,16.93,17.17
2005-06-01,17.08,17.2,17.03,17.09
2005-06-02,17.15,17.69,17.14,17.69
2005-06-03,17.61,18.2,17.36,18.08
2005-06-06,18.38,18.42,17.9,18.12
2005-06-07,17.75,18.67,17.75,18.4
2005-06-08,18.5,18.63,18.15,18.46
2005-06-09,18.8,19.08,18.35,19.08
2005-06-10,19.07,19.25,18.9,19.24
2005-06-13,19.28,19.5,19.1,19.39
2005-06-14,19.43,19.49,18.91,19.17
2005-06-15,19.2,19.24,18.9,18.92
2005-06-16,19.0,19.09,18.42,18.86
2005-06-17,18.2,18.78,18.14,18.46
