timestamp,open,high,low,close
2004-01-02,48.6,48.6,48.6,48.6
2004-01-03,48.35,48.35,48.35,48.35
2004-01-05,49.81,49.81,49.81,49.81
2004-01-06,48.95,48.95,48.95,48.95
2004-01-07,47.44,47.44,47.44,47.44
2004-01-08,47.9,47.9,47.9,47.9
2004-01-09,48.62,48.62,48.62,48.62
2004-01-10,48.7,48.7,48.7,48.7
2004-01-12,47.5,47.5,47.5,47.5
2004-01-13,46.6,46.6,46.6,46.6
2004-01-14,44.54,44.54,44.54,44.54
2004-01-15,42.65,42.65,42.65,42.65
2004-01-16,43.08,43.08,43.08,43.08
2004-01-17,43.08,43.08,43.08,43.08
2004-01-20,43.73,43.73,43.73,43.73
2004-01-21,44.0,44.0,44.0,44.0
2004-01-22,42.82,42.82,42.82,42.82
2004-01-23,42.25,42.25,42.25,42.25
2004-01-26,41.75,41.75,41.75,41.75
2004-01-27,42.48,42.48,42.48,42.48
2004-01-28,41.96,41.96,41.96,41.96
2004-01-29,41.24,41.24,41.24,41.24
2004-01-30,41.4585,41.4585,41.4585,41.4585
2004-02-02,41.93,41.93,41.93,41.93
2004-02-03,41.77,41.77,41.77,41.77
2004-02-04,41.6031,41.6031,41.6031,41.6031
2004-02-05,42.27,42.27,42.27,42.27
2004-02-06,44.1,44.1,44.1,44.1
2004-02-07,44.1,44.1,44.1,44.1
2004-02-09,44.65,44.65,44.65,44.65
2004-02-10,44.3,44.3,44.3,44.3
2004-02-11,45.4,45.4,45.4,45.4
2004-02-12,44.8,44.8,44.8,44.8
2004-02-13,44.26,44.26,44.26,44.26
2004-02-17,45.47,45.47,45.47,45.47
2004-02-18,43.8,43.8,43.8,43.8
2004-02-19,44.04,44.04,44.04,44.04
2004-02-20,42.75,42.75,42.75,42.75
2004-02-21,42.9,42.9,42.9,42.9
2004-02-23,42.41,42.41,42.41,42.41
2004-02-24,43.76,43.76,43.76,43.76
2004-02-25,43.09,43.09,43.09,43.09
2004-02-26,43.42,43.42,43.42,43.42
2004-02-27,43.45,43.45,43.45,43.45
2004-02-28,43.46,43.46,43.46,43.46
2004-03-01,43.75,43.75,43.75,43.75
2004-03-02,42.38,42.38,42.38,42.38
2004-03-03,42.07,42.07,42.07,42.07
2004-03-04,42.56,42.56,42.56,42.56
2004-03-05,43.96,43.96,43.96,43.96
2004-03-08,43.49,43.49,43.49,43.49
2004-03-09,43.48,43.48,43.48,43.48
2004-03-10,42.3754,42.3754,42.3754,42.3754
2004-03-11,42.99,42.99,42.99,42.99
2004-03-12,42.65,42.65,42.65,42.65
2004-03-13,42.69,42.69,42.69,42.69
2004-03-15,42.1613,42.1613,42.1613,42.1613
2004-03-16,42.56,42.56,42.56,42.56
2004-03-17,43.07,43.07,43.07,43.07
2004-03-18,44.35,44.35,44.35,44.35
2004-03-19,44.3925,44.3925,44.3925,44.3925
2004-03-22,44.59,44.59,44.59,44.59
2004-03-23,44.85,44.85,44.85,44.85
2004-03-24,43.7,43.7,43.7,43.7
2004-03-25,45.2,45.2,45.2,45.2
2004-03-26,46.42,46.42,46.42,46.42
2004-03-29,46.05,46.05,46.05,46.05
2004-03-30,46.73,46.73,46.73,46.73
2004-03-31,46.63,46.63,46.63,46.63
2004-04-01,46.75,46.75,46.75,46.75
2004-04-02,45.88,45.88,45.88,45.88
2004-04-05,44.85,44.85,44.85,44.85
2004-04-06,45.5,45.5,45.5,45.5
2004-04-07,44.97,44.97,44.97,44.97
2004-04-08,45.06,45.06,45.06,45.06
2004-04-12,45.26,45.26,45.26,45.26
2004-04-13,42.9,42.9,42.9,42.9
2004-04-14,42.63,42.63,42.63,42.63
2004-04-15,43.05,43.05,43.05,43.05
2004-04-16,42.98,42.98,42.98,42.98
2004-04-19,42.43,42.43,42.43,42.43
2004-04-20,39.92,39.92,39.92,39.92
2004-04-21,39.88,39.88,39.88,39.88
2004-04-22,40.7,40.7,40.7,40.7
2004-04-23,40.4,40.4,40.4,40.4
2004-04-26,40.55,40.55,40.55,40.55
2004-04-27,40.3,40.3,40.3,40.3
2004-04-28,37.47,37.47,37.47,37.47
2004-04-29,37.52,37.52,37.52,37.52
2004-04-30,37.4,37.4,37.4,37.4
2004-05-03,37.25,37.25,37.25,37.25
2004-05-04,39.04,39.04,39.04,39.04
2004-05-05,38.61,38.61,38.61,38.61
2004-05-06,37.81,37.81,37.81,37.81
2004-05-07,35.75,35.75,35.75,35.75
2004-05-10,36.33,36.33,36.33,36.33
2004-05-11,36.84,36.84,36.84,36.84
2004-05-12,36.54,36.54,36.54,36.54
2004-05-13,36.19,36.19,36.19,36.19
2004-05-14,36.95,36.95,36.95,36.95
2004-05-17,36.91,36.91,36.91,36.91
2004-05-18,37.24,37.24,37.24,37.24
2004-05-19,38.0,38.0,38.0,38.0
2004-05-20,37.8,37.8,37.8,37.8
2004-05-21,38.31,38.31,38.31,38.31
2004-05-24,38.7406,38.7406,38.7406,38.7406
2004-05-25,39.45,39.45,39.45,39.45
2004-05-26,39.78,39.78,39.78,39.78
2004-05-27,40.17,40.17,40.17,40.17
2004-05-28,39.71,39.71,39.71,39.71
2004-06-01,39.06,39.06,39.06,39.06
2004-06-02,38.82,38.82,38.82,38.82
2004-06-03,38.48,38.48,38.48,38.48
2004-06-04,39.41,39.41,39.41,39.41
2004-06-07,39.97,39.97,39.97,39.97
2004-06-08,39.49,39.49,39.49,39.49
2004-06-09,37.51,37.51,37.51,37.51
2004-06-10,38.01,38.01,38.01,38.01
2004-06-14,36.78,36.78,36.78,36.78
2004-06-15,38.05,38.05,38.05,38.05
2004-06-16,38.04,38.04,38.04,38.04
2004-06-17,38.55,38.55,38.55,38.55
2004-06-18,39.11,39.11,39.11,39.11
2004-06-21,39.0,39.0,39.0,39.0
2004-06-22,39.07,39.07,39.07,39.07
2004-06-23,38.84,38.84,38.84,38.84
2004-06-24,39.7,39.7,39.7,39.7
2004-06-25,39.8,39.8,39.8,39.8
2004-06-28,38.81,38.81,38.81,38.81
2004-06-29,38.08,38.08,38.08,38.08
2004-06-30,38.94,38.94,38.94,38.94
2004-07-01,38.11,38.11,38.11,38.11
2004-07-02,38.87,38.87,38.87,38.87
2004-07-06,39.35,39.35,39.35,39.35
2004-07-07,41.1,41.1,41.1,41.1
2004-07-08,42.04,42.04,42.04,42.04
2004-07-09,42.31,42.31,42.31,42.31
2004-07-12,41.7,41.7,41.7,41.7
2004-07-13,41.5,41.5,41.5,41.5
2004-07-14,41.71,41.71,41.71,41.71
2004-07-15,41.93,41.93,41.93,41.93
2004-07-16,42.26,42.26,42.26,42.26
2004-07-19,41.44,41.44,41.44,41.44
2004-07-20,41.35,41.35,41.35,41.35
2004-07-21,40.12,40.12,40.12,40.12
2004-07-22,40.5,40.5,40.5,40.5
2004-07-23,38.7,38.7,38.7,38.7
2004-07-26,38.35,38.35,38.35,38.35
2004-07-27,38.95,38.95,38.95,38.95
2004-07-28,39.2,39.2,39.2,39.2
2004-07-29,39.55,39.55,39.55,39.55
2004-07-30,40.47,40.47,40.47,40.47
2004-08-02,40.36,40.36,40.36,40.36
2004-08-03,40.37,40.37,40.37,40.37
2004-08-04,39.33,39.33,39.33,39.33
2004-08-05,38.62,38.62,38.62,38.62
2004-08-06,40.64,40.64,40.64,40.64
2004-08-09,40.71,40.71,40.71,40.71
