timestamp,open,high,low,close
2004-01-02,8.51,8.51,8.51,8.51
2004-01-05,8.41,8.41,8.41,8.41
2004-01-06,8.36,8.36,8.36,8.36
2004-01-07,8.43,8.43,8.43,8.43
2004-01-08,8.4,8.4,8.4,8.4
2004-01-09,8.5,8.5,8.5,8.5
2004-01-12,8.42,8.42,8.42,8.42
2004-01-13,8.45,8.45,8.45,8.45
2004-01-14,8.55,8.55,8.55,8.55
2004-01-15,8.48,8.48,8.48,8.48
2004-01-16,8.51,8.51,8.51,8.51
2004-01-20,8.55,8.55,8.55,8.55
2004-01-21,8.53,8.53,8.53,8.53
2004-01-22,8.55,8.55,8.55,8.55
2004-01-23,8.57,8.57,8.57,8.57
2004-01-26,8.57,8.57,8.57,8.57
2004-01-27,8.58,8.58,8.58,8.58
2004-01-28,8.37,8.37,8.37,8.37
2004-01-29,8.37,8.37,8.37,8.37
2004-01-30,8.29,8.29,8.29,8.29
2004-02-02,8.28,8.28,8.28,8.28
2004-02-03,8.28,8.28,8.28,8.28
2004-02-04,8.21,8.21,8.21,8.21
2004-02-05,8.26,8.26,8.26,8.26
2004-02-06,8.38,8.38,8.38,8.38
2004-02-09,8.35,8.35,8.35,8.35
2004-02-10,8.42,8.42,8.42,8.42
2004-02-11,8.43,8.43,8.43,8.43
2004-02-12,8.39,8.39,8.39,8.39
2004-02-13,8.43,8.43,8.43,8.43
2004-02-17,8.48,8.48,8.48,8.48
2004-02-18,8.5,8.5,8.5,8.5
2004-02-19,8.5,8.5,8.5,8.5
2004-02-20,8.52,8.52,8.52,8.52
2004-02-23,8.45,8.45,8.45,8.45
2004-02-24,8.31,8.31,8.31,8.31
2004-02-25,8.34,8.34,8.34,8.34
2004-02-26,8.36,8.36,8.36,8.36
2004-02-27,8.53,8.53,8.53,8.53
2004-03-01,8.59,8.59,8.59,8.59
2004-03-02,8.6,8.6,8.6,8.6
2004-03-03,8.6,8.6,8.6,8.6
2004-03-04,8.62,8.62,8.62,8.62
2004-03-05,8.68,8.68,8.68,8.68
2004-03-08,8.79,8.79,8.79,8.79
2004-03-09,8.83,8.83,8.83,8.83
2004-03-10,8.58,8.58,8.58,8.58
2004-03-11,8.3,8.3,8.3,8.3
2004-03-12,8.45,8.45,8.45,8.45
2004-03-15,8.31,8.31,8.31,8.31
2004-03-16,8.31,8.31,8.31,8.31
2004-03-17,8.38,8.38,8.38,8.38
2004-03-18,8.46,8.46,8.46,8.46
2004-03-19,8.48,8.48,8.48,8.48
2004-03-22,8.38,8.38,8.38,8.38
2004-03-23,8.34,8.34,8.34,8.34
2004-03-24,8.29,8.29,8.29,8.29
2004-03-25,8.28,8.28,8.28,8.28
2004-03-26,8.24,8.24,8.24,8.24
2004-03-29,8.29,8.29,8.29,8.29
2004-03-30,8.34,8.34,8.34,8.34
2004-03-31,8.35,8.35,8.35,8.35
2004-04-01,8.42,8.42,8.42,8.42
2004-04-02,8.47,8.47,8.47,8.47
