timestamp,open,high,low,close
2004-01-02,23.65,23.95,23.65,23.93
2004-01-05,24.06,24.06,23.73,23.9498
2004-01-06,23.76,23.87,23.44,23.8693
2004-01-07,23.77,23.77,22.67,23.26
2004-01-08,23.25,23.3,23.03,23.21
2004-01-09,22.92,23.03,22.74,22.92
2004-01-12,22.81,23.15,22.69,22.88
2004-01-13,22.9,23.22,22.79,23.15
2004-01-14,23.08,23.08,22.8,22.95
2004-01-15,22.91,22.91,22.75,22.77
2004-01-16,22.92,23.05,22.78,22.88
2004-01-20,22.75,22.79,22.33,22.5527
2004-01-21,23.0,23.3,22.72,23.24
2004-01-22,23.14,23.28,23.04,23.2
2004-01-23,23.29,23.4,22.98,23.13
2004-01-26,23.11,23.4,23.04,23.2846
2004-01-27,23.36,23.36,22.95,23.25
2004-01-28,23.15,23.25,22.4,22.61
2004-01-29,22.66,22.68,22.1,22.1977
2004-01-30,22.28,22.3,21.75,22.3
2004-02-02,22.2,22.23,21.87,21.9
2004-02-03,21.85,22.16,21.79,21.91
2004-02-04,21.7,21.85,21.53,21.76
2004-02-05,21.85,22.13,21.85,22.03
2004-02-06,22.0,22.27,21.91,22.2
2004-02-09,22.32,22.55,22.23,22.49
2004-02-10,22.4,22.62,22.36,22.59
2004-02-11,22.51,22.88,22.42,22.7
2004-02-12,22.55,22.62,22.45,22.47
2004-02-13,22.52,22.57,22.05,22.3
2004-02-17,22.35,22.35,21.63,22.11
2004-02-18,22.21,22.44,22.18,22.3531
2004-02-19,22.45,22.6,22.34,22.38
2004-02-20,22.46,22.5,22.23,22.35
2004-02-23,22.41,22.41,21.95,22.14
2004-02-24,21.92,22.03,21.8,21.97
2004-02-25,21.99,22.08,21.7,21.75
2004-02-26,21.7,21.83,21.54,21.795
2004-02-27,21.8,22.32,21.8,22.16
2004-03-01,22.06,22.08,21.7,21.85
2004-03-02,21.84,21.88,21.6,21.7246
2004-03-03,21.02,21.55,21.02,21.47
2004-03-04,21.45,21.69,21.41,21.4575
2004-03-05,22.0,22.03,21.72,21.84
2004-03-08,21.84,21.87,21.59,21.62
2004-03-09,21.51,21.59,21.15,21.34
2004-03-10,21.12,21.34,21.0,21.1436
2004-03-11,20.85,21.33,20.74,20.96
2004-03-12,20.94,21.4,20.88,21.36
2004-03-15,21.17,21.25,20.78,20.98
2004-03-16,21.22,21.22,20.51,20.82
2004-03-17,20.93,21.17,20.73,21.15
2004-03-18,21.02,21.12,20.77,21.06
2004-03-19,20.92,20.97,20.66,20.81
2004-03-22,20.82,20.89,20.4,20.48
2004-03-23,20.9,20.98,20.5,20.6
2004-03-24,20.8,21.01,20.76,21.0
2004-03-25,21.12,21.63,20.9,21.54
2004-03-26,21.59,21.76,21.37,21.52
2004-03-29,21.69,21.87,21.48,21.76
2004-03-30,21.65,21.7,21.41,21.7
2004-03-31,21.88,22.18,21.6,22.09
2004-04-01,22.1,22.19,21.94,22.02
2004-04-02,22.3,22.4,22.12,22.35
2004-04-05,22.33,22.37,22.01,22.31
2004-04-06,22.29,22.63,22.26,22.36
2004-04-07,22.37,22.4,21.89,22.2
2004-04-08,22.22,22.29,21.86,21.91
2004-04-12,21.96,22.0,21.83,21.94
2004-04-13,21.98,22.19,21.92,22.01
2004-04-14,21.85,22.18,21.81,21.89
2004-04-15,22.1,22.19,21.94,22.12
2004-04-16,22.1,22.15,21.99,22.1
2004-04-19,22.1,22.1,21.87,21.889
2004-04-20,21.9,21.94,21.54,21.5508
2004-04-21,22.0,22.95,21.77,22.71
2004-04-22,22.95,24.31,22.9,24.24
2004-04-23,23.65,24.97,23.65,24.74
2004-04-26,24.92,24.98,23.84,23.9334
2004-04-27,24.18,24.56,24.16,24.4831
2004-04-28,24.34,24.46,24.11,24.33
2004-04-29,24.58,24.62,23.9,24.05
2004-04-30,24.06,24.19,23.82,23.82
2004-05-03,23.82,24.03,23.79,23.99
2004-05-04,23.98,24.3,23.86,24.0157
2004-05-05,23.94,24.1,23.82,23.96
2004-05-06,23.88,24.3,23.73,24.25
2004-05-07,24.01,24.04,23.6,23.67
2004-05-10,23.48,23.7,23.21,23.46
2004-05-11,23.47,23.79,23.32,23.62
2004-05-12,23.11,23.9,22.89,23.374000000000002
2004-05-13,23.83,24.31,23.8,24.18
2004-05-14,24.04,24.12,23.65,23.81
2004-05-17,23.81,23.81,23.22,23.5
2004-05-18,23.5,23.57,23.26,23.51
2004-05-19,23.62,24.0,23.39,23.49
2004-05-20,23.52,23.68,23.4,23.63
2004-05-21,23.63,23.87,23.56,23.84
2004-05-24,24.05,24.14,23.63,23.84
2004-05-25,23.53,23.83,23.36,23.76
2004-05-26,23.79,23.9,23.57,23.7
2004-05-27,23.67,24.2,23.67,24.1
2004-05-28,24.13,24.24,23.85,24.23
2004-06-01,24.2,24.26,23.89,23.99
2004-06-02,23.98,24.49,23.98,24.41
2004-06-03,24.3,24.42,24.07,24.4087
2004-06-04,24.51,24.84,24.46,24.79
2004-06-07,24.9,25.5,24.85,25.45
2004-06-08,25.25,25.44,25.18,25.44
2004-06-09,24.9,25.1,24.76,24.77
2004-06-10,25.03,25.04,24.83,24.99
2004-06-14,24.82,24.82,24.3,24.49
2004-06-15,24.55,25.02,24.55,24.82
2004-06-16,24.79,25.11,24.75,25.07
2004-06-17,25.07,25.13,24.85,25.06
2004-06-18,24.9,25.08,24.8,24.99
2004-06-21,24.95,25.15,24.93,24.94
2004-06-22,24.8,24.88,24.61,24.84
2004-06-23,24.88,25.98,24.88,25.94
2004-06-24,26.45,26.45,25.85,25.89
2004-06-25,25.95,26.0,25.72,25.85
2004-06-28,25.82,26.04,25.75,25.91
2004-06-29,25.91,26.27,25.69,26.25
2004-06-30,26.25,26.6,26.06,26.52
2004-07-01,26.47,26.55,25.7,25.7
2004-07-02,25.72,25.72,25.16,25.16
2004-07-06,25.12,25.39,25.03,25.04
2004-07-07,25.06,25.63,25.06,25.5397
2004-07-08,25.2,25.25,24.77,25.0674
2004-07-09,25.01,25.76,25.01,25.71
2004-07-12,25.82,25.85,25.48,25.8
2004-07-13,25.71,25.96,25.58,25.67
2004-07-14,25.5,25.96,25.47,25.7366
2004-07-15,25.72,25.99,25.5,25.94
2004-07-16,26.22,26.35,25.92,25.953000000000003
