timestamp,open,high,low,close
2004-01-02,20.64,21.1,20.46,20.78
2004-01-05,20.8,21.499000000000002,20.8,21.48
2004-01-06,21.42,21.87,21.03,21.76
2004-01-07,21.7,22.4,21.35,22.4
2004-01-08,22.0,22.77,21.9,22.7
2004-01-09,22.71,23.05,22.25,22.61
2004-01-12,22.63,23.75,22.59,23.33
2004-01-13,23.75,24.19,22.87,23.27
2004-01-14,23.34,23.95,22.25,22.5
2004-01-15,22.88,23.39,22.54,22.9
2004-01-16,22.92,23.74,22.92,23.55
2004-01-20,23.69,24.25,23.611,24.06
2004-01-21,24.0,24.0,23.3,23.4
2004-01-22,23.55,23.599,22.531,22.581
2004-01-23,22.6,22.9,21.26,21.63
2004-01-26,21.88,22.8,21.43,22.62
2004-01-27,22.75,23.11,22.1,22.55
2004-01-28,22.81,23.36,22.281,22.62
2004-01-29,22.4,22.816999999999997,22.01,22.61
2004-01-30,22.59,22.7,21.92,22.36
2004-02-02,22.38,22.51,21.45,21.59
2004-02-03,21.65,21.84,20.64,20.78
2004-02-04,20.7,21.46,20.421,21.0
2004-02-05,20.96,21.65,20.96,21.48
2004-02-06,21.5,22.16,21.313000000000002,21.99
2004-02-09,22.25,22.95,21.95,22.039
2004-02-10,22.06,22.37,21.82,21.99
2004-02-11,21.99,22.46,21.68,22.26
2004-02-12,22.2,22.87,22.08,22.551
2004-02-13,22.6,22.6,21.17,21.65
2004-02-17,21.92,24.45,21.49,24.39
2004-02-18,24.3,24.4,22.28,23.75
2004-02-19,24.02,24.02,22.65,22.74
2004-02-20,22.75,22.85,21.57,21.9
2004-02-23,21.9,21.99,21.56,21.78
2004-02-24,21.78,22.38,21.39,21.58
2004-02-25,21.65,22.07,21.65,21.89
2004-02-26,21.855,22.0,21.64,21.92
2004-02-27,22.02,22.45,21.39,21.66
2004-03-01,21.67,21.99,21.52,21.959
2004-03-02,21.57,22.33,21.57,22.08
2004-03-03,21.95,22.09,21.37,21.65
2004-03-04,21.69,22.25,21.65,22.19
2004-03-05,22.0,22.43,21.78,22.12
2004-03-08,22.18,22.18,20.95,20.95
2004-03-09,20.99,21.4,20.36,20.5
2004-03-10,20.6,21.11,20.41,20.81
2004-03-11,20.65,20.91,20.17,20.83
2004-03-12,20.36,20.72,20.15,20.52
2004-03-15,20.54,20.55,19.74,19.78
2004-03-16,19.8,20.6,19.79,20.35
2004-03-17,20.55,21.2,20.29,20.94
2004-03-18,20.935,21.13,20.34,20.59
2004-03-19,20.47,20.47,19.65,19.93
2004-03-22,19.65,19.97,19.28,19.86
2004-03-23,19.8,20.36,19.8,19.88
2004-03-24,19.87,20.44,19.87,20.18
2004-03-25,20.42,21.19,20.28,21.035
2004-03-26,21.15,21.51,21.06,21.3
2004-03-29,21.33,21.94,21.29,21.68
2004-03-30,21.49,22.03,21.42,22.0
2004-03-31,21.75,21.89,21.42,21.54
2004-04-01,21.55,22.43,21.54,22.15
2004-04-02,22.14,23.28,22.14,22.65
2004-04-05,22.55,22.93,22.4991,22.8
2004-04-06,22.9,22.9,22.2,22.34
2004-04-07,22.41,22.67,22.01,22.67
2004-04-08,22.62,22.86,22.5,22.62
2004-04-12,22.62,22.81,22.46,22.67
2004-04-13,22.69,22.84,21.72,21.72
2004-04-14,21.47,22.75,21.47,22.74
2004-04-15,22.55,22.8,21.62,21.62
2004-04-16,21.98,22.2,21.48,21.75
2004-04-19,21.58,22.03,21.52,21.9414
2004-04-20,21.95,22.5,21.12,21.22
2004-04-21,21.25,21.59,20.97,21.29
2004-04-22,21.22,22.17,20.96,22.13
2004-04-23,21.9,21.98,21.48,21.85
2004-04-26,21.84,21.94,20.97,21.21
2004-04-27,21.21,21.44,20.4,20.4
2004-04-28,20.5,20.92,20.15,20.31
2004-04-29,20.4,20.6,19.13,19.48
2004-04-30,19.59,19.87,18.36,18.5
