timestamp,open,high,low,close
2004-01-02,13.13,13.13,13.13,13.13
2004-01-05,13.6,13.6,13.6,13.6
2004-01-06,13.61,13.61,13.61,13.61
2004-01-07,13.98,13.98,13.98,13.98
2004-01-08,14.25,14.25,14.25,14.25
2004-01-09,14.19,14.19,14.19,14.19
2004-01-12,14.65,14.65,14.65,14.65
2004-01-13,14.34,14.34,14.34,14.34
2004-01-14,14.51,14.51,14.51,14.51
2004-01-15,14.91,14.91,14.91,14.91
2004-01-16,14.9,14.9,14.9,14.9
2004-01-20,14.64,14.64,14.64,14.64
2004-01-21,14.75,14.75,14.75,14.75
2004-01-22,14.49,14.49,14.49,14.49
2004-01-23,14.52,14.52,14.52,14.52
2004-01-26,14.46,14.46,14.46,14.46
2004-01-27,14.23,14.23,14.23,14.23
2004-01-28,13.92,13.92,13.92,13.92
2004-01-29,14.24,14.24,14.24,14.24
2004-01-30,13.84,13.84,13.84,13.84
2004-02-02,13.67,13.67,13.67,13.67
2004-02-03,13.75,13.75,13.75,13.75
2004-02-04,13.32,13.32,13.32,13.32
2004-02-05,13.59,13.59,13.59,13.59
2004-02-06,13.39,13.39,13.39,13.39
2004-02-09,13.29,13.29,13.29,13.29
2004-02-10,13.46,13.46,13.46,13.46
2004-02-11,13.71,13.71,13.71,13.71
2004-02-12,13.72,13.72,13.72,13.72
2004-02-13,13.79,13.79,13.79,13.79
2004-02-17,13.78,13.78,13.78,13.78
2004-02-18,14.04,14.04,14.04,14.04
2004-02-19,13.81,13.81,13.81,13.81
2004-02-20,13.68,13.68,13.68,13.68
2004-02-23,13.29,13.29,13.29,13.29
2004-02-24,13.3,13.3,13.3,13.3
2004-02-25,13.18,13.18,13.18,13.18
2004-02-26,13.27,13.27,13.27,13.27
2004-02-27,12.93,12.93,12.93,12.93
2004-03-01,13.15,13.15,13.15,13.15
2004-03-02,12.94,12.94,12.94,12.94
2004-03-03,12.99,12.99,12.99,12.99
2004-03-04,12.96,12.96,12.96,12.96
2004-03-05,12.74,12.74,12.74,12.74
2004-03-08,12.35,12.35,12.35,12.35
2004-03-09,12.29,12.29,12.29,12.29
2004-03-10,12.43,12.43,12.43,12.43
2004-03-11,12.12,12.12,12.12,12.12
2004-03-12,12.07,12.07,12.07,12.07
2004-03-15,11.67,11.67,11.67,11.67
2004-03-16,11.73,11.73,11.73,11.73
2004-03-17,11.85,11.85,11.85,11.85
2004-03-18,11.62,11.62,11.62,11.62
2004-03-19,11.48,11.48,11.48,11.48
2004-03-22,11.38,11.38,11.38,11.38
2004-03-23,11.43,11.43,11.43,11.43
2004-03-24,11.57,11.57,11.57,11.57
2004-03-25,11.92,11.92,11.92,11.92
2004-03-26,11.95,11.95,11.95,11.95
2004-03-29,12.06,12.06,12.06,12.06
2004-03-30,12.08,12.08,12.08,12.08
2004-03-31,12.0,12.0,12.0,12.0
2004-04-01,12.3,12.3,12.3,12.3
2004-04-02,12.61,12.61,12.61,12.61
2004-04-05,12.75,12.75,12.75,12.75
2004-04-06,12.35,12.35,12.35,12.35
2004-04-07,12.52,12.52,12.52,12.52
2004-04-08,12.37,12.37,12.37,12.37
2004-04-12,12.38,12.38,12.38,12.38
2004-04-13,12.29,12.29,12.29,12.29
2004-04-14,12.39,12.39,12.39,12.39
2004-04-15,11.98,11.98,11.98,11.98
2004-04-16,11.98,11.98,11.98,11.98
2004-04-19,12.28,12.28,12.28,12.28
2004-04-20,12.08,12.08,12.08,12.08
2004-04-21,12.01,12.01,12.01,12.01
2004-04-22,12.55,12.55,12.55,12.55
2004-04-23,12.51,12.51,12.51,12.51
2004-04-26,12.31,12.31,12.31,12.31
2004-04-27,12.15,12.15,12.15,12.15
2004-04-28,11.88,11.88,11.88,11.88
2004-04-29,11.44,11.44,11.44,11.44
2004-04-30,11.26,11.26,11.26,11.26
2004-05-03,11.32,11.32,11.32,11.32
2004-05-04,11.41,11.41,11.41,11.41
2004-05-05,11.36,11.36,11.36,11.36
2004-05-06,11.5,11.5,11.5,11.5
2004-05-07,11.45,11.45,11.45,11.45
2004-05-10,11.42,11.42,11.42,11.42
2004-05-11,11.6,11.6,11.6,11.6
2004-05-12,11.58,11.58,11.58,11.58
2004-05-13,11.64,11.64,11.64,11.64
2004-05-14,11.58,11.58,11.58,11.58
2004-05-17,11.33,11.33,11.33,11.33
2004-05-18,11.4,11.4,11.4,11.4
2004-05-19,11.32,11.32,11.32,11.32
2004-05-20,11.2,11.2,11.2,11.2
2004-05-21,11.23,11.23,11.23,11.23
2004-05-24,11.37,11.37,11.37,11.37
2004-05-25,11.46,11.46,11.46,11.46
2004-05-26,11.45,11.45,11.45,11.45
2004-05-27,11.47,11.47,11.47,11.47
2004-05-28,11.39,11.39,11.39,11.39
2004-06-01,11.18,11.18,11.18,11.18
2004-06-02,11.15,11.15,11.15,11.15
2004-06-03,11.05,11.05,11.05,11.05
2004-06-04,11.05,11.05,11.05,11.05
2004-06-07,11.36,11.36,11.36,11.36
2004-06-08,11.57,11.57,11.57,11.57
2004-06-09,11.53,11.53,11.53,11.53
2004-06-10,11.7,11.7,11.7,11.7
2004-06-14,11.56,11.56,11.56,11.56
2004-06-15,11.42,11.42,11.42,11.42
2004-06-16,11.31,11.31,11.31,11.31
2004-06-17,11.13,11.13,11.13,11.13
2004-06-18,11.13,11.13,11.13,11.13
2004-06-21,11.15,11.15,11.15,11.15
2004-06-22,11.13,11.13,11.13,11.13
2004-06-23,11.18,11.18,11.18,11.18
2004-06-24,11.54,11.54,11.54,11.54
2004-06-25,11.7,11.7,11.7,11.7
2004-06-28,11.63,11.63,11.63,11.63
2004-06-29,11.76,11.76,11.76,11.76
2004-06-30,11.91,11.91,11.91,11.91
2004-07-01,11.8,11.8,11.8,11.8
2004-07-02,11.65,11.65,11.65,11.65
2004-07-06,11.22,11.22,11.22,11.22
2004-07-07,11.0,11.0,11.0,11.0
2004-07-08,10.95,10.95,10.95,10.95
2004-07-09,11.01,11.01,11.01,11.01
2004-07-12,11.14,11.14,11.14,11.14
2004-07-13,11.0,11.0,11.0,11.0
2004-07-14,10.93,10.93,10.93,10.93
2004-07-15,10.7,10.7,10.7,10.7
2004-07-16,10.25,10.25,10.25,10.25
2004-07-19,10.33,10.33,10.33,10.33
2004-07-20,10.61,10.61,10.61,10.61
2004-07-21,10.36,10.36,10.36,10.36
2004-07-22,10.3,10.3,10.3,10.3
2004-07-23,10.12,10.12,10.12,10.12
2004-07-26,10.07,10.07,10.07,10.07
2004-07-27,10.38,10.38,10.38,10.38
2004-07-28,10.28,10.28,10.28,10.28
2004-07-29,10.41,10.41,10.41,10.41
2004-07-30,10.49,10.49,10.49,10.49
2004-08-02,10.71,10.71,10.71,10.71
2004-08-03,10.52,10.52,10.52,10.52
2004-08-04,10.82,10.82,10.82,10.82
2004-08-05,10.63,10.63,10.63,10.63
