timestamp,open,high,low,close
2004-01-02,40.5,40.84,40.38,40.49
2004-01-05,40.6,41.04,40.6,41.04
2004-01-06,41.04,41.3,40.84,41.2907
2004-01-07,41.1,41.2,40.77,40.96
2004-01-08,40.91,41.34,40.8,41.34
2004-01-09,41.34,41.34,40.6,40.87
2004-01-12,40.87,41.32,40.73,41.27
2004-01-13,41.22,41.36,40.55,40.81
2004-01-14,40.77,41.2,40.55,40.84
2004-01-15,40.89,40.89,40.15,40.32
2004-01-16,40.57,40.57,40.2,40.53
2004-01-20,40.5,40.52,39.41,40.2843
2004-01-21,40.29,40.29,39.8,40.0
2004-01-22,39.75,39.85,39.19,39.38
2004-01-23,39.39,39.43,38.9,39.13
2004-01-26,39.18,39.9,39.08,39.9
2004-01-27,40.0,40.12,39.75,39.88
2004-01-28,40.0,40.27,39.81,39.9
2004-01-29,39.95,40.4,39.9,40.2473
2004-01-30,40.3,40.68,39.91,40.58
2004-02-02,40.5,40.96,40.36,40.84
2004-02-03,40.77,40.97,39.57,39.57
2004-02-04,40.39,40.39,39.8,39.99
2004-02-05,40.0,40.4,39.8,40.12
2004-02-06,40.02,40.55,40.02,40.11
2004-02-09,40.12,40.22,39.93,40.02
2004-02-10,40.02,40.33,39.84,40.14
2004-02-11,40.02,40.27,39.91,40.16
2004-02-12,40.1,40.97,40.1,40.75
2004-02-13,40.8,41.25,40.63,41.19
2004-02-17,41.29,41.53,41.23,41.52
2004-02-18,41.25,41.31,40.99,41.1616
2004-02-19,41.4,41.86,41.4,41.69
2004-02-20,41.69,41.73,41.2,41.65
2004-02-23,41.66,41.66,41.14,41.28
2004-02-24,41.29,41.57,40.99,41.0
2004-02-25,41.06,41.33,40.9,41.27
2004-02-26,41.27,41.38,40.99,41.1
2004-02-27,41.15,41.71,41.08,41.35
2004-03-01,41.6,42.0,41.44,41.93
2004-03-02,41.93,42.18,41.67,41.8915
2004-03-03,42.07,42.68,42.07,42.37
2004-03-04,42.37,43.42,42.22,43.21
2004-03-05,43.2,43.75,42.82,43.27
2004-03-08,43.52,43.7,42.9,42.9
2004-03-09,43.1,43.42,42.69,42.9
2004-03-10,43.05,43.05,41.95,41.9953
2004-03-11,41.92,42.34,41.31,41.41
2004-03-12,41.46,41.9,41.3,41.9
2004-03-15,41.85,41.92,41.21,41.39
2004-03-16,41.54,41.91,41.45,41.77
2004-03-17,41.95,42.0,41.8,41.84
2004-03-18,41.78,42.0,41.5,41.74
2004-03-19,41.62,41.82,41.3,41.6625
2004-03-22,41.4,41.52,40.6,40.88
2004-03-23,41.1,41.39,40.86,41.05
2004-03-24,41.25,41.44,41.02,41.3
2004-03-25,41.46,41.93,41.26,41.93
2004-03-26,41.68,41.93,41.21,41.21
2004-03-29,41.35,42.0,41.35,41.9
2004-03-30,41.7,42.36,41.5,42.26
2004-03-31,42.14,42.86,41.9,42.61
2004-04-01,42.8,43.18,42.58,43.01
2004-04-02,43.45,43.46,42.6,43.18
2004-04-05,43.18,43.73,43.13,43.69
2004-04-06,43.45,43.64,43.32,43.55
2004-04-07,43.4,43.48,42.88,43.0
2004-04-08,43.25,43.49,42.7,42.775
2004-04-12,43.0,43.16,42.84,43.0
2004-04-13,43.15,43.34,42.77,42.87
2004-04-14,42.9,43.02,42.33,42.55
2004-04-15,42.5,42.74,42.23,42.68
2004-04-16,42.83,42.83,42.4,42.7
2004-04-19,42.55,43.02,42.2,42.919
2004-04-20,42.93,43.23,42.9,43.0815
2004-04-21,43.06,43.65,42.6,43.5412
2004-04-22,43.45,44.4,43.33,44.3029
2004-04-23,44.25,44.44,43.83,44.43
2004-04-26,44.35,46.0,43.69,46.0
2004-04-27,44.5,45.1,44.36,44.59
2004-04-28,44.28,44.47,44.1,44.31
2004-04-29,44.31,44.9,44.19,44.36
2004-04-30,44.37,44.76,43.75,43.75
2004-05-03,44.0,44.5,43.9,44.4
2004-05-04,44.64,44.93,44.3,44.6
2004-05-05,44.45,45.15,44.45,44.5953
2004-05-06,44.5,44.65,43.8,44.3
2004-05-07,44.05,44.55,43.66,43.7
2004-05-10,43.51,43.86,43.12,43.36
2004-05-11,43.42,43.83,43.21,43.57
2004-05-12,43.15,43.45,42.75,43.45
2004-05-13,43.29,43.43,43.05,43.28
2004-05-14,43.28,43.34,42.6,42.95
2004-05-17,42.3,43.16,42.28,42.9
2004-05-18,42.88,43.2,42.8,43.0
2004-05-19,42.94,43.5,42.7,42.75
2004-05-20,42.6,43.13,42.47,42.86
2004-05-21,43.05,43.75,42.95,43.3
2004-05-24,43.5,43.65,43.3,43.3
2004-05-25,43.4,44.59,43.23,44.58
2004-05-26,44.6,44.75,44.09,44.51
2004-05-27,44.76,44.89,44.16,44.3
2004-05-28,44.4,44.45,44.0,44.33
2004-06-01,44.45,44.45,43.74,44.0534
2004-06-02,44.15,44.26,43.79,44.15
2004-06-03,44.1,44.1,43.52,43.7151
2004-06-04,43.75,43.98,43.64,43.7
2004-06-07,43.69,44.6,43.69,44.57
2004-06-08,44.55,44.6,44.32,44.56
2004-06-09,44.7,45.21,44.54,44.65
2004-06-10,44.95,45.18,44.66,45.12
2004-06-14,44.85,45.1,44.38,44.51
2004-06-15,44.65,44.82,44.25,44.45
2004-06-16,44.44,44.51,43.82,44.19
2004-06-17,44.1,44.1,43.51,43.85
2004-06-18,43.7,44.19,43.38,43.9
2004-06-21,43.99,44.09,43.8,43.9
2004-06-22,43.3,44.15,43.3,44.07
2004-06-23,44.2,44.3,43.89,44.2
2004-06-24,44.22,44.45,43.9,44.08
2004-06-25,44.0,44.07,43.848,43.85
2004-06-28,43.95,44.32,43.85,43.89
2004-06-29,44.0,44.57,43.99,44.2
2004-06-30,44.25,44.41,43.83,44.25
2004-07-01,44.3,44.42,43.65,44.32
2004-07-02,44.33,44.41,43.8,44.3
2004-07-06,44.2,44.2,43.0,43.08
2004-07-07,43.0,43.58,42.86,43.4597
2004-07-08,43.22,43.61,43.1,43.13
2004-07-09,43.23,43.57,43.11,43.52
2004-07-12,43.45,43.75,43.18,43.56
2004-07-13,43.47,43.67,43.2,43.44
2004-07-14,43.37,43.86,42.97,43.6166
