timestamp,open,high,low,close
2004-01-02,27.22,27.22,27.22,27.22
2004-01-05,27.35,27.35,27.35,27.35
2004-01-06,27.13,27.13,27.13,27.13
2004-01-07,27.09,27.09,27.09,27.09
2004-01-08,27.16,27.16,27.16,27.16
2004-01-09,27.16,27.16,27.16,27.16
2004-01-12,27.11,27.11,27.11,27.11
2004-01-13,27.05,27.05,27.05,27.05
2004-01-14,27.39,27.39,27.39,27.39
2004-01-15,27.08,27.08,27.08,27.08
2004-01-16,27.0,27.0,27.0,27.0
2004-01-20,27.02,27.02,27.02,27.02
2004-01-21,27.4,27.4,27.4,27.4
2004-01-22,27.36,27.36,27.36,27.36
2004-01-23,27.1,27.1,27.1,27.1
2004-01-26,27.0,27.0,27.0,27.0
2004-01-27,26.6,26.6,26.6,26.6
2004-01-28,26.73,26.73,26.73,26.73
2004-01-29,26.985,26.985,26.985,26.985
2004-01-30,26.85,26.85,26.85,26.85
2004-02-02,26.78,26.78,26.78,26.78
2004-02-03,27.07,27.07,27.07,27.07
2004-02-04,27.07,27.07,27.07,27.07
2004-02-05,26.74,26.74,26.74,26.74
2004-02-06,27.04,27.04,27.04,27.04
2004-02-09,27.32,27.32,27.32,27.32
2004-02-10,27.49,27.49,27.49,27.49
2004-02-11,27.96,27.96,27.96,27.96
2004-02-12,27.3,27.3,27.3,27.3
2004-02-13,27.62,27.62,27.62,27.62
2004-02-17,28.01,28.01,28.01,28.01
2004-02-18,27.7316,27.7316,27.7316,27.7316
2004-02-19,27.73,27.73,27.73,27.73
2004-02-20,27.31,27.31,27.31,27.31
2004-02-23,27.42,27.42,27.42,27.42
2004-02-24,27.28,27.28,27.28,27.28
2004-02-25,27.55,27.55,27.55,27.55
2004-02-26,27.91,27.91,27.91,27.91
2004-02-27,28.17,28.17,28.17,28.17
2004-03-01,28.62,28.62,28.62,28.62
2004-03-02,28.274,28.274,28.274,28.274
2004-03-03,27.89,27.89,27.89,27.89
2004-03-04,27.84,27.84,27.84,27.84
2004-03-05,28.11,28.11,28.11,28.11
2004-03-08,27.76,27.76,27.76,27.76
2004-03-09,27.6,27.6,27.6,27.6
2004-03-10,27.3554,27.3554,27.3554,27.3554
2004-03-11,26.91,26.91,26.91,26.91
2004-03-12,27.54,27.54,27.54,27.54
2004-03-15,27.56,27.56,27.56,27.56
2004-03-16,28.36,28.36,28.36,28.36
2004-03-17,29.33,29.33,29.33,29.33
2004-03-18,29.01,29.01,29.01,29.01
2004-03-19,28.7,28.7,28.7,28.7
2004-03-22,28.4,28.4,28.4,28.4
2004-03-23,28.7357,28.7357,28.7357,28.7357
2004-03-24,28.87,28.87,28.87,28.87
2004-03-25,29.13,29.13,29.13,29.13
2004-03-26,28.97,28.97,28.97,28.97
2004-03-29,29.08,29.08,29.08,29.08
2004-03-30,29.12,29.12,29.12,29.12
2004-03-31,28.97,28.97,28.97,28.97
2004-04-01,29.26,29.26,29.26,29.26
2004-04-02,29.4,29.4,29.4,29.4
2004-04-05,29.93,29.93,29.93,29.93
2004-04-06,29.7699,29.7699,29.7699,29.7699
2004-04-07,29.7,29.7,29.7,29.7
2004-04-08,29.9,29.9,29.9,29.9
2004-04-12,29.43,29.43,29.43,29.43
2004-04-13,28.45,28.45,28.45,28.45
2004-04-14,28.45,28.45,28.45,28.45
2004-04-15,28.52,28.52,28.52,28.52
2004-04-16,28.66,28.66,28.66,28.66
2004-04-19,28.57,28.57,28.57,28.57
2004-04-20,28.1341,28.1341,28.1341,28.1341
2004-04-21,28.18,28.18,28.18,28.18
2004-04-22,28.5702,28.5702,28.5702,28.5702
2004-04-23,28.31,28.31,28.31,28.31
2004-04-26,28.39,28.39,28.39,28.39
2004-04-27,28.0569,28.0569,28.0569,28.0569
2004-04-28,28.18,28.18,28.18,28.18
2004-04-29,27.75,27.75,27.75,27.75
2004-04-30,27.52,27.52,27.52,27.52
2004-05-03,27.938,27.938,27.938,27.938
2004-05-04,28.13,28.13,28.13,28.13
2004-05-05,27.95,27.95,27.95,27.95
2004-05-06,27.6,27.6,27.6,27.6
2004-05-07,26.9553,26.9553,26.9553,26.9553
2004-05-10,26.23,26.23,26.23,26.23
2004-05-11,26.51,26.51,26.51,26.51
2004-05-12,26.5827,26.5827,26.5827,26.5827
2004-05-13,26.6,26.6,26.6,26.6
2004-05-14,27.14,27.14,27.14,27.14
2004-05-17,26.6093,26.6093,26.6093,26.6093
2004-05-18,26.49,26.49,26.49,26.49
2004-05-19,26.62,26.62,26.62,26.62
2004-05-20,26.71,26.71,26.71,26.71
2004-05-21,26.62,26.62,26.62,26.62
2004-05-24,26.62,26.62,26.62,26.62
2004-05-25,28.18,28.18,28.18,28.18
2004-05-26,27.9,27.9,27.9,27.9
2004-05-27,28.48,28.48,28.48,28.48
2004-05-28,28.5,28.5,28.5,28.5
2004-06-01,28.13,28.13,28.13,28.13
2004-06-02,28.5,28.5,28.5,28.5
2004-06-03,28.13,28.13,28.13,28.13
2004-06-04,27.99,27.99,27.99,27.99
2004-06-07,28.49,28.49,28.49,28.49
2004-06-08,28.2229,28.2229,28.2229,28.2229
2004-06-09,28.2,28.2,28.2,28.2
2004-06-10,28.3,28.3,28.3,28.3
2004-06-14,27.91,27.91,27.91,27.91
2004-06-15,28.07,28.07,28.07,28.07
2004-06-16,28.08,28.08,28.08,28.08
2004-06-17,27.92,27.92,27.92,27.92
2004-06-18,28.54,28.54,28.54,28.54
2004-06-21,28.43,28.43,28.43,28.43
2004-06-22,28.26,28.26,28.26,28.26
2004-06-23,28.61,28.61,28.61,28.61
2004-06-24,28.7,28.7,28.7,28.7
2004-06-25,28.33,28.33,28.33,28.33
2004-06-28,28.23,28.23,28.23,28.23
2004-06-29,27.89,27.89,27.89,27.89
2004-06-30,27.94,27.94,27.94,27.94
2004-07-01,27.8,27.8,27.8,27.8
2004-07-02,28.35,28.35,28.35,28.35
2004-07-06,28.25,28.25,28.25,28.25
2004-07-07,28.5303,28.5303,28.5303,28.5303
2004-07-08,28.11,28.11,28.11,28.11
2004-07-09,28.02,28.02,28.02,28.02
2004-07-12,28.04,28.04,28.04,28.04
2004-07-13,27.95,27.95,27.95,27.95
2004-07-14,28.17,28.17,28.17,28.17
2004-07-15,28.4252,28.4252,28.4252,28.4252
2004-07-16,28.82,28.82,28.82,28.82
2004-07-19,28.81,28.81,28.81,28.81
2004-07-20,28.9,28.9,28.9,28.9
2004-07-21,28.17,28.17,28.17,28.17
2004-07-22,28.06,28.06,28.06,28.06
2004-07-23,28.18,28.18,28.18,28.18
2004-07-26,27.9,27.9,27.9,27.9
2004-07-27,27.95,27.95,27.95,27.95
2004-07-28,27.91,27.91,27.91,27.91
2004-07-29,28.07,28.07,28.07,28.07
2004-07-30,28.54,28.54,28.54,28.54
2004-08-02,28.41,28.41,28.41,28.41
2004-08-03,28.0227,28.0227,28.0227,28.0227
2004-08-04,28.06,28.06,28.06,28.06
2004-08-05,27.67,27.67,27.67,27.67
2004-08-06,28.0314,28.0314,28.0314,28.0314
2004-08-09,27.96,27.96,27.96,27.96
2004-08-10,28.36,28.36,28.36,28.36
2004-08-11,28.23,28.23,28.23,28.23
2004-08-12,28.3,28.3,28.3,28.3
2004-08-13,28.34,28.34,28.34,28.34
2004-08-16,28.45,28.45,28.45,28.45
2004-08-17,28.47,28.47,28.47,28.47
2004-08-18,28.88,28.88,28.88,28.88
2004-08-19,28.59,28.59,28.59,28.59
2004-08-20,28.75,28.75,28.75,28.75
2004-08-23,28.54,28.54,28.54,28.54
2004-08-24,28.44,28.44,28.44,28.44
2004-08-25,28.54,28.54,28.54,28.54
2004-08-26,28.59,28.59,28.59,28.59
2004-08-27,28.49,28.49,28.49,28.49
2004-08-30,28.61,28.61,28.61,28.61
2004-08-31,29.18,29.18,29.18,29.18
2004-09-01,29.33,29.33,29.33,29.33
2004-09-02,29.41,29.41,29.41,29.41
2004-09-03,29.25,29.25,29.25,29.25
2004-09-07,29.39,29.39,29.39,29.39
2004-09-08,29.04,29.04,29.04,29.04
2004-09-09,29.17,29.17,29.17,29.17
2004-09-10,29.31,29.31,29.31,29.31
2004-09-13,29.34,29.34,29.34,29.34
2004-09-14,29.31,29.31,29.31,29.31
2004-09-15,29.7,29.7,29.7,29.7
2004-09-16,29.81,29.81,29.81,29.81
2004-09-17,29.88,29.88,29.88,29.88
2004-09-20,29.77,29.77,29.77,29.77
2004-09-21,29.89,29.89,29.89,29.89
2004-09-22,29.75,29.75,29.75,29.75
2004-09-23,29.73,29.73,29.73,29.73
2004-09-24,30.0697,30.0697,30.0697,30.0697
2004-09-27,30.14,30.14,30.14,30.14
2004-09-28,30.28,30.28,30.28,30.28
2004-09-29,30.2,30.2,30.2,30.2
2004-09-30,30.4,30.4,30.4,30.4
2004-10-01,30.46,30.46,30.46,30.46
2004-10-04,30.68,30.68,30.68,30.68
2004-10-05,30.8,30.8,30.8,30.8
2004-10-06,30.88,30.88,30.88,30.88
2004-10-07,30.8,30.8,30.8,30.8
2004-10-08,30.77,30.77,30.77,30.77
2004-10-11,30.78,30.78,30.78,30.78
2004-10-12,30.9743,30.9743,30.9743,30.9743
2004-10-13,30.77,30.77,30.77,30.77
2004-10-14,30.76,30.76,30.76,30.76
2004-10-15,30.91,30.91,30.91,30.91
2004-10-18,30.99,30.99,30.99,30.99
2004-10-19,30.89,30.89,30.89,30.89
2004-10-20,31.06,31.06,31.06,31.06
2004-10-21,31.11,31.11,31.11,31.11
2004-10-22,31.37,31.37,31.37,31.37
2004-10-25,31.77,31.77,31.77,31.77
2004-10-26,32.0,32.0,32.0,32.0
2004-10-27,32.07,32.07,32.07,32.07
2004-10-28,31.89,31.89,31.89,31.89
2004-10-29,32.04,32.04,32.04,32.04
2004-11-01,32.46,32.46,32.46,32.46
2004-11-02,31.55,31.55,31.55,31.55
2004-11-03,32.1495,32.1495,32.1495,32.1495
2004-11-04,32.94,32.94,32.94,32.94
