timestamp,open,high,low,close
2019-11-05,34.41,34.41,34.41,34.41
2019-11-06,34.53,34.53,34.53,34.53
2019-11-07,33.64,33.64,33.64,33.64
2019-11-08,33.69,33.69,33.69,33.69
2019-11-11,33.41,33.41,33.41,33.41
2019-11-12,33.25,33.25,33.25,33.25
2019-11-13,33.91,33.91,33.91,33.91
2019-11-14,33.99,33.99,33.99,33.99
2019-11-15,34.45,34.45,34.45,34.45
2019-11-18,34.75,34.75,34.75,34.75
2019-11-19,35.0,35.0,35.0,35.0
2019-11-20,35.09,35.09,35.09,35.09
2019-11-21,34.34,34.34,34.34,34.34
2019-11-22,34.4,34.4,34.4,34.4
2019-11-25,34.41,34.41,34.41,34.41
2019-11-26,34.8611,34.8611,34.8611,34.8611
2019-11-27,35.1,35.1,35.1,35.1
2019-11-29,34.88,34.88,34.88,34.88
2019-12-02,33.83,33.83,33.83,33.83
2019-12-03,34.38,34.38,34.38,34.38
2019-12-04,34.38,34.38,34.38,34.38
2019-12-05,34.53,34.53,34.53,34.53
2019-12-06,34.34,34.34,34.34,34.34
2019-12-09,34.19,34.19,34.19,34.19
2019-12-10,33.65,33.65,33.65,33.65
2019-12-11,33.19,33.19,33.19,33.19
2019-12-12,32.31,32.31,32.31,32.31
2019-12-13,32.25,32.25,32.25,32.25
2019-12-16,32.43,32.43,32.43,32.43
2019-12-17,32.03,32.03,32.03,32.03
2019-12-18,32.43,32.43,32.43,32.43
2019-12-19,32.89,32.89,32.89,32.89
2019-12-20,33.665,33.665,33.665,33.665
2019-12-23,33.42,33.42,33.42,33.42
2019-12-24,33.5,33.5,33.5,33.5
2019-12-26,33.7,33.7,33.7,33.7
2019-12-27,33.99,33.99,33.99,33.99
2019-12-30,34.2,34.2,34.2,34.2
2019-12-31,34.47,34.47,34.47,34.47
2020-01-02,33.68,33.68,33.68,33.68
2020-01-03,34.33,34.33,34.33,34.33
2020-01-06,34.65,34.65,34.65,34.65
2020-01-07,34.43,34.43,34.43,34.43
2020-01-08,34.19,34.19,34.19,34.19
2020-01-09,34.6,34.6,34.6,34.6
2020-01-10,34.93,34.93,34.93,34.93
2020-01-13,35.33,35.33,35.33,35.33
2020-01-14,35.2,35.2,35.2,35.2
2020-01-15,35.59,35.59,35.59,35.59
2020-01-16,36.43,36.43,36.43,36.43
2020-01-17,36.25,36.25,36.25,36.25
2020-01-21,36.77,36.77,36.77,36.77
2020-01-22,36.51,36.51,36.51,36.51
2020-01-23,37.03,37.03,37.03,37.03
2020-01-24,37.0,37.0,37.0,37.0
2020-01-27,36.8,36.8,36.8,36.8
2020-01-28,36.71,36.71,36.71,36.71
2020-01-29,36.66,36.66,36.66,36.66
2020-01-30,36.5,36.5,36.5,36.5
2020-01-31,35.99,35.99,35.99,35.99
2020-02-03,36.11,36.11,36.11,36.11
2020-02-04,36.7,36.7,36.7,36.7
2020-02-05,36.6,36.6,36.6,36.6
2020-02-06,36.32,36.32,36.32,36.32
2020-02-07,36.31,36.31,36.31,36.31
2020-02-10,36.9,36.9,36.9,36.9
2020-02-11,37.0,37.0,37.0,37.0
2020-02-12,36.75,36.75,36.75,36.75
2020-02-13,37.28,37.28,37.28,37.28
2020-02-14,37.31,37.31,37.31,37.31
2020-02-18,37.33,37.33,37.33,37.33
2020-02-19,36.72,36.72,36.72,36.72
2020-02-20,37.29,37.29,37.29,37.29
2020-02-21,37.15,37.15,37.15,37.15
2020-02-24,37.1,37.1,37.1,37.1
2020-02-25,35.66,35.66,35.66,35.66
2020-02-26,34.0,34.0,34.0,34.0
2020-02-27,32.5,32.5,32.5,32.5
2020-02-28,31.64,31.64,31.64,31.64
2020-03-02,32.83,32.83,32.83,32.83
2020-03-03,33.23,33.23,33.23,33.23
2020-03-04,34.57,34.57,34.57,34.57
2020-03-05,34.62,34.62,34.62,34.62
2020-03-06,33.72,33.72,33.72,33.72
2020-03-09,31.24,31.24,31.24,31.24
2020-03-10,32.1,32.1,32.1,32.1
2020-03-11,29.04,29.04,29.04,29.04
2020-03-12,25.1191,25.1191,25.1191,25.1191
2020-03-13,28.86,28.86,28.86,28.86
2020-03-16,22.27,22.27,22.27,22.27
2020-03-17,23.32,23.32,23.32,23.32
2020-03-18,20.85,20.85,20.85,20.85
2020-03-19,20.08,20.08,20.08,20.08
2020-03-20,21.1,21.1,21.1,21.1
2020-03-23,19.95,19.95,19.95,19.95
2020-03-24,21.16,21.16,21.16,21.16
2020-03-25,21.9,21.9,21.9,21.9
2020-03-26,24.32,24.32,24.32,24.32
2020-03-27,25.03,25.03,25.03,25.03
2020-03-30,24.38,24.38,24.38,24.38
2020-03-31,23.85,23.85,23.85,23.85
2020-04-01,21.29,21.29,21.29,21.29
2020-04-02,20.41,20.41,20.41,20.41
2020-04-03,20.29,20.29,20.29,20.29
2020-04-06,23.01,23.01,23.01,23.01
2020-04-07,23.9,23.9,23.9,23.9
2020-04-08,26.68,26.68,26.68,26.68
2020-04-09,28.35,28.35,28.35,28.35
2020-04-13,26.85,26.85,26.85,26.85
2020-04-14,27.34,27.34,27.34,27.34
2020-04-15,25.5,25.5,25.5,25.5
2020-04-16,24.74,24.74,24.74,24.74
2020-04-17,25.5,25.5,25.5,25.5
2020-04-20,25.39,25.39,25.39,25.39
2020-04-21,24.55,24.55,24.55,24.55
2020-04-22,24.87,24.87,24.87,24.87
2020-04-23,24.32,24.32,24.32,24.32
2020-04-24,24.23,24.23,24.23,24.23
2020-04-27,25.35,25.35,25.35,25.35
2020-04-28,26.51,26.51,26.51,26.51
2020-04-29,27.31,27.31,27.31,27.31
2020-04-30,26.15,26.15,26.15,26.15
2020-05-01,25.15,25.15,25.15,25.15
2020-05-04,25.13,25.13,25.13,25.13
2020-05-05,25.2449,25.2449,25.2449,25.2449
2020-05-06,24.1,24.1,24.1,24.1
2020-05-07,23.45,23.45,23.45,23.45
2020-05-08,24.25,24.25,24.25,24.25
2020-05-11,23.74,23.74,23.74,23.74
2020-05-12,22.14,22.14,22.14,22.14
2020-05-13,21.55,21.55,21.55,21.55
2020-05-14,22.23,22.23,22.23,22.23
2020-05-15,21.97,21.97,21.97,21.97
2020-05-18,24.02,24.02,24.02,24.02
2020-05-19,24.07,24.07,24.07,24.07
