timestamp,open,high,low,close
2008-03-31,52.0,54.2,50.42,50.97
2008-04-01,51.0,52.0,49.06,50.45
2008-04-02,50.78,52.0,50.26,51.25
2008-04-03,51.1,51.5,50.4495,50.77
2008-04-04,50.21,51.5,50.21,51.42
2008-04-07,51.5,51.74,50.51,50.61
2008-04-08,50.61,50.9,50.39,50.57
2008-04-09,50.5,50.5,49.22,49.38
2008-04-10,49.45,49.89,48.53,48.85
2008-04-11,48.8,48.8,48.1,48.17
2008-04-14,48.0,48.32,47.47,47.61
2008-04-15,48.0,48.8,47.83,48.2
2008-04-16,48.25,49.6,48.25,49.4
2008-04-17,49.46,49.96,49.46,49.87
2008-04-18,50.0,50.74,49.42,49.94
2008-04-21,50.24,50.76,49.17,50.63
2008-04-22,50.5,50.84,49.99,50.07
2008-04-23,50.82,52.31,50.75,51.71
2008-04-24,51.71,52.41,51.5124,51.66
2008-04-25,52.0,52.13,50.48,50.99
2008-04-28,51.22,51.29,50.79,50.9
2008-04-29,51.4,52.2,50.2801,51.95
2008-04-30,51.94,52.01,50.75,51.0
2008-05-01,50.75,51.15,50.64,51.0
2008-05-02,51.09,51.09,50.4505,51.06
2008-05-05,51.18,51.61,50.64,50.82
2008-05-06,50.81,51.92,50.81,51.5
2008-05-07,51.7,52.19,51.35,51.69
2008-05-08,51.6,52.4,51.52,51.7
2008-05-09,51.9,52.45,51.7,52.0
2008-05-12,51.63,52.51,51.33,52.28
2008-05-13,52.47,52.84,51.85,52.5
2008-05-14,52.73,52.8301,52.4,52.58
2008-05-15,52.5,53.34,52.11,53.21
2008-05-16,53.09,53.49,52.38,53.02
2008-05-19,53.18,53.93,52.94,53.63
2008-05-20,53.55,53.99,52.83,53.11
2008-05-21,52.87,53.16,51.77,51.77
2008-05-22,51.75,52.75,51.75,52.28
2008-05-23,52.02,52.34,51.76,51.8
2008-05-27,51.5,51.91,51.0,51.64
2008-05-28,51.58,51.84,50.8327,51.1
2008-05-29,50.98,52.13,50.98,51.99
2008-05-30,51.82,52.98,51.82,52.65
2008-06-02,52.66,52.66,51.91,52.12
2008-06-03,52.11,52.56,51.7,52.0
2008-06-04,51.67,52.27,51.52,51.55
2008-06-05,51.84,52.24,51.59,51.78
2008-06-06,51.41,51.41,50.42,50.65
2008-06-09,50.58,50.93,49.19,49.6
2008-06-10,49.48,49.6108,48.54,49.35
2008-06-11,49.37,50.6,49.37,49.86
2008-06-12,50.0,51.35,50.0,50.95
2008-06-13,51.29,51.88,50.7676,51.62
2008-06-16,51.63,51.63,50.24,50.73
2008-06-17,50.5,50.96,50.25,50.5
2008-06-18,50.25,50.4,49.81,49.9
2008-06-19,49.8,50.58,49.788999999999994,50.39
2008-06-20,50.1,50.57,49.85,50.12
2008-06-23,50.22,50.68,49.85,49.85
2008-06-24,50.0,51.53,50.0,51.48
2008-06-25,51.25,52.74,51.18,51.73
2008-06-26,51.21,51.46,50.15,50.15
2008-06-27,50.1,50.24,49.225,49.79
2008-06-30,49.83,50.155,49.3,49.39
2008-07-01,49.4,50.58,48.74,50.23
2008-07-02,50.73,51.04,49.88,50.44
2008-07-03,50.5,51.5,50.4,51.47
2008-07-07,51.38,52.29,51.2,51.85
2008-07-08,51.8,53.99,51.7575,53.58
2008-07-09,53.37,54.43,53.25,53.61
2008-07-10,54.01,54.01,52.765,53.44
2008-07-11,53.12,53.8,52.25,53.31
2008-07-14,53.4,53.86,52.82,53.56
2008-07-15,52.97,53.78,52.68,53.3
2008-07-16,53.25,53.37,51.75,52.64
2008-07-17,52.92,52.92,50.93,51.25
2008-07-18,50.92,51.38,50.14,50.75
2008-07-21,50.75,51.3,50.25,50.47
2008-07-22,50.25,52.05,50.18,51.99
2008-07-23,53.9,53.9,51.0,51.45
2008-07-24,51.25,53.06,51.25,52.46
2008-07-25,52.4,53.53,52.4,52.98
2008-07-28,52.82,53.21,52.35,52.66
2008-07-29,52.87,53.5,52.63,53.45
2008-07-30,53.48,54.0,52.6899,53.4
2008-07-31,53.5,53.71,51.35,51.71
2008-08-01,51.37,52.56,51.37,52.08
2008-08-04,51.58,54.04,51.58,53.5
2008-08-05,53.72,55.52,53.6,54.75
2008-08-06,54.82,56.075,54.78,55.1
2008-08-07,55.19,55.27,54.39,54.9
2008-08-08,54.44,55.49,54.44,55.21
2008-08-11,55.21,55.78,54.79,55.75
2008-08-12,55.51,56.24,55.51,55.6
2008-08-13,55.53,56.0,54.97,55.54
2008-08-14,55.09,55.94,55.0,55.94
2008-08-15,55.33,55.68,55.3,55.57
2008-08-18,55.21,55.66,54.92,55.01
2008-08-19,54.92,55.13,54.45,54.51
2008-08-20,54.51,54.67,54.1,54.66
2008-08-21,54.32,55.05,53.59,54.82
2008-08-22,54.82,55.5,54.0,55.49
2008-08-25,55.17,55.6,54.6,54.87
2008-08-26,54.67,55.08,54.27,54.64
2008-08-27,54.65,54.8,53.711000000000006,54.07
2008-08-28,54.09,54.24,53.565,53.85
2008-08-29,53.85,54.44,53.65,53.7
2008-09-02,53.78,55.32,53.55,54.81
2008-09-03,55.02,55.477,54.0,54.07
2008-09-04,54.0,54.1922,53.21,53.37
2008-09-05,53.27,54.2,53.0,54.0
2008-09-08,54.5,55.39,53.87,54.98
2008-09-09,55.15,55.73,54.78,54.8
2008-09-10,54.82,55.15,54.33,54.5
2008-09-11,52.96,54.78,52.96,54.78
2008-09-12,54.13,54.59,53.29,53.8
2008-09-15,52.9,54.09,52.82,52.9
2008-09-16,52.5,54.24,51.21,53.41
2008-09-17,53.2,53.2,48.27,49.2
2008-09-18,49.05,52.7,48.98,51.0
2008-09-19,51.5,52.5,50.2,51.2
2008-09-22,50.4,51.79,49.64,50.11
2008-09-23,49.82,50.74,49.25,49.98
2008-09-24,49.41,50.19,49.0,49.79
2008-09-25,50.1,52.0,49.85,50.59
2008-09-26,50.56,51.38,50.56,50.9
2008-09-29,50.3,50.83,46.3,46.92
