timestamp,open,high,low,close
2004-01-02,54.46,54.46,54.46,54.46
2004-01-05,53.76,53.76,53.76,53.76
2004-01-06,54.21,54.21,54.21,54.21
2004-01-07,54.05,54.05,54.05,54.05
2004-01-08,53.88,53.88,53.88,53.88
2004-01-09,54.05,54.05,54.05,54.05
2004-01-12,53.68,53.68,53.68,53.68
2004-01-13,52.87,52.87,52.87,52.87
2004-01-14,53.7,53.7,53.7,53.7
2004-01-15,54.43,54.43,54.43,54.43
2004-01-16,54.91,54.91,54.91,54.91
2004-01-20,54.49,54.49,54.49,54.49
2004-01-21,55.02,55.02,55.02,55.02
2004-01-22,54.93,54.93,54.93,54.93
2004-01-23,55.28,55.28,55.28,55.28
2004-01-26,56.03,56.03,56.03,56.03
2004-01-27,56.0,56.0,56.0,56.0
2004-01-28,56.25,56.25,56.25,56.25
2004-01-29,56.3473,56.3473,56.3473,56.3473
2004-01-30,56.51,56.51,56.51,56.51
2004-02-02,56.5,56.5,56.5,56.5
2004-02-03,55.76,55.76,55.76,55.76
2004-02-04,55.93,55.93,55.93,55.93
2004-02-05,55.99,55.99,55.99,55.99
2004-02-06,56.71,56.71,56.71,56.71
2004-02-09,56.44,56.44,56.44,56.44
2004-02-10,56.85,56.85,56.85,56.85
2004-02-11,57.36,57.36,57.36,57.36
2004-02-12,57.31,57.31,57.31,57.31
2004-02-13,57.17,57.17,57.17,57.17
2004-02-17,57.18,57.18,57.18,57.18
2004-02-18,56.76,56.76,56.76,56.76
2004-02-19,56.43,56.43,56.43,56.43
2004-02-20,56.51,56.51,56.51,56.51
2004-02-23,57.45,57.45,57.45,57.45
2004-02-24,56.93,56.93,56.93,56.93
2004-02-25,57.14,57.14,57.14,57.14
2004-02-26,57.66,57.66,57.66,57.66
2004-02-27,58.62,58.62,58.62,58.62
2004-03-01,58.48,58.48,58.48,58.48
2004-03-02,57.85,57.85,57.85,57.85
2004-03-03,58.0,58.0,58.0,58.0
2004-03-04,58.2,58.2,58.2,58.2
2004-03-05,58.7,58.7,58.7,58.7
2004-03-08,58.57,58.57,58.57,58.57
2004-03-09,58.47,58.47,58.47,58.47
2004-03-10,57.4556,57.4556,57.4556,57.4556
2004-03-11,56.48,56.48,56.48,56.48
2004-03-12,57.13,57.13,57.13,57.13
2004-03-15,56.2357,56.2357,56.2357,56.2357
2004-03-16,56.7,56.7,56.7,56.7
2004-03-17,57.53,57.53,57.53,57.53
2004-03-18,57.0,57.0,57.0,57.0
2004-03-19,55.9425,55.9425,55.9425,55.9425
2004-03-22,55.29,55.29,55.29,55.29
2004-03-23,55.45,55.45,55.45,55.45
2004-03-24,54.98,54.98,54.98,54.98
2004-03-25,55.77,55.77,55.77,55.77
2004-03-26,55.32,55.32,55.32,55.32
2004-03-29,55.78,55.78,55.78,55.78
2004-03-30,55.79,55.79,55.79,55.79
2004-03-31,55.42,55.42,55.42,55.42
2004-04-01,55.69,55.69,55.69,55.69
2004-04-02,54.9,54.9,54.9,54.9
2004-04-05,54.94,54.94,54.94,54.94
2004-04-06,55.19,55.19,55.19,55.19
2004-04-07,55.1,55.1,55.1,55.1
2004-04-08,54.89,54.89,54.89,54.89
2004-04-12,54.72,54.72,54.72,54.72
2004-04-13,53.33,53.33,53.33,53.33
2004-04-14,51.91,51.91,51.91,51.91
2004-04-15,51.44,51.44,51.44,51.44
2004-04-16,51.94,51.94,51.94,51.94
2004-04-19,51.059,51.059,51.059,51.059
2004-04-20,51.0155,51.0155,51.0155,51.0155
2004-04-21,51.01,51.01,51.01,51.01
2004-04-22,52.7703,52.7703,52.7703,52.7703
2004-04-23,52.49,52.49,52.49,52.49
2004-04-26,52.4,52.4,52.4,52.4
2004-04-27,52.75,52.75,52.75,52.75
2004-04-28,52.15,52.15,52.15,52.15
2004-04-29,52.45,52.45,52.45,52.45
2004-04-30,53.1,53.1,53.1,53.1
2004-05-03,54.04,54.04,54.04,54.04
2004-05-04,54.06,54.06,54.06,54.06
2004-05-05,54.4627,54.4627,54.4627,54.4627
2004-05-06,54.12,54.12,54.12,54.12
2004-05-07,52.89,52.89,52.89,52.89
2004-05-10,52.75,52.75,52.75,52.75
2004-05-11,53.02,53.02,53.02,53.02
2004-05-12,53.26,53.26,53.26,53.26
2004-05-13,53.632,53.632,53.632,53.632
2004-05-14,53.6,53.6,53.6,53.6
2004-05-17,53.4239,53.4239,53.4239,53.4239
2004-05-18,53.97,53.97,53.97,53.97
2004-05-19,54.48,54.48,54.48,54.48
2004-05-20,54.65,54.65,54.65,54.65
2004-05-21,54.95,54.95,54.95,54.95
2004-05-24,55.45,55.45,55.45,55.45
2004-05-25,55.34,55.34,55.34,55.34
2004-05-26,55.48,55.48,55.48,55.48
2004-05-27,55.38,55.38,55.38,55.38
2004-05-28,55.21,55.21,55.21,55.21
2004-06-01,54.98,54.98,54.98,54.98
2004-06-02,54.95,54.95,54.95,54.95
2004-06-03,54.84,54.84,54.84,54.84
2004-06-04,54.71,54.71,54.71,54.71
2004-06-07,55.07,55.07,55.07,55.07
2004-06-08,55.13,55.13,55.13,55.13
2004-06-09,54.6348,54.6348,54.6348,54.6348
2004-06-10,54.65,54.65,54.65,54.65
2004-06-14,53.63,53.63,53.63,53.63
2004-06-15,54.04,54.04,54.04,54.04
2004-06-16,53.86,53.86,53.86,53.86
2004-06-17,53.7,53.7,53.7,53.7
2004-06-18,53.17,53.17,53.17,53.17
2004-06-21,53.1,53.1,53.1,53.1
2004-06-22,53.88,53.88,53.88,53.88
2004-06-23,54.27,54.27,54.27,54.27
2004-06-24,53.73,53.73,53.73,53.73
2004-06-25,53.2,53.2,53.2,53.2
2004-06-28,53.28,53.28,53.28,53.28
2004-06-29,52.6,52.6,52.6,52.6
2004-06-30,53.08,53.08,53.08,53.08
2004-07-01,52.5,52.5,52.5,52.5
2004-07-02,52.74,52.74,52.74,52.74
2004-07-06,52.46,52.46,52.46,52.46
2004-07-07,52.84,52.84,52.84,52.84
2004-07-08,52.8233,52.8233,52.8233,52.8233
