timestamp,open,high,low,close
2004-01-02,28.81,28.88,28.65,28.69
2004-01-05,29.0,29.17,28.44,28.96
2004-01-06,28.96,29.05,28.63,29.02
2004-01-07,28.8,28.83,28.55,28.67
2004-01-08,28.6,28.65,28.38,28.62
2004-01-09,28.63,28.64,27.9,28.0
2004-01-12,28.1,28.13,27.32,27.92
2004-01-13,27.9,27.95,27.47,27.47
2004-01-14,27.48,27.82,27.4,27.77
2004-01-15,27.91,28.75,27.52,28.48
2004-01-16,29.62,30.8,29.6,30.11
2004-01-20,30.0,30.5,29.8,30.02
2004-01-21,30.15,30.83,29.93,30.61
2004-01-22,30.8,30.8,30.51,30.61
2004-01-23,31.05,31.11,30.82,30.98
2004-01-26,30.81,31.12,30.5,31.11
2004-01-27,30.95,31.11,30.67,31.11
2004-01-28,31.2,31.22,30.4,30.53
2004-01-29,30.54,30.62,29.8,30.37
2004-01-30,30.3,30.75,30.09,30.22
2004-02-02,30.4,30.5,30.13,30.3173
2004-02-03,30.1,30.5,30.1,30.29
2004-02-04,29.6,30.39,29.19,30.05
2004-02-05,30.1,31.24,30.1,30.55
2004-02-06,30.7,30.9,30.32,30.78
2004-02-09,31.0,31.01,30.46,30.49
2004-02-10,30.65,30.65,30.34,30.5
2004-02-11,30.53,30.79,30.5,30.7
2004-02-12,30.6,30.95,30.5,30.7
2004-02-13,31.0,31.0,30.7,30.72
2004-02-17,30.75,32.36,30.72,32.18
2004-02-18,31.85,32.0,31.5,31.71
2004-02-19,31.92,32.05,31.5,31.51
2004-02-20,31.26,31.34,30.8,31.03
2004-02-23,31.03,31.18,30.76,30.99
2004-02-24,30.76,31.54,30.74,31.34
2004-02-25,31.0,31.56,30.66,31.51
2004-02-26,31.5,33.61,31.5,33.56
2004-02-27,33.51,33.98,33.18,33.63
2004-03-01,33.58,34.73,33.58,33.96
2004-03-02,33.57,33.85,33.35,33.5482
2004-03-03,33.5,33.58,33.24,33.29
2004-03-04,33.6,34.5,33.24,34.12
2004-03-05,33.81,34.57,33.75,34.236
2004-03-08,34.0,34.71,34.0,34.4194
2004-03-09,34.23,34.54,33.75,33.84
2004-03-10,34.05,34.15,33.17,33.46
2004-03-11,33.21,33.52,32.76,32.76
2004-03-12,33.54,33.54,32.62,33.32
2004-03-15,33.2,33.37,32.57,32.57
2004-03-16,32.75,33.29,32.52,33.13
2004-03-17,33.3,34.13,33.3,33.91
2004-03-18,33.76,33.92,33.45,33.65
2004-03-19,33.5,33.82,33.47,33.57
2004-03-22,33.51,33.51,32.92,32.94
2004-03-23,33.05,33.54,32.89,33.45
2004-03-24,33.25,33.94,33.24,33.61
2004-03-25,33.77,34.58,33.77,34.43
2004-03-26,34.65,34.9,34.6,34.61
2004-03-29,34.61,34.77,34.1,34.45
2004-03-30,34.51,34.63,34.3,34.55
2004-03-31,34.45,34.45,34.21,34.29
2004-04-01,34.28,35.1,34.28,35.06
2004-04-02,35.24,35.35,34.72,35.07
2004-04-05,35.0,35.14,34.75,35.1
2004-04-06,35.05,36.4,35.02,36.33
2004-04-07,36.08,36.25,35.6,36.25
2004-04-08,36.3,36.44,34.79,35.13
2004-04-12,35.2,35.5,35.19,35.3
2004-04-13,35.4,35.55,35.12,35.13
2004-04-14,34.7,35.13,34.45,34.76
2004-04-15,34.9,35.19,34.7,34.91
2004-04-16,35.05,35.26,34.71,35.26
2004-04-19,35.2,35.5,35.0,35.5
2004-04-20,35.53,36.41,35.53,35.93
2004-04-21,35.8,36.12,35.8,36.02
2004-04-22,35.9,36.05,35.66,35.89
2004-04-23,35.65,36.2,35.55,36.1
2004-04-26,36.11,36.15,35.21,36.02
2004-04-27,36.02,37.05,36.02,36.95
2004-04-28,36.45,36.55,35.97,36.36
2004-04-29,36.36,36.47,35.02,35.05
2004-04-30,35.1,35.3,34.67,34.69
2004-05-03,34.6,34.78,33.95,34.0
2004-05-04,34.2,34.22,33.85,33.88
2004-05-05,33.85,34.0,33.56,33.71
