timestamp,open,high,low,close
2004-01-02,34.7,34.7,34.7,34.7
2004-01-05,34.3,34.3,34.3,34.3
2004-01-06,34.87,34.87,34.87,34.87
2004-01-07,36.0,36.0,36.0,36.0
2004-01-08,36.1,36.1,36.1,36.1
2004-01-09,35.91,35.91,35.91,35.91
2004-01-12,35.9,35.9,35.9,35.9
2004-01-13,35.75,35.75,35.75,35.75
2004-01-14,36.24,36.24,36.24,36.24
2004-01-15,36.4,36.4,36.4,36.4
2004-01-16,36.8,36.8,36.8,36.8
2004-01-20,36.2818,36.2818,36.2818,36.2818
2004-01-21,35.48,35.48,35.48,35.48
2004-01-22,34.77,34.77,34.77,34.77
2004-01-23,34.47,34.47,34.47,34.47
2004-01-26,35.07,35.07,35.07,35.07
2004-01-27,33.28,33.28,33.28,33.28
2004-01-28,32.92,32.92,32.92,32.92
2004-01-29,31.9473,31.9473,31.9473,31.9473
2004-01-30,32.57,32.57,32.57,32.57
2004-02-02,31.26,31.26,31.26,31.26
2004-02-03,30.7,30.7,30.7,30.7
2004-02-04,30.21,30.21,30.21,30.21
2004-02-05,30.8,30.8,30.8,30.8
2004-02-06,31.46,31.46,31.46,31.46
2004-02-09,31.7,31.7,31.7,31.7
2004-02-10,31.35,31.35,31.35,31.35
2004-02-11,32.39,32.39,32.39,32.39
2004-02-12,32.24,32.24,32.24,32.24
2004-02-13,32.46,32.46,32.46,32.46
2004-02-17,32.41,32.41,32.41,32.41
2004-02-18,31.8616,31.8616,31.8616,31.8616
2004-02-19,31.4,31.4,31.4,31.4
2004-02-20,30.45,30.45,30.45,30.45
2004-02-23,30.46,30.46,30.46,30.46
2004-02-24,29.75,29.75,29.75,29.75
2004-02-25,30.48,30.48,30.48,30.48
2004-02-26,30.8,30.8,30.8,30.8
2004-02-27,30.46,30.46,30.46,30.46
2004-03-01,30.39,30.39,30.39,30.39
2004-03-02,29.94,29.94,29.94,29.94
2004-03-03,30.24,30.24,30.24,30.24
2004-03-04,30.0,30.0,30.0,30.0
2004-03-05,29.83,29.83,29.83,29.83
2004-03-08,29.26,29.26,29.26,29.26
2004-03-09,28.57,28.57,28.57,28.57
2004-03-10,29.2,29.2,29.2,29.2
2004-03-11,29.14,29.14,29.14,29.14
2004-03-12,30.6,30.6,30.6,30.6
2004-03-15,31.24,31.24,31.24,31.24
2004-03-16,31.23,31.23,31.23,31.23
2004-03-17,32.26,32.26,32.26,32.26
2004-03-18,32.5,32.5,32.5,32.5
2004-03-19,32.2,32.2,32.2,32.2
2004-03-22,31.33,31.33,31.33,31.33
2004-03-23,31.75,31.75,31.75,31.75
2004-03-24,32.8,32.8,32.8,32.8
2004-03-25,33.11,33.11,33.11,33.11
2004-03-26,33.11,33.11,33.11,33.11
2004-03-29,33.81,33.81,33.81,33.81
2004-03-30,34.71,34.71,34.71,34.71
2004-03-31,34.67,34.67,34.67,34.67
2004-04-01,34.85,34.85,34.85,34.85
2004-04-02,35.49,35.49,35.49,35.49
2004-04-05,36.05,36.05,36.05,36.05
2004-04-06,35.95,35.95,35.95,35.95
2004-04-07,35.45,35.45,35.45,35.45
2004-04-08,35.14,35.14,35.14,35.14
2004-04-12,35.16,35.16,35.16,35.16
2004-04-13,34.51,34.51,34.51,34.51
2004-04-14,34.0,34.0,34.0,34.0
2004-04-15,33.69,33.69,33.69,33.69
2004-04-16,34.49,34.49,34.49,34.49
2004-04-19,34.589,34.589,34.589,34.589
2004-04-20,34.087,34.087,34.087,34.087
2004-04-21,34.51,34.51,34.51,34.51
2004-04-22,34.8759,34.8759,34.8759,34.8759
2004-04-23,34.46,34.46,34.46,34.46
2004-04-26,34.41,34.41,34.41,34.41
2004-04-27,34.04,34.04,34.04,34.04
2004-04-28,33.22,33.22,33.22,33.22
2004-04-29,33.12,33.12,33.12,33.12
2004-04-30,32.7,32.7,32.7,32.7
2004-05-03,33.0,33.0,33.0,33.0
2004-05-04,33.89,33.89,33.89,33.89
2004-05-05,33.9,33.9,33.9,33.9
2004-05-06,33.7,33.7,33.7,33.7
2004-05-07,33.34,33.34,33.34,33.34
2004-05-10,31.61,31.61,31.61,31.61
2004-05-11,32.6,32.6,32.6,32.6
2004-05-12,32.7606,32.7606,32.7606,32.7606
2004-05-13,32.51,32.51,32.51,32.51
2004-05-14,32.98,32.98,32.98,32.98
2004-05-17,31.66,31.66,31.66,31.66
2004-05-18,32.15,32.15,32.15,32.15
2004-05-19,32.65,32.65,32.65,32.65
2004-05-20,32.45,32.45,32.45,32.45
2004-05-21,32.48,32.48,32.48,32.48
2004-05-24,32.48,32.48,32.48,32.48
2004-05-25,33.02,33.02,33.02,33.02
2004-05-26,33.46,33.46,33.46,33.46
2004-05-27,33.89,33.89,33.89,33.89
2004-05-28,33.86,33.86,33.86,33.86
2004-06-01,34.0758,34.0758,34.0758,34.0758
2004-06-02,34.06,34.06,34.06,34.06
2004-06-03,33.26,33.26,33.26,33.26
2004-06-04,33.13,33.13,33.13,33.13
2004-06-07,33.8,33.8,33.8,33.8
2004-06-08,34.24,34.24,34.24,34.24
2004-06-09,33.68,33.68,33.68,33.68
2004-06-10,33.94,33.94,33.94,33.94
2004-06-14,34.04,34.04,34.04,34.04
2004-06-15,34.84,34.84,34.84,34.84
2004-06-16,34.91,34.91,34.91,34.91
2004-06-17,35.02,35.02,35.02,35.02
2004-06-18,35.41,35.41,35.41,35.41
2004-06-21,35.02,35.02,35.02,35.02
2004-06-22,35.05,35.05,35.05,35.05
2004-06-23,35.57,35.57,35.57,35.57
2004-06-24,35.85,35.85,35.85,35.85
2004-06-25,37.0,37.0,37.0,37.0
2004-06-28,36.38,36.38,36.38,36.38
2004-06-29,37.09,37.09,37.09,37.09
2004-06-30,37.51,37.51,37.51,37.51
2004-07-01,37.45,37.45,37.45,37.45
2004-07-02,36.84,36.84,36.84,36.84
2004-07-06,36.59,36.59,36.59,36.59
2004-07-07,36.7397,36.7397,36.7397,36.7397
2004-07-08,35.83,35.83,35.83,35.83
2004-07-09,36.2,36.2,36.2,36.2
2004-07-12,36.02,36.02,36.02,36.02
2004-07-13,35.91,35.91,35.91,35.91
2004-07-14,35.9166,35.9166,35.9166,35.9166
2004-07-15,36.335,36.335,36.335,36.335
2004-07-16,36.14,36.14,36.14,36.14
2004-07-19,36.21,36.21,36.21,36.21
2004-07-20,36.26,36.26,36.26,36.26
2004-07-21,36.05,36.05,36.05,36.05
2004-07-22,36.13,36.13,36.13,36.13
2004-07-23,35.65,35.65,35.65,35.65
2004-07-26,35.6,35.6,35.6,35.6
2004-07-27,35.97,35.97,35.97,35.97
2004-07-28,37.56,37.56,37.56,37.56
2004-07-29,37.69,37.69,37.69,37.69
2004-07-30,37.41,37.41,37.41,37.41
2004-08-02,37.4,37.4,37.4,37.4
2004-08-03,37.06,37.06,37.06,37.06
2004-08-04,37.71,37.71,37.71,37.71
2004-08-05,37.51,37.51,37.51,37.51
2004-08-06,36.2274,36.2274,36.2274,36.2274
2004-08-09,36.11,36.11,36.11,36.11
2004-08-10,37.62,37.62,37.62,37.62
2004-08-11,37.32,37.32,37.32,37.32
2004-08-12,36.84,36.84,36.84,36.84
2004-08-13,36.67,36.67,36.67,36.67
2004-08-16,37.09,37.09,37.09,37.09
