timestamp,open,high,low,close
2004-01-02,6.5325,6.5325,6.5325,6.5325
2004-01-05,6.7925,6.7925,6.7925,6.7925
2004-01-06,6.845,6.845,6.845,6.845
2004-01-07,6.925,6.925,6.925,6.925
2004-01-08,7.0125,7.0125,7.0125,7.0125
2004-01-09,7.0447,7.0447,7.0447,7.0447
2004-01-12,6.9814,6.9814,6.9814,6.9814
2004-01-13,7.02,7.02,7.02,7.02
2004-01-14,7.1251,7.1251,7.1251,7.1251
2004-01-15,7.1975,7.1975,7.1975,7.1975
2004-01-16,7.07,7.07,7.07,7.07
2004-01-20,7.03,7.03,7.03,7.03
2004-01-21,7.115,7.115,7.115,7.115
2004-01-22,7.055,7.055,7.055,7.055
2004-01-23,7.005,7.005,7.005,7.005
2004-01-26,7.0,7.0,7.0,7.0
2004-01-27,6.855,6.855,6.855,6.855
2004-01-28,6.7025,6.7025,6.7025,6.7025
2004-01-29,6.925,6.925,6.925,6.925
2004-01-30,6.9654,6.9654,6.9654,6.9654
2004-02-02,7.1,7.1,7.1,7.1
2004-02-03,7.0774,7.0774,7.0774,7.0774
2004-02-04,7.01,7.01,7.01,7.01
2004-02-05,7.2575,7.2575,7.2575,7.2575
2004-02-06,7.5525,7.5525,7.5525,7.5525
2004-02-09,7.6075,7.6075,7.6075,7.6075
2004-02-10,7.6399,7.6399,7.6399,7.6399
2004-02-11,7.7075,7.7075,7.7075,7.7075
2004-02-12,7.705,7.705,7.705,7.705
2004-02-13,7.5132,7.5132,7.5132,7.5132
2004-02-17,7.765,7.765,7.765,7.765
2004-02-18,7.8,7.8,7.8,7.8
2004-02-19,7.6,7.6,7.6,7.6
2004-02-20,7.6675,7.6675,7.6675,7.6675
2004-02-23,7.7,7.7,7.7,7.7
2004-02-24,7.8875,7.8875,7.8875,7.8875
2004-02-25,8.0,8.0,8.0,8.0
2004-02-26,8.0341,8.0341,8.0341,8.0341
2004-02-27,8.0125,8.0125,8.0125,8.0125
2004-03-01,8.2125,8.2125,8.2125,8.2125
2004-03-02,8.0841,8.0841,8.0841,8.0841
2004-03-03,7.93,7.93,7.93,7.93
2004-03-04,7.45,7.45,7.45,7.45
2004-03-05,7.432,7.432,7.432,7.432
2004-03-08,7.3653,7.3653,7.3653,7.3653
2004-03-09,7.2625,7.2625,7.2625,7.2625
2004-03-10,7.125,7.125,7.125,7.125
2004-03-11,7.0775,7.0775,7.0775,7.0775
2004-03-12,7.2575,7.2575,7.2575,7.2575
2004-03-15,7.0875,7.0875,7.0875,7.0875
2004-03-16,7.215,7.215,7.215,7.215
2004-03-17,7.3279999999999985,7.3279999999999985,7.3279999999999985,7.3279999999999985
2004-03-18,7.2925,7.2925,7.2925,7.2925
2004-03-19,7.2388,7.2388,7.2388,7.2388
2004-03-22,7.1675,7.1675,7.1675,7.1675
2004-03-23,7.125,7.125,7.125,7.125
2004-03-24,7.275,7.275,7.275,7.275
2004-03-25,7.4857,7.4857,7.4857,7.4857
2004-03-26,7.4,7.4,7.4,7.4
