timestamp,open,high,low,close
2004-03-01,47.1,47.1,47.1,47.1
2004-03-02,46.88,46.88,46.88,46.88
2004-03-03,46.54,46.54,46.54,46.54
2004-03-04,46.29,46.29,46.29,46.29
2004-03-05,46.36,46.36,46.36,46.36
2004-03-08,46.12,46.12,46.12,46.12
2004-03-09,45.63,45.63,45.63,45.63
2004-03-10,45.56,45.56,45.56,45.56
2004-03-11,44.85,44.85,44.85,44.85
2004-03-12,45.6,45.6,45.6,45.6
2004-03-15,44.25,44.25,44.25,44.25
2004-03-16,44.18,44.18,44.18,44.18
2004-03-17,44.32,44.32,44.32,44.32
2004-03-18,44.1,44.1,44.1,44.1
2004-03-19,43.77,43.77,43.77,43.77
2004-03-22,42.78,42.78,42.78,42.78
2004-03-23,42.27,42.27,42.27,42.27
2004-03-24,41.92,41.92,41.92,41.92
2004-03-25,42.3,42.3,42.3,42.3
2004-03-26,42.68,42.68,42.68,42.68
2004-03-29,43.86,43.86,43.86,43.86
2004-03-30,44.78,44.78,44.78,44.78
2004-03-31,45.38,45.38,45.38,45.38
2004-04-01,46.2,46.2,46.2,46.2
2004-04-02,46.12,46.12,46.12,46.12
2004-04-05,45.86,45.86,45.86,45.86
2004-04-06,45.3,45.3,45.3,45.3
2004-04-07,44.84,44.84,44.84,44.84
2004-04-08,45.56,45.56,45.56,45.56
2004-04-12,45.62,45.62,45.62,45.62
2004-04-13,45.45,45.45,45.45,45.45
2004-04-14,45.78,45.78,45.78,45.78
2004-04-15,45.27,45.27,45.27,45.27
2004-04-16,45.36,45.36,45.36,45.36
2004-04-19,45.79,45.79,45.79,45.79
2004-04-20,44.87,44.87,44.87,44.87
2004-04-21,44.48,44.48,44.48,44.48
2004-04-22,45.2,45.2,45.2,45.2
2004-04-23,45.02,45.02,45.02,45.02
2004-04-26,45.03,45.03,45.03,45.03
2004-04-27,45.24,45.24,45.24,45.24
2004-04-28,44.5,44.5,44.5,44.5
2004-04-29,44.18,44.18,44.18,44.18
2004-04-30,44.13,44.13,44.13,44.13
2004-05-03,43.9,43.9,43.9,43.9
2004-05-04,43.77,43.77,43.77,43.77
2004-05-05,43.97,43.97,43.97,43.97
2004-05-06,43.71,43.71,43.71,43.71
2004-05-07,45.0,45.0,45.0,45.0
2004-05-10,44.02,44.02,44.02,44.02
2004-05-11,44.22,44.22,44.22,44.22
2004-05-12,43.82,43.82,43.82,43.82
2004-05-13,43.46,43.46,43.46,43.46
2004-05-14,43.66,43.66,43.66,43.66
2004-05-17,42.75,42.75,42.75,42.75
2004-05-18,43.24,43.24,43.24,43.24
2004-05-19,43.31,43.31,43.31,43.31
2004-05-20,43.35,43.35,43.35,43.35
2004-05-21,43.58,43.58,43.58,43.58
2004-05-24,43.58,43.58,43.58,43.58
2004-05-25,44.25,44.25,44.25,44.25
2004-05-26,44.28,44.28,44.28,44.28
2004-05-27,45.06,45.06,45.06,45.06
2004-05-28,45.39,45.39,45.39,45.39
2004-06-01,46.08,46.08,46.08,46.08
2004-06-02,46.6,46.6,46.6,46.6
2004-06-03,46.53,46.53,46.53,46.53
2004-06-04,46.58,46.58,46.58,46.58
2004-06-07,46.42,46.42,46.42,46.42
2004-06-08,46.58,46.58,46.58,46.58
2004-06-09,47.04,47.04,47.04,47.04
2004-06-10,47.4,47.4,47.4,47.4
2004-06-14,47.4,47.4,47.4,47.4
2004-06-15,48.03,48.03,48.03,48.03
2004-06-16,48.26,48.26,48.26,48.26
2004-06-17,48.51,48.51,48.51,48.51
2004-06-18,48.39,48.39,48.39,48.39
2004-06-21,48.32,48.32,48.32,48.32
2004-06-22,48.68,48.68,48.68,48.68
2004-06-23,49.47,49.47,49.47,49.47
2004-06-24,49.5,49.5,49.5,49.5
2004-06-25,49.23,49.23,49.23,49.23
2004-06-28,48.92,48.92,48.92,48.92
2004-06-29,49.64,49.64,49.64,49.64
2004-06-30,49.42,49.42,49.42,49.42
2004-07-01,48.84,48.84,48.84,48.84
2004-07-02,48.86,48.86,48.86,48.86
2004-07-06,48.33,48.33,48.33,48.33
2004-07-07,47.82,47.82,47.82,47.82
2004-07-08,47.3,47.3,47.3,47.3
2004-07-09,47.5,47.5,47.5,47.5
2004-07-12,47.8,47.8,47.8,47.8
2004-07-13,47.46,47.46,47.46,47.46
2004-07-14,46.64,46.64,46.64,46.64
2004-07-15,46.56,46.56,46.56,46.56
2004-07-16,46.92,46.92,46.92,46.92
2004-07-19,47.28,47.28,47.28,47.28
2004-07-20,47.85,47.85,47.85,47.85
2004-07-21,47.22,47.22,47.22,47.22
2004-07-22,46.2,46.2,46.2,46.2
2004-07-23,45.93,45.93,45.93,45.93
2004-07-26,45.9,45.9,45.9,45.9
2004-07-27,46.8,46.8,46.8,46.8
2004-07-28,46.5,46.5,46.5,46.5
2004-07-29,46.95,46.95,46.95,46.95
2004-07-30,47.61,47.61,47.61,47.61
2004-08-02,47.59,47.59,47.59,47.59
2004-08-03,47.34,47.34,47.34,47.34
2004-08-04,46.29,46.29,46.29,46.29
2004-08-05,46.48,46.48,46.48,46.48
2004-08-06,44.61,44.61,44.61,44.61
2004-08-09,45.26,45.26,45.26,45.26
2004-08-10,45.16,45.16,45.16,45.16
2004-08-11,44.96,44.96,44.96,44.96
2004-08-12,44.56,44.56,44.56,44.56
2004-08-13,44.13,44.13,44.13,44.13
2004-08-16,44.4,44.4,44.4,44.4
2004-08-17,44.98,44.98,44.98,44.98
2004-08-18,45.34,45.34,45.34,45.34
2004-08-19,45.27,45.27,45.27,45.27
2004-08-20,45.38,45.38,45.38,45.38
2004-08-23,46.02,46.02,46.02,46.02
2004-08-24,45.9,45.9,45.9,45.9
2004-08-25,45.68,45.68,45.68,45.68
2004-08-26,45.8,45.8,45.8,45.8
2004-08-27,47.25,47.25,47.25,47.25
2004-08-30,46.47,46.47,46.47,46.47
2004-08-31,46.1,46.1,46.1,46.1
2004-09-01,46.77,46.77,46.77,46.77
2004-09-02,47.07,47.07,47.07,47.07
2004-09-03,47.73,47.73,47.73,47.73
2004-09-07,47.92,47.92,47.92,47.92
2004-09-08,47.6,47.6,47.6,47.6
2004-09-09,47.91,47.91,47.91,47.91
2004-09-10,47.76,47.76,47.76,47.76
2004-09-13,47.84,47.84,47.84,47.84
2004-09-14,47.62,47.62,47.62,47.62
2004-09-15,47.04,47.04,47.04,47.04
2004-09-16,47.63,47.63,47.63,47.63
2004-09-17,47.98,47.98,47.98,47.98
2004-09-20,47.36,47.36,47.36,47.36
2004-09-21,47.76,47.76,47.76,47.76
2004-09-22,48.52,48.52,48.52,48.52
2004-09-23,48.0,48.0,48.0,48.0
2004-09-24,47.55,47.55,47.55,47.55
2004-09-27,47.18,47.18,47.18,47.18
2004-09-28,47.56,47.56,47.56,47.56
2004-09-29,47.13,47.13,47.13,47.13
2004-09-30,46.98,46.98,46.98,46.98
2004-10-01,47.19,47.19,47.19,47.19
2004-10-04,47.13,47.13,47.13,47.13
2004-10-05,47.71,47.71,47.71,47.71
2004-10-06,47.82,47.82,47.82,47.82
2004-10-07,47.01,47.01,47.01,47.01
2004-10-08,47.01,47.01,47.01,47.01
2004-10-11,47.0,47.0,47.0,47.0
2004-10-12,47.56,47.56,47.56,47.56
2004-10-13,46.85,46.85,46.85,46.85
2004-10-14,46.65,46.65,46.65,46.65
2004-10-15,46.82,46.82,46.82,46.82
2004-10-18,47.55,47.55,47.55,47.55
2004-10-19,46.98,46.98,46.98,46.98
2004-10-20,47.02,47.02,47.02,47.02
2004-10-21,46.48,46.48,46.48,46.48
2004-10-22,46.36,46.36,46.36,46.36
2004-10-25,46.54,46.54,46.54,46.54
2004-10-26,46.9,46.9,46.9,46.9
2004-10-27,47.18,47.18,47.18,47.18
2004-10-28,47.18,47.18,47.18,47.18
2004-10-29,47.18,47.18,47.18,47.18
2004-11-01,47.24,47.24,47.24,47.24
2004-11-02,48.21,48.21,48.21,48.21
2004-11-03,49.27,49.27,49.27,49.27
2004-11-04,49.54,49.54,49.54,49.54
2004-11-05,51.86,51.86,51.86,51.86
2004-11-08,51.63,51.63,51.63,51.63
2004-11-09,52.07,52.07,52.07,52.07
2004-11-10,51.74,51.74,51.74,51.74
2004-11-11,51.7,51.7,51.7,51.7
2004-11-12,51.9,51.9,51.9,51.9
2004-11-15,52.02,52.02,52.02,52.02
2004-11-16,51.68,51.68,51.68,51.68
2004-11-17,51.98,51.98,51.98,51.98
2004-11-18,52.62,52.62,52.62,52.62
2004-11-19,52.36,52.36,52.36,52.36
2004-11-22,52.16,52.16,52.16,52.16
2004-11-23,52.22,52.22,52.22,52.22
2004-11-24,52.28,52.28,52.28,52.28
2004-11-26,52.23,52.23,52.23,52.23
2004-11-29,52.05,52.05,52.05,52.05
2004-11-30,52.1,52.1,52.1,52.1
2004-12-01,51.86,51.86,51.86,51.86
2004-12-02,51.57,51.57,51.57,51.57
2004-12-03,51.75,51.75,51.75,51.75
2004-12-06,51.38,51.38,51.38,51.38
2004-12-07,50.67,50.67,50.67,50.67
2004-12-08,50.37,50.37,50.37,50.37
2004-12-09,50.25,50.25,50.25,50.25
2004-12-10,50.28,50.28,50.28,50.28
2004-12-13,50.53,50.53,50.53,50.53
2004-12-14,51.51,51.51,51.51,51.51
2004-12-15,51.16,51.16,51.16,51.16
2004-12-16,51.34,51.34,51.34,51.34
2004-12-17,51.15,51.15,51.15,51.15
2004-12-20,51.32,51.32,51.32,51.32
2004-12-21,51.94,51.94,51.94,51.94
2004-12-22,52.44,52.44,52.44,52.44
2004-12-23,52.53,52.53,52.53,52.53
2004-12-27,52.65,52.65,52.65,52.65
2004-12-28,52.71,52.71,52.71,52.71
2004-12-29,52.88,52.88,52.88,52.88
2004-12-30,52.89,52.89,52.89,52.89
2004-12-31,52.94,52.94,52.94,52.94
2005-01-03,52.23,52.23,52.23,52.23
2005-01-04,51.52,51.52,51.52,51.52
2005-01-05,50.85,50.85,50.85,50.85
2005-01-06,50.85,50.85,50.85,50.85
2005-01-07,50.71,50.71,50.71,50.71
2005-01-10,50.22,50.22,50.22,50.22
2005-01-11,50.08,50.08,50.08,50.08
2005-01-12,49.86,49.86,49.86,49.86
2005-01-13,50.14,50.14,50.14,50.14
2005-01-14,50.31,50.31,50.31,50.31
2005-01-18,50.55,50.55,50.55,50.55
2005-01-19,50.85,50.85,50.85,50.85
2005-01-20,49.88,49.88,49.88,49.88
2005-01-21,49.65,49.65,49.65,49.65
2005-01-24,49.04,49.04,49.04,49.04
2005-01-25,49.17,49.17,49.17,49.17
2005-01-26,49.4,49.4,49.4,49.4
2005-01-27,49.3,49.3,49.3,49.3
2005-01-28,49.58,49.58,49.58,49.58
2005-01-31,50.18,50.18,50.18,50.18
2005-02-01,50.62,50.62,50.62,50.62
2005-02-02,51.04,51.04,51.04,51.04
2005-02-03,50.91,50.91,50.91,50.91
2005-02-04,51.08,51.08,51.08,51.08
2005-02-07,51.15,51.15,51.15,51.15
2005-02-08,51.14,51.14,51.14,51.14
2005-02-09,50.61,50.61,50.61,50.61
2005-02-10,50.18,50.18,50.18,50.18
2005-02-11,49.84,49.84,49.84,49.84
2005-02-14,49.72,49.72,49.72,49.72
2005-02-15,49.71,49.71,49.71,49.71
2005-02-16,49.77,49.77,49.77,49.77
2005-02-17,49.68,49.68,49.68,49.68
2005-02-18,49.5,49.5,49.5,49.5
2005-02-22,49.17,49.17,49.17,49.17
2005-02-23,49.3,49.3,49.3,49.3
2005-02-24,49.88,49.88,49.88,49.88
2005-02-25,50.02,50.02,50.02,50.02
2005-02-28,49.82,49.82,49.82,49.82
2005-03-01,49.62,49.62,49.62,49.62
2005-03-02,47.94,47.94,47.94,47.94
2005-03-03,47.5,47.5,47.5,47.5
2005-03-04,47.92,47.92,47.92,47.92
2005-03-07,47.4,47.4,47.4,47.4
2005-03-08,47.0,47.0,47.0,47.0
2005-03-09,46.17,46.17,46.17,46.17
2005-03-10,45.92,45.92,45.92,45.92
2005-03-11,45.82,45.82,45.82,45.82
2005-03-14,46.22,46.22,46.22,46.22
2005-03-15,46.17,46.17,46.17,46.17
2005-03-16,45.16,45.16,45.16,45.16
2005-03-17,44.93,44.93,44.93,44.93
2005-03-18,45.39,45.39,45.39,45.39
2005-03-21,45.66,45.66,45.66,45.66
2005-03-22,46.12,46.12,46.12,46.12
2005-03-23,46.41,46.41,46.41,46.41
2005-03-24,46.68,46.68,46.68,46.68
2005-03-28,47.04,47.04,47.04,47.04
2005-03-29,46.52,46.52,46.52,46.52
2005-03-30,47.07,47.07,47.07,47.07
2005-03-31,47.43,47.43,47.43,47.43
2005-04-01,47.5,47.5,47.5,47.5
2005-04-04,46.94,46.94,46.94,46.94
2005-04-05,47.22,47.22,47.22,47.22
2005-04-06,47.2,47.2,47.2,47.2
2005-04-07,47.58,47.58,47.58,47.58
2005-04-08,47.04,47.04,47.04,47.04
2005-04-11,50.32,50.32,50.32,50.32
2005-04-12,50.55,50.55,50.55,50.55
2005-04-13,49.88,49.88,49.88,49.88
2005-04-14,49.71,49.71,49.71,49.71
2005-04-15,49.34,49.34,49.34,49.34
2005-04-18,49.7,49.7,49.7,49.7
2005-04-19,49.48,49.48,49.48,49.48
2005-04-20,49.05,49.05,49.05,49.05
2005-04-21,49.94,49.94,49.94,49.94
2005-04-22,48.87,48.87,48.87,48.87
2005-04-25,49.23,49.23,49.23,49.23
2005-04-26,48.74,48.74,48.74,48.74
2005-04-27,48.93,48.93,48.93,48.93
2005-04-28,48.26,48.26,48.26,48.26
2005-04-29,49.36,49.36,49.36,49.36
2005-05-02,49.54,49.54,49.54,49.54
2005-05-03,49.52,49.52,49.52,49.52
2005-05-04,49.95,49.95,49.95,49.95
2005-05-05,49.88,49.88,49.88,49.88
2005-05-06,49.6,49.6,49.6,49.6
2005-05-09,49.94,49.94,49.94,49.94
2005-05-10,49.88,49.88,49.88,49.88
2005-05-11,49.5,49.5,49.5,49.5
2005-05-12,49.47,49.47,49.47,49.47
2005-05-13,48.72,48.72,48.72,48.72
2005-05-16,49.35,49.35,49.35,49.35
2005-05-17,49.65,49.65,49.65,49.65
2005-05-18,50.2,50.2,50.2,50.2
2005-05-19,49.54,49.54,49.54,49.54
2005-05-20,48.98,48.98,48.98,48.98
2005-05-23,49.59,49.59,49.59,49.59
2005-05-24,49.62,49.62,49.62,49.62
2005-05-25,49.4,49.4,49.4,49.4
2005-05-26,49.62,49.62,49.62,49.62
2005-05-27,50.18,50.18,50.18,50.18
2005-05-31,49.88,49.88,49.88,49.88
2005-06-01,50.25,50.25,50.25,50.25
2005-06-02,50.31,50.31,50.31,50.31
2005-06-03,50.32,50.32,50.32,50.32
2005-06-06,50.42,50.42,50.42,50.42
2005-06-07,51.0,51.0,51.0,51.0
2005-06-08,50.24,50.24,50.24,50.24
2005-06-09,50.92,50.92,50.92,50.92
2005-06-10,50.98,50.98,50.98,50.98
2005-06-13,50.74,50.74,50.74,50.74
2005-06-14,50.87,50.87,50.87,50.87
2005-06-15,50.4,50.4,50.4,50.4
2005-06-16,50.88,50.88,50.88,50.88
2005-06-17,51.64,51.64,51.64,51.64
2005-06-20,51.51,51.51,51.51,51.51
2005-06-21,51.52,51.52,51.52,51.52
2005-06-22,51.45,51.45,51.45,51.45
2005-06-23,51.72,51.72,51.72,51.72
2005-06-24,51.58,51.58,51.58,51.58
2005-06-27,51.18,51.18,51.18,51.18
2005-06-28,51.28,51.28,51.28,51.28
2005-06-29,51.0,51.0,51.0,51.0
2005-06-30,51.3,51.3,51.3,51.3
2005-07-01,52.28,52.28,52.28,52.28
2005-07-05,52.35,52.35,52.35,52.35
2005-07-06,52.71,52.71,52.71,52.71
2005-07-07,52.84,52.84,52.84,52.84
2005-07-08,53.79,53.79,53.79,53.79
2005-07-11,53.62,53.62,53.62,53.62
2005-07-12,52.8,52.8,52.8,52.8
