timestamp,open,high,low,close
2004-01-02,30.0,30.36,29.74,29.86
2004-01-05,30.04,30.04,29.72,29.98
2004-01-06,29.83,29.92,29.61,29.7193
2004-01-07,29.68,30.21,29.5,30.17
2004-01-08,30.25,30.83,30.07,30.53
2004-01-09,30.33,31.02,30.18,30.92
2004-01-12,30.85,31.13,30.47,30.57
2004-01-13,30.64,30.7,30.31,30.62
2004-01-14,30.82,31.72,30.69,31.72
2004-01-15,31.01,31.48,30.98,31.41
2004-01-16,31.46,32.02,31.35,32.02
2004-01-20,31.91,31.99,31.26,31.4521
2004-01-21,31.25,32.24,31.18,32.03
2004-01-22,31.99,32.12,31.75,31.75
2004-01-23,31.94,32.18,31.8,31.98
2004-01-26,31.8,32.3,31.57,32.22
2004-01-27,32.13,32.13,31.36,31.61
2004-01-28,31.38,31.53,30.78,31.2
2004-01-29,31.2,31.24,30.01,30.01
2004-01-30,30.9,30.9,30.0,30.0
2004-02-02,30.65,31.29,30.56,30.99
2004-02-03,30.96,31.05,30.68,31.0
2004-02-04,30.9,31.24,30.79,30.95
2004-02-05,30.95,31.36,30.62,31.26
2004-02-06,31.37,31.42,31.08,31.15
2004-02-09,31.03,31.15,30.87,30.9
2004-02-10,30.87,30.91,30.58,30.8
2004-02-11,30.89,31.17,30.56,31.05
2004-02-12,31.05,31.62,30.86,31.41
2004-02-13,31.35,31.81,31.34,31.76
2004-02-17,31.99,32.26,31.96,32.2
2004-02-18,32.15,32.15,31.7,31.8
2004-02-19,31.8,32.34,31.8,32.04
2004-02-20,32.2,32.3,31.88,32.03
2004-02-23,31.89,31.89,30.5,31.02
2004-02-24,31.04,31.2,29.57,30.33
2004-02-25,30.35,30.74,30.23,30.59
2004-02-26,30.66,30.66,29.88,30.17
2004-02-27,30.16,30.47,30.1,30.4
2004-03-01,30.95,31.72,30.86,31.41
2004-03-02,31.31,31.37,30.9,31.1933
2004-03-03,31.39,31.66,31.31,31.54
2004-03-04,31.5,31.75,31.31,31.54
2004-03-05,31.35,31.72,31.16,31.52
2004-03-08,31.3,31.53,31.25,31.31
2004-03-09,31.3,31.4,29.7,30.15
2004-03-10,30.35,30.73,29.85,30.65
2004-03-11,29.0,30.56,29.0,30.1151
2004-03-12,30.04,30.22,29.84,30.09
2004-03-15,29.96,30.3,29.95,30.26
2004-03-16,30.12,30.12,29.32,29.74
2004-03-17,29.74,30.11,29.68,30.06
2004-03-18,29.95,30.15,29.74,30.08
2004-03-19,30.08,30.16,29.88,29.9825
2004-03-22,29.98,29.98,29.52,29.8025
2004-03-23,29.85,30.39,29.84,30.26
2004-03-24,30.25,30.54,30.11,30.4
2004-03-25,30.6,30.71,30.33,30.71
2004-03-26,30.63,30.91,30.42,30.78
2004-03-29,30.83,31.14,30.74,31.06
2004-03-30,31.09,31.3,30.99,31.24
2004-03-31,31.16,31.41,31.0,31.34
2004-04-01,31.15,31.29,31.06,31.16
