timestamp,open,high,low,close
2005-12-20,14.7,15.01,14.65,15.0
2005-12-21,15.09,15.22,14.71,14.77
2005-12-22,14.9,15.15,14.69,15.05
2005-12-23,15.18,15.21,14.99,14.99
2005-12-27,15.05,15.05,14.58,14.71
2005-12-28,14.61,14.96,14.52,14.91
2005-12-29,14.9,15.02,14.71,14.86
2005-12-30,14.75,14.81,14.5,14.67
2006-01-03,14.67,15.0,14.2,14.96
2006-01-04,14.8,15.75,14.8,15.69
2006-01-05,15.49,15.84,15.47,15.8
2006-01-06,15.75,16.18,15.7,16.04
2006-01-09,15.98,16.23,15.88,16.19
2006-01-10,16.15,16.19,15.49,15.49
2006-01-11,15.85,15.85,15.49,15.59
2006-01-12,15.59,15.59,15.38,15.4431
2006-01-13,15.45,15.54,15.15,15.35
2006-01-17,15.1,15.1,14.8,14.8
2006-01-18,14.7,15.0,14.51,14.68
2006-01-19,14.79,15.05,14.61,14.61
2006-01-20,14.94,14.94,14.47,14.49
2006-01-23,15.5,15.5,14.51,14.75
2006-01-24,15.0,15.24,14.71,14.75
2006-01-25,14.81,14.86,14.5,14.65
2006-01-26,15.68,15.68,14.7,15.18
2006-01-27,15.15,15.3,14.8,14.87
2006-01-30,14.71,15.21,14.71,15.08
2006-01-31,14.99,15.1,14.67,14.75
2006-02-01,14.79,15.16,14.68,14.74
2006-02-02,14.74,14.8,14.32,14.44
2006-02-03,14.51,14.65,14.26,14.62
2006-02-06,14.62,14.7,14.45,14.67
2006-02-07,14.7,14.7,14.44,14.4799
2006-02-08,14.49,14.78,14.45,14.73
2006-02-09,14.72,14.9,14.6,14.61
2006-02-10,14.95,14.95,14.28,14.5496
2006-02-13,14.5,14.53,14.37,14.42
2006-02-14,14.5,15.4,14.49,15.2894
2006-02-15,15.2,15.86,15.19,15.7795
2006-02-16,15.8,16.16,15.75,16.06
2006-02-17,16.1,16.19,16.03,16.1194
2006-02-21,16.03,16.15,15.95,16.02
2006-02-22,16.02,16.46,16.01,16.37
2006-02-23,16.4,16.94,16.34,16.65
2006-02-24,16.54,16.9,16.46,16.8
2006-02-27,16.56,16.75,16.27,16.4796
2006-02-28,16.48,16.61,16.12,16.192999999999998
2006-03-01,16.21,16.63,16.11,16.49
2006-03-02,16.32,16.7,16.25,16.54
2006-03-03,16.5,16.82,16.25,16.65
2006-03-06,16.7,16.78,16.34,16.4477
2006-03-07,16.48,16.48,16.06,16.25
2006-03-08,16.26,16.35,15.94,16.2
2006-03-09,16.21,16.46,16.04,16.1092
2006-03-10,16.19,16.4,16.13,16.35
2006-03-13,16.4,16.55,16.28,16.52
2006-03-14,16.52,17.03,16.46,16.82
2006-03-15,16.93,17.1,16.82,16.94
2006-03-16,16.85,17.8,16.85,17.55
2006-03-17,17.61,18.23,17.58,18.1277
2006-03-20,18.2,18.26,17.68,17.79
2006-03-21,17.78,17.924,17.41,17.5
2006-03-22,17.36,17.54,17.17,17.52
2006-03-23,17.44,17.51,17.23,17.32
2006-03-24,17.25,17.45,17.19,17.35
2006-03-27,17.34,17.57,17.25,17.42
2006-03-28,17.33,17.59,17.21,17.3
2006-03-29,17.44,17.9,17.44,17.64
2006-03-30,17.76,17.76,16.8,17.37
2006-03-31,17.45,17.54,17.21,17.21
2006-04-03,17.36,17.89,17.3,17.41
2006-04-04,17.5,17.89,17.28,17.71
2006-04-05,17.8,17.8,17.48,17.57
2006-04-06,17.42,17.9201,17.4,17.88
2006-04-07,18.1,18.1,17.789,18.0
2006-04-10,18.05,18.21,17.8901,18.12
2006-04-11,18.12,18.35,17.51,17.51
2006-04-12,17.81,17.81,17.33,17.39
2006-04-13,17.54,17.6,17.33,17.55
2006-04-17,17.7,17.94,17.08,17.25
2006-04-18,17.6,17.66,17.29,17.59
2006-04-19,17.65,17.89,17.59,17.79
2006-04-20,17.8,17.83,17.57,17.75
2006-04-21,17.84,17.92,17.75,17.89
2006-04-24,17.76,17.76,17.38,17.63
2006-04-25,17.71,17.72,17.41,17.47
2006-04-26,17.6,17.76,17.54,17.76
2006-04-27,17.66,18.48,17.39,18.48
2006-04-28,18.25,18.48,17.71,18.02
2006-05-01,17.93,18.29,17.49,17.6
2006-05-02,17.66,17.73,17.54,17.7
2006-05-03,17.55,17.73,17.42,17.64
2006-05-04,17.75,18.21,17.64,17.85
2006-05-05,17.85,18.5,17.85,18.45
2006-05-08,18.45,18.8,18.13,18.36
2006-05-09,18.22,18.36,18.16,18.22
2006-05-10,18.15,18.34,17.71,18.12
2006-05-11,18.24,18.3,17.67,17.84
2006-05-12,17.64,17.69,17.18,17.27
2006-05-15,17.13,17.25,16.7409,17.0579
2006-05-16,17.0,17.44,17.0,17.2751
2006-05-17,17.2,17.27,16.41,16.97
2006-05-18,17.05,17.24,16.5,16.64
2006-05-19,16.6,17.0,16.29,16.65
2006-05-22,16.63,16.63,15.78,15.9011
2006-05-23,16.3,16.33,15.82,15.82
2006-05-24,15.81,16.33,15.3,15.98
2006-05-25,16.11,16.49,16.05,16.45
2006-05-26,16.81,17.18,16.59,16.86
2006-05-30,16.78,16.87,16.37,16.4297
2006-05-31,16.5,16.8,16.46,16.71
2006-06-01,16.66,16.8,16.6,16.79
2006-06-02,16.91,17.08,16.8,16.98
2006-06-05,16.84,17.0,16.19,16.27
2006-06-06,16.37,16.37,15.88,16.08
2006-06-07,16.13,16.44,15.97,16.11
2006-06-08,16.14,16.38,15.61,16.129
2006-06-09,16.25,16.37,16.02,16.2
2006-06-12,16.45,16.55,15.43,15.5627
2006-06-13,15.42,15.4709,14.5,14.7
2006-06-14,14.53,14.9,14.25,14.55
2006-06-15,14.75,15.82,14.6,15.75
2006-06-16,15.78,15.81,15.35,15.5199
2006-06-19,15.6,15.71,15.24,15.2848
2006-06-20,15.22,15.79,15.22,15.42
2006-06-21,15.36,15.88,15.36,15.56
2006-06-22,15.59,15.59,15.31,15.4149
2006-06-23,15.29,15.4,15.17,15.36
2006-06-26,15.3,15.51,15.28,15.32
2006-06-27,15.27,15.34,14.87,14.87
2006-06-28,14.95,15.25,14.77,15.1396
2006-06-29,15.19,15.86,15.19,15.8078
2006-06-30,15.98,16.21,15.65,15.98
2006-07-03,15.98,16.3,15.97,16.2
2006-07-05,16.15,16.15,15.81,15.87
2006-07-06,15.92,15.95,15.75,15.8
2006-07-07,15.82,15.82,15.21,15.21
2006-07-10,15.37,15.48,15.15,15.25
2006-07-11,15.13,15.4,15.04,15.3846
2006-07-12,15.44,15.45,14.94,15.0
2006-07-13,14.98,14.99,14.57,14.57
2006-07-14,14.57,14.78,14.45,14.6
2006-07-17,14.2,14.69,14.2,14.26
2006-07-18,14.3,14.65,14.0,14.37
2006-07-19,15.26,15.26,14.28,15.01
2006-07-20,15.03,15.04,14.7,14.7618
2006-07-21,14.75,14.91,14.33,14.7
2006-07-24,14.69,15.12,14.69,14.86
2006-07-25,14.83,15.25,14.61,15.11
2006-07-26,15.03,15.1,14.91,14.96
2006-07-27,15.02,15.5,14.99,15.41
2006-07-28,15.41,15.9,15.41,15.86
2006-07-31,15.7,15.99,15.7,15.88
2006-08-01,15.88,15.98,15.77,15.91
2006-08-02,15.88,16.1,15.87,16.0018
2006-08-03,15.97,16.18,15.87,16.0
2006-08-04,16.1,16.39,16.03,16.23
2006-08-07,16.13,16.18,15.87,15.97
2006-08-08,16.03,16.07,15.61,15.72
2006-08-09,15.7,16.0,15.66,15.77
2006-08-10,15.77,15.99,15.6,15.96
2006-08-11,15.95,16.0,15.67,15.87
2006-08-14,15.95,16.29,15.95,16.07
2006-08-15,16.25,16.55,16.12,16.43
2006-08-16,16.43,16.6,16.17,16.26
2006-08-17,16.23,16.74,16.2,16.62
2006-08-18,16.59,16.73,16.28,16.33
2006-08-21,16.5,16.5,16.1,16.12
2006-08-22,16.23,16.6,16.22,16.3408
2006-08-23,16.42,16.53,16.07,16.13
2006-08-24,16.2,16.25,15.85,16.06
2006-08-25,16.05,16.15,15.96,15.96
2006-08-28,15.87,16.1,15.86,16.0687
2006-08-29,16.13,16.13,15.69,15.92
2006-08-30,16.03,16.32,16.03,16.2499
2006-08-31,16.22,16.42,16.22,16.31
2006-09-01,16.44,16.53,16.29,16.4
2006-09-05,16.34,16.56,16.34,16.4159
2006-09-06,16.44,16.76,16.33,16.6
2006-09-07,16.09,16.61,16.09,16.35
2006-09-08,16.48,16.56,16.13,16.2798
2006-09-11,16.28,16.47,16.21,16.41
2006-09-12,16.45,16.78,16.39,16.77
2006-09-13,16.66,17.15,16.55,16.83
2006-09-14,16.68,17.06,16.68,17.01
2006-09-15,17.01,17.59,17.01,17.5055
2006-09-18,17.38,17.51,17.07,17.4893
2006-09-19,17.49,17.55,17.05,17.15
2006-09-20,17.2,17.47,17.2,17.36
2006-09-21,17.33,17.5,17.09,17.18
2006-09-22,17.22,17.33,17.1,17.23
2006-09-25,17.3,17.56,17.15,17.48
2006-09-26,17.53,17.73,17.33,17.67
2006-09-27,17.7,17.82,17.52,17.57
2006-09-28,17.71,17.99,17.58,17.85
2006-09-29,17.95,18.0,17.71,17.9
2006-10-02,18.04,18.04,17.56,17.68
2006-10-03,17.69,17.75,17.47,17.66
2006-10-04,17.58,18.26,17.55,18.2581
2006-10-05,18.24,18.32,18.03,18.1597
2006-10-06,18.15,18.23,17.95,18.21
2006-10-09,18.1,18.27,17.99,18.27
2006-10-10,18.3,18.38,17.95,18.0588
2006-10-11,17.75,17.75,16.54,17.12
2006-10-12,17.55,17.86,17.21,17.76
2006-10-13,17.66,17.74,17.46,17.6
2006-10-16,17.9,17.9,17.08,17.0997
2006-10-17,17.05,17.05,16.61,16.67
2006-10-18,16.78,16.94,16.65,16.8
2006-10-19,16.7,16.78,16.45,16.64
2006-10-20,16.65,16.94,16.46,16.8428
2006-10-23,16.9,17.2,16.65,17.11
2006-10-24,17.0,17.2,16.89,17.0086
2006-10-25,16.88,17.08,16.750999999999998,17.024
2006-10-26,17.09,17.67,17.049,17.65
2006-10-27,17.76,17.95,17.589000000000002,17.74
2006-10-30,17.9,18.2,17.66,17.78
2006-10-31,18.25,18.29,18.1,18.22
2006-11-01,18.23,18.25,17.61,17.78
2006-11-02,17.76,18.16,17.61,18.04
2006-11-03,18.01,18.21,17.75,18.04
2006-11-06,18.05,19.04,18.03,19.01
2006-11-07,19.24,19.24,18.73,18.92
2006-11-08,19.0,19.0,18.49,18.5
2006-11-09,18.56,18.61,17.99,18.08
2006-11-10,18.1,18.22,17.97,18.21
2006-11-13,18.31,18.46,18.13,18.24
2006-11-14,18.24,18.55,17.65,18.2
2006-11-15,18.48,18.53,18.25,18.45
2006-11-16,18.37,18.58,18.35,18.54
2006-11-17,18.46,18.63,18.18,18.56
2006-11-20,20.0,20.0,18.63,18.94
2006-11-21,18.86,19.35,18.85,19.24
2006-11-22,19.24,19.33,18.95,19.02
2006-11-24,18.95,19.15,18.82,18.99
2006-11-27,19.0,19.0,17.92,17.92
2006-11-28,18.3,18.41,18.06,18.3493
2006-11-29,17.85,18.7,17.85,18.6
2006-11-30,18.57,18.67,18.2,18.34
2006-12-01,18.3,18.42,17.78,18.02
2006-12-02,18.18,18.18,18.18,18.18
2006-12-04,18.02,19.0,18.02,18.78
2006-12-05,18.57,19.2186,18.57,19.08
2006-12-06,19.08,19.36,19.08,19.25
2006-12-07,19.32,19.47,19.16,19.26
2006-12-08,19.5,19.5,19.05,19.24
2006-12-11,19.15,19.22,18.980999999999998,19.18
2006-12-12,18.95,19.27,18.95,19.22
2006-12-13,19.22,19.43,19.01,19.09
2006-12-14,19.08,19.36,19.04,19.36
2006-12-15,19.31,19.47,19.2822,19.3375
2006-12-18,19.26,19.35,18.75,18.92
2006-12-19,18.96,19.07,18.63,18.63
2006-12-20,18.91,19.19,18.91,19.15
2006-12-21,19.16,19.2,19.08,19.16
2006-12-22,19.25,19.25,18.94,18.95
2006-12-26,18.9,19.11,18.88,19.03
2006-12-27,19.13,19.24,19.0813,19.1971
2006-12-28,19.3,19.48,19.13,19.3579
2006-12-29,19.34,19.47,19.29,19.34
2007-01-03,20.0,20.0,19.2,19.8
2007-01-04,19.78,19.83,19.33,19.61
2007-01-05,19.63,19.67,19.08,19.2
2007-01-08,19.13,19.5601,19.02,19.44
2007-01-09,19.58,19.82,19.58,19.75
2007-01-10,19.5,20.02,19.5,19.97
2007-01-11,20.03,20.35,19.91,20.18
