timestamp,open,high,low,close
2004-08-27,5.94,5.94,5.94,5.94
2004-08-30,6.0,6.0,6.0,6.0
2004-08-31,6.01,6.01,6.01,6.01
2004-09-01,6.1087,6.1087,6.1087,6.1087
2004-09-02,6.16,6.16,6.16,6.16
2004-09-03,6.16,6.16,6.16,6.16
2004-09-07,6.18,6.18,6.18,6.18
2004-09-08,6.14,6.14,6.14,6.14
2004-09-09,6.23,6.23,6.23,6.23
2004-09-10,6.37,6.37,6.37,6.37
2004-09-13,6.27,6.27,6.27,6.27
2004-09-14,6.3,6.3,6.3,6.3
2004-09-15,6.32,6.32,6.32,6.32
2004-09-16,6.41,6.41,6.41,6.41
2004-09-17,6.4646,6.4646,6.4646,6.4646
2004-09-20,6.41,6.41,6.41,6.41
2004-09-21,6.6,6.6,6.6,6.6
2004-09-22,6.48,6.48,6.48,6.48
2004-09-23,6.38,6.38,6.38,6.38
2004-09-24,6.3743,6.3743,6.3743,6.3743
2004-09-27,6.09,6.09,6.09,6.09
2004-09-28,6.08,6.08,6.08,6.08
2004-09-29,6.17,6.17,6.17,6.17
2004-09-30,6.13,6.13,6.13,6.13
2004-10-01,6.22,6.22,6.22,6.22
2004-10-04,6.12,6.12,6.12,6.12
2004-10-05,6.4,6.4,6.4,6.4
2004-10-06,6.55,6.55,6.55,6.55
2004-10-07,6.49,6.49,6.49,6.49
2004-10-08,6.46,6.46,6.46,6.46
2004-10-11,6.42,6.42,6.42,6.42
2004-10-12,6.46,6.46,6.46,6.46
2004-10-13,6.47,6.47,6.47,6.47
2004-10-14,6.42,6.42,6.42,6.42
2004-10-15,6.52,6.52,6.52,6.52
2004-10-18,6.74,6.74,6.74,6.74
2004-10-19,6.72,6.72,6.72,6.72
2004-10-20,6.73,6.73,6.73,6.73
2004-10-21,6.65,6.65,6.65,6.65
2004-10-22,6.65,6.65,6.65,6.65
2004-10-25,6.55,6.55,6.55,6.55
2004-10-26,6.5,6.5,6.5,6.5
2004-10-27,6.6,6.6,6.6,6.6
2004-10-28,6.59,6.59,6.59,6.59
2004-10-29,6.61,6.61,6.61,6.61
2004-11-01,6.7,6.7,6.7,6.7
2004-11-02,6.75,6.75,6.75,6.75
2004-11-03,6.5,6.5,6.5,6.5
2004-11-04,6.6,6.6,6.6,6.6
2004-11-05,6.53,6.53,6.53,6.53
2004-11-08,6.55,6.55,6.55,6.55
2004-11-09,6.67,6.67,6.67,6.67
2004-11-10,6.76,6.76,6.76,6.76
2004-11-11,6.94,6.94,6.94,6.94
2004-11-12,6.97,6.97,6.97,6.97
2004-11-15,6.98,6.98,6.98,6.98
2004-11-16,6.97,6.97,6.97,6.97
2004-11-17,6.93,6.93,6.93,6.93
2004-11-18,6.96,6.96,6.96,6.96
2004-11-19,6.99,6.99,6.99,6.99
2004-11-22,6.74,6.74,6.74,6.74
2004-11-23,6.85,6.85,6.85,6.85
2004-11-24,6.99,6.99,6.99,6.99
2004-11-26,6.91,6.91,6.91,6.91
2004-11-29,6.94,6.94,6.94,6.94
2004-11-30,7.06,7.06,7.06,7.06
2004-12-01,7.25,7.25,7.25,7.25
2004-12-02,7.19,7.19,7.19,7.19
2004-12-03,7.27,7.27,7.27,7.27
2004-12-06,7.23,7.23,7.23,7.23
2004-12-07,7.03,7.03,7.03,7.03
2004-12-08,7.24,7.24,7.24,7.24
2004-12-09,6.94,6.94,6.94,6.94
2004-12-10,7.02,7.02,7.02,7.02
2004-12-13,7.0,7.0,7.0,7.0
2004-12-14,7.09,7.09,7.09,7.09
2004-12-15,7.08,7.08,7.08,7.08
2004-12-16,7.11,7.11,7.11,7.11
2004-12-17,7.02,7.02,7.02,7.02
2004-12-20,7.09,7.09,7.09,7.09
2004-12-21,7.18,7.18,7.18,7.18
2004-12-22,7.26,7.26,7.26,7.26
2004-12-23,7.28,7.28,7.28,7.28
2004-12-27,7.26,7.26,7.26,7.26
2004-12-28,7.33,7.33,7.33,7.33
2004-12-29,7.31,7.31,7.31,7.31
2004-12-30,7.3,7.3,7.3,7.3
2004-12-31,7.45,7.45,7.45,7.45
2005-01-03,7.29,7.29,7.29,7.29
2005-01-04,7.3,7.3,7.3,7.3
2005-01-05,7.31,7.31,7.31,7.31
2005-01-06,7.27,7.27,7.27,7.27
2005-01-07,7.24,7.24,7.24,7.24
2005-01-10,7.29,7.29,7.29,7.29
2005-01-11,7.25,7.25,7.25,7.25
2005-01-12,7.25,7.25,7.25,7.25
2005-01-13,7.25,7.25,7.25,7.25
2005-01-14,7.29,7.29,7.29,7.29
2005-01-18,7.2989,7.2989,7.2989,7.2989
2005-01-19,7.26,7.26,7.26,7.26
2005-01-20,7.16,7.16,7.16,7.16
2005-01-21,7.1544,7.1544,7.1544,7.1544
2005-01-24,7.09,7.09,7.09,7.09
2005-01-25,7.04,7.04,7.04,7.04
2005-01-26,7.06,7.06,7.06,7.06
2005-01-27,7.08,7.08,7.08,7.08
2005-01-28,6.85,6.85,6.85,6.85
2005-01-31,6.9,6.9,6.9,6.9
2005-02-01,6.88,6.88,6.88,6.88
2005-02-02,6.91,6.91,6.91,6.91
2005-02-03,6.82,6.82,6.82,6.82
2005-02-04,6.99,6.99,6.99,6.99
2005-02-07,6.91,6.91,6.91,6.91
2005-02-08,6.93,6.93,6.93,6.93
2005-02-09,6.87,6.87,6.87,6.87
2005-02-10,7.18,7.18,7.18,7.18
2005-02-11,7.34,7.34,7.34,7.34
2005-02-14,7.32,7.32,7.32,7.32
2005-02-15,7.39,7.39,7.39,7.39
2005-02-16,7.39,7.39,7.39,7.39
2005-02-17,7.33,7.33,7.33,7.33
2005-02-18,7.35,7.35,7.35,7.35
2005-02-22,7.318,7.318,7.318,7.318
2005-02-23,7.39,7.39,7.39,7.39
2005-02-24,7.43,7.43,7.43,7.43
2005-02-25,7.57,7.57,7.57,7.57
2005-02-28,7.5,7.5,7.5,7.5
2005-03-01,7.71,7.71,7.71,7.71
2005-03-02,7.8,7.8,7.8,7.8
2005-03-03,7.83,7.83,7.83,7.83
2005-03-04,7.74,7.74,7.74,7.74
2005-03-07,7.77,7.77,7.77,7.77
2005-03-08,7.7,7.7,7.7,7.7
2005-03-09,7.67,7.67,7.67,7.67
2005-03-10,7.73,7.73,7.73,7.73
2005-03-11,7.78,7.78,7.78,7.78
2005-03-14,7.43,7.43,7.43,7.43
2005-03-15,7.24,7.24,7.24,7.24
2005-03-16,7.25,7.25,7.25,7.25
2005-03-17,7.33,7.33,7.33,7.33
2005-03-18,7.38,7.38,7.38,7.38
2005-03-21,7.41,7.41,7.41,7.41
2005-03-22,7.5,7.5,7.5,7.5
2005-03-23,7.43,7.43,7.43,7.43
2005-03-24,7.46,7.46,7.46,7.46
2005-03-28,7.44,7.44,7.44,7.44
2005-03-29,7.4,7.4,7.4,7.4
2005-03-30,7.43,7.43,7.43,7.43
2005-03-31,7.48,7.48,7.48,7.48
2005-04-01,7.3,7.3,7.3,7.3
2005-04-04,7.31,7.31,7.31,7.31
2005-04-05,7.35,7.35,7.35,7.35
2005-04-06,7.56,7.56,7.56,7.56
2005-04-07,7.54,7.54,7.54,7.54
2005-04-08,7.56,7.56,7.56,7.56
2005-04-11,7.55,7.55,7.55,7.55
2005-04-12,7.55,7.55,7.55,7.55
2005-04-13,7.5313,7.5313,7.5313,7.5313
2005-04-14,7.48,7.48,7.48,7.48
2005-04-15,7.46,7.46,7.46,7.46
2005-04-18,7.1116,7.1116,7.1116,7.1116
2005-04-19,6.7738,6.7738,6.7738,6.7738
2005-04-20,6.59,6.59,6.59,6.59
2005-04-21,6.64,6.64,6.64,6.64
2005-04-22,6.82,6.82,6.82,6.82
2005-04-25,7.04,7.04,7.04,7.04
2005-04-26,6.97,6.97,6.97,6.97
2005-04-27,7.02,7.02,7.02,7.02
2005-04-28,6.99,6.99,6.99,6.99
2005-04-29,7.0378,7.0378,7.0378,7.0378
2005-05-02,7.18,7.18,7.18,7.18
2005-05-03,7.09,7.09,7.09,7.09
2005-05-04,6.9973,6.9973,6.9973,6.9973
2005-05-05,6.9,6.9,6.9,6.9
2005-05-06,6.9,6.9,6.9,6.9
2005-05-09,7.01,7.01,7.01,7.01
2005-05-10,6.99,6.99,6.99,6.99
2005-05-11,6.96,6.96,6.96,6.96
2005-05-12,7.0,7.0,7.0,7.0
2005-05-13,6.98,6.98,6.98,6.98
2005-05-16,6.97,6.97,6.97,6.97
2005-05-17,7.09,7.09,7.09,7.09
2005-05-18,7.1,7.1,7.1,7.1
2005-05-19,7.1,7.1,7.1,7.1
2005-05-20,7.06,7.06,7.06,7.06
2005-05-23,7.06,7.06,7.06,7.06
2005-05-24,7.0712,7.0712,7.0712,7.0712
2005-05-25,7.18,7.18,7.18,7.18
2005-05-26,7.3,7.3,7.3,7.3
2005-05-27,7.53,7.53,7.53,7.53
2005-05-31,7.58,7.58,7.58,7.58
2005-06-01,7.61,7.61,7.61,7.61
2005-06-02,7.6,7.6,7.6,7.6
2005-06-03,7.57,7.57,7.57,7.57
2005-06-06,7.54,7.54,7.54,7.54
2005-06-07,7.47,7.47,7.47,7.47
2005-06-08,7.43,7.43,7.43,7.43
2005-06-09,7.5,7.5,7.5,7.5
2005-06-10,7.46,7.46,7.46,7.46
2005-06-13,7.42,7.42,7.42,7.42
2005-06-14,7.51,7.51,7.51,7.51
2005-06-15,7.49,7.49,7.49,7.49
2005-06-16,7.51,7.51,7.51,7.51
2005-06-17,7.5445,7.5445,7.5445,7.5445
2005-06-20,7.51,7.51,7.51,7.51
2005-06-21,7.56,7.56,7.56,7.56
2005-06-22,7.75,7.75,7.75,7.75
2005-06-23,7.9,7.9,7.9,7.9
2005-06-24,7.99,7.99,7.99,7.99
2005-06-27,7.96,7.96,7.96,7.96
2005-06-28,8.02,8.02,8.02,8.02
2005-06-29,8.02,8.02,8.02,8.02
2005-06-30,8.0252,8.0252,8.0252,8.0252
2005-07-01,8.05,8.05,8.05,8.05
2005-07-05,8.18,8.18,8.18,8.18
2005-07-06,8.43,8.43,8.43,8.43
2005-07-07,8.36,8.36,8.36,8.36
2005-07-08,8.27,8.27,8.27,8.27
2005-07-11,8.26,8.26,8.26,8.26
2005-07-12,8.3,8.3,8.3,8.3
2005-07-13,8.31,8.31,8.31,8.31
2005-07-14,8.31,8.31,8.31,8.31
2005-07-15,8.43,8.43,8.43,8.43
2005-07-18,8.56,8.56,8.56,8.56
2005-07-19,8.53,8.53,8.53,8.53
2005-07-20,8.5,8.5,8.5,8.5
2005-07-21,8.48,8.48,8.48,8.48
2005-07-22,8.45,8.45,8.45,8.45
2005-07-25,8.52,8.52,8.52,8.52
2005-07-26,8.69,8.69,8.69,8.69
2005-07-27,8.7013,8.7013,8.7013,8.7013
2005-07-28,8.75,8.75,8.75,8.75
2005-07-29,8.6725,8.6725,8.6725,8.6725
2005-08-01,8.76,8.76,8.76,8.76
2005-08-02,8.71,8.71,8.71,8.71
2005-08-03,8.75,8.75,8.75,8.75
2005-08-04,8.67,8.67,8.67,8.67
2005-08-05,8.49,8.49,8.49,8.49
2005-08-08,8.46,8.46,8.46,8.46
2005-08-09,8.44,8.44,8.44,8.44
2005-08-10,8.34,8.34,8.34,8.34
2005-08-11,8.39,8.39,8.39,8.39
2005-08-12,8.27,8.27,8.27,8.27
2005-08-15,8.37,8.37,8.37,8.37
2005-08-16,8.25,8.25,8.25,8.25
2005-08-17,8.28,8.28,8.28,8.28
2005-08-18,8.25,8.25,8.25,8.25
2005-08-19,8.31,8.31,8.31,8.31
2005-08-22,8.35,8.35,8.35,8.35
2005-08-23,8.36,8.36,8.36,8.36
2005-08-24,8.4,8.4,8.4,8.4
2005-08-25,8.54,8.54,8.54,8.54
2005-08-26,8.49,8.49,8.49,8.49
2005-08-29,8.5,8.5,8.5,8.5
2005-08-30,8.56,8.56,8.56,8.56
2005-08-31,8.5,8.5,8.5,8.5
2005-09-01,8.6,8.6,8.6,8.6
2005-09-02,8.56,8.56,8.56,8.56
2005-09-06,8.54,8.54,8.54,8.54
2005-09-07,8.57,8.57,8.57,8.57
2005-09-08,9.11,9.11,9.11,9.11
2005-09-09,8.85,8.85,8.85,8.85
2005-09-12,8.71,8.71,8.71,8.71
2005-09-13,8.62,8.62,8.62,8.62
2005-09-14,8.46,8.46,8.46,8.46
2005-09-15,8.52,8.52,8.52,8.52
2005-09-16,8.57,8.57,8.57,8.57
2005-09-19,8.51,8.51,8.51,8.51
2005-09-20,8.58,8.58,8.58,8.58
2005-09-21,8.55,8.55,8.55,8.55
2005-09-22,8.49,8.49,8.49,8.49
2005-09-23,8.6,8.6,8.6,8.6
2005-09-26,8.57,8.57,8.57,8.57
2005-09-27,8.45,8.45,8.45,8.45
2005-09-28,8.31,8.31,8.31,8.31
2005-09-29,8.34,8.34,8.34,8.34
2005-09-30,8.29,8.29,8.29,8.29
2005-10-03,8.33,8.33,8.33,8.33
2005-10-04,8.3,8.3,8.3,8.3
2005-10-05,8.11,8.11,8.11,8.11
2005-10-06,8.0,8.0,8.0,8.0
2005-10-07,8.02,8.02,8.02,8.02
2005-10-10,8.03,8.03,8.03,8.03
2005-10-11,7.99,7.99,7.99,7.99
2005-10-12,8.0,8.0,8.0,8.0
2005-10-13,7.79,7.79,7.79,7.79
2005-10-14,7.94,7.94,7.94,7.94
2005-10-17,8.02,8.02,8.02,8.02
2005-10-18,8.06,8.06,8.06,8.06
2005-10-19,8.1,8.1,8.1,8.1
2005-10-20,8.0,8.0,8.0,8.0
2005-10-21,8.05,8.05,8.05,8.05
2005-10-24,8.09,8.09,8.09,8.09
2005-10-25,7.99,7.99,7.99,7.99
2005-10-26,7.98,7.98,7.98,7.98
2005-10-27,7.82,7.82,7.82,7.82
2005-10-28,7.85,7.85,7.85,7.85
2005-10-31,8.37,8.37,8.37,8.37
2005-11-01,8.48,8.48,8.48,8.48
2005-11-02,8.6,8.6,8.6,8.6
2005-11-03,8.65,8.65,8.65,8.65
2005-11-04,8.6,8.6,8.6,8.6
2005-11-07,8.56,8.56,8.56,8.56
2005-11-08,8.5,8.5,8.5,8.5
2005-11-09,8.45,8.45,8.45,8.45
2005-11-10,8.37,8.37,8.37,8.37
2005-11-11,8.5,8.5,8.5,8.5
2005-11-14,8.5,8.5,8.5,8.5
2005-11-15,8.28,8.28,8.28,8.28
2005-11-16,8.33,8.33,8.33,8.33
2005-11-17,8.5,8.5,8.5,8.5
2005-11-18,8.48,8.48,8.48,8.48
2005-11-21,8.31,8.31,8.31,8.31
2005-11-22,8.45,8.45,8.45,8.45
2005-11-23,8.37,8.37,8.37,8.37
2005-11-25,8.41,8.41,8.41,8.41
2005-11-28,8.31,8.31,8.31,8.31
2005-11-29,8.17,8.17,8.17,8.17
2005-11-30,8.22,8.22,8.22,8.22
2005-12-01,8.33,8.33,8.33,8.33
2005-12-02,8.4,8.4,8.4,8.4
2005-12-05,8.24,8.24,8.24,8.24
2005-12-06,8.15,8.15,8.15,8.15
2005-12-07,8.07,8.07,8.07,8.07
2005-12-08,8.1,8.1,8.1,8.1
2005-12-09,8.15,8.15,8.15,8.15
2005-12-12,8.08,8.08,8.08,8.08
2005-12-13,8.23,8.23,8.23,8.23
2005-12-14,8.26,8.26,8.26,8.26
2005-12-15,8.26,8.26,8.26,8.26
2005-12-16,8.25,8.25,8.25,8.25
2005-12-19,8.26,8.26,8.26,8.26
2005-12-20,8.25,8.25,8.25,8.25
2005-12-21,8.25,8.25,8.25,8.25
2005-12-22,8.22,8.22,8.22,8.22
2005-12-23,8.26,8.26,8.26,8.26
2005-12-27,8.13,8.13,8.13,8.13
2005-12-28,8.15,8.15,8.15,8.15
2005-12-29,8.1,8.1,8.1,8.1
2005-12-30,8.18,8.18,8.18,8.18
2006-01-03,8.14,8.14,8.14,8.14
2006-01-04,8.12,8.12,8.12,8.12
2006-01-05,8.31,8.31,8.31,8.31
2006-01-06,8.3,8.3,8.3,8.3
2006-01-09,8.17,8.17,8.17,8.17
2006-01-10,8.11,8.11,8.11,8.11
2006-01-11,8.18,8.18,8.18,8.18
2006-01-12,8.15,8.15,8.15,8.15
2006-01-13,8.16,8.16,8.16,8.16
2006-01-17,8.2,8.2,8.2,8.2
2006-01-18,8.22,8.22,8.22,8.22
2006-01-19,8.2,8.2,8.2,8.2
2006-01-20,8.1,8.1,8.1,8.1
2006-01-23,8.14,8.14,8.14,8.14
2006-01-24,8.13,8.13,8.13,8.13
2006-01-25,8.04,8.04,8.04,8.04
2006-01-26,7.97,7.97,7.97,7.97
2006-01-27,8.04,8.04,8.04,8.04
2006-01-30,8.11,8.11,8.11,8.11
2006-01-31,8.18,8.18,8.18,8.18
2006-02-01,8.14,8.14,8.14,8.14
2006-02-02,8.01,8.01,8.01,8.01
2006-02-03,8.15,8.15,8.15,8.15
2006-02-06,8.25,8.25,8.25,8.25
2006-02-07,8.24,8.24,8.24,8.24
2006-02-08,8.21,8.21,8.21,8.21
2006-02-09,8.27,8.27,8.27,8.27
2006-02-10,8.46,8.46,8.46,8.46
2006-02-13,8.43,8.43,8.43,8.43
2006-02-14,8.38,8.38,8.38,8.38
2006-02-15,8.27,8.27,8.27,8.27
2006-02-16,8.15,8.15,8.15,8.15
2006-02-17,8.11,8.11,8.11,8.11
2006-02-21,8.07,8.07,8.07,8.07
2006-02-22,8.04,8.04,8.04,8.04
2006-02-23,7.99,7.99,7.99,7.99
2006-02-24,7.9999,7.9999,7.9999,7.9999
