timestamp,open,high,low,close
2004-01-02,30.05,30.05,30.05,30.05
2004-01-05,30.0,30.0,30.0,30.0
2004-01-06,30.0353,30.0353,30.0353,30.0353
2004-01-07,29.99,29.99,29.99,29.99
2004-01-08,30.0,30.0,30.0,30.0
2004-01-09,29.85,29.85,29.85,29.85
2004-01-12,29.82,29.82,29.82,29.82
2004-01-13,29.73,29.73,29.73,29.73
2004-01-14,29.74,29.74,29.74,29.74
2004-01-15,29.65,29.65,29.65,29.65
2004-01-16,29.43,29.43,29.43,29.43
2004-01-20,29.3375,29.3375,29.3375,29.3375
2004-01-21,30.1156,30.1156,30.1156,30.1156
2004-01-22,30.08,30.08,30.08,30.08
2004-01-23,30.24,30.24,30.24,30.24
2004-01-26,30.12,30.12,30.12,30.12
2004-01-27,30.2,30.2,30.2,30.2
2004-01-28,30.34,30.34,30.34,30.34
2004-01-29,30.04,30.04,30.04,30.04
2004-01-30,29.8,29.8,29.8,29.8
2004-02-02,29.63,29.63,29.63,29.63
2004-02-03,29.5,29.5,29.5,29.5
2004-02-04,29.32,29.32,29.32,29.32
2004-02-05,29.1,29.1,29.1,29.1
2004-02-06,29.2207,29.2207,29.2207,29.2207
2004-02-09,29.21,29.21,29.21,29.21
2004-02-10,29.44,29.44,29.44,29.44
2004-02-11,29.42,29.42,29.42,29.42
2004-02-12,29.58,29.58,29.58,29.58
2004-02-13,29.5,29.5,29.5,29.5
2004-02-17,29.59,29.59,29.59,29.59
2004-02-18,30.0,30.0,30.0,30.0
2004-02-19,30.01,30.01,30.01,30.01
2004-02-20,29.83,29.83,29.83,29.83
2004-02-23,29.7,29.7,29.7,29.7
2004-02-24,29.65,29.65,29.65,29.65
2004-02-25,29.79,29.79,29.79,29.79
2004-02-26,30.0396,30.0396,30.0396,30.0396
2004-02-27,30.32,30.32,30.32,30.32
2004-03-01,30.42,30.42,30.42,30.42
2004-03-02,30.31,30.31,30.31,30.31
2004-03-03,30.31,30.31,30.31,30.31
2004-03-04,30.41,30.41,30.41,30.41
2004-03-05,30.63,30.63,30.63,30.63
2004-03-08,30.55,30.55,30.55,30.55
2004-03-09,30.65,30.65,30.65,30.65
2004-03-10,30.3178,30.3178,30.3178,30.3178
2004-03-11,30.1251,30.1251,30.1251,30.1251
2004-03-12,30.13,30.13,30.13,30.13
2004-03-15,30.36,30.36,30.36,30.36
2004-03-16,30.44,30.44,30.44,30.44
2004-03-17,30.78,30.78,30.78,30.78
2004-03-18,30.46,30.46,30.46,30.46
2004-03-19,30.1725,30.1725,30.1725,30.1725
2004-03-22,29.87,29.87,29.87,29.87
2004-03-23,29.9314,29.9314,29.9314,29.9314
2004-03-24,29.95,29.95,29.95,29.95
2004-03-25,30.16,30.16,30.16,30.16
2004-03-26,30.39,30.39,30.39,30.39
2004-03-29,30.48,30.48,30.48,30.48
2004-03-30,30.56,30.56,30.56,30.56
2004-03-31,30.5,30.5,30.5,30.5
2004-04-01,30.59,30.59,30.59,30.59
2004-04-02,30.36,30.36,30.36,30.36
2004-04-05,30.27,30.27,30.27,30.27
2004-04-06,30.25,30.25,30.25,30.25
2004-04-07,30.09,30.09,30.09,30.09
2004-04-08,29.77,29.77,29.77,29.77
2004-04-12,29.4,29.4,29.4,29.4
2004-04-13,29.21,29.21,29.21,29.21
2004-04-14,29.11,29.11,29.11,29.11
2004-04-15,29.3,29.3,29.3,29.3
2004-04-16,29.55,29.55,29.55,29.55
2004-04-19,29.24,29.24,29.24,29.24
2004-04-20,29.0145,29.0145,29.0145,29.0145
2004-04-21,28.9794,28.9794,28.9794,28.9794
2004-04-22,29.1752,29.1752,29.1752,29.1752
2004-04-23,29.23,29.23,29.23,29.23
2004-04-26,29.38,29.38,29.38,29.38
2004-04-27,29.32,29.32,29.32,29.32
2004-04-28,29.1,29.1,29.1,29.1
2004-04-29,28.69,28.69,28.69,28.69
2004-04-30,28.76,28.76,28.76,28.76
2004-05-03,28.87,28.87,28.87,28.87
2004-05-04,28.94,28.94,28.94,28.94
2004-05-05,28.74,28.74,28.74,28.74
2004-05-06,28.93,28.93,28.93,28.93
2004-05-07,28.12,28.12,28.12,28.12
2004-05-10,28.01,28.01,28.01,28.01
2004-05-11,27.99,27.99,27.99,27.99
2004-05-12,27.8628,27.8628,27.8628,27.8628
2004-05-13,27.94,27.94,27.94,27.94
2004-05-14,28.25,28.25,28.25,28.25
2004-05-17,27.99,27.99,27.99,27.99
2004-05-18,28.5,28.5,28.5,28.5
2004-05-19,28.12,28.12,28.12,28.12
2004-05-20,28.15,28.15,28.15,28.15
2004-05-21,28.1,28.1,28.1,28.1
2004-05-24,28.1,28.1,28.1,28.1
2004-05-25,28.9,28.9,28.9,28.9
2004-05-26,28.77,28.77,28.77,28.77
2004-05-27,28.91,28.91,28.91,28.91
2004-05-28,28.92,28.92,28.92,28.92
2004-06-01,28.96,28.96,28.96,28.96
2004-06-02,29.21,29.21,29.21,29.21
2004-06-03,29.01,29.01,29.01,29.01
2004-06-04,29.14,29.14,29.14,29.14
2004-06-07,29.29,29.29,29.29,29.29
2004-06-08,29.07,29.07,29.07,29.07
2004-06-09,28.7,28.7,28.7,28.7
2004-06-10,28.88,28.88,28.88,28.88
2004-06-14,28.69,28.69,28.69,28.69
2004-06-15,28.92,28.92,28.92,28.92
2004-06-16,28.85,28.85,28.85,28.85
2004-06-17,28.88,28.88,28.88,28.88
2004-06-18,28.95,28.95,28.95,28.95
2004-06-21,29.14,29.14,29.14,29.14
2004-06-22,29.12,29.12,29.12,29.12
2004-06-23,29.21,29.21,29.21,29.21
2004-06-24,29.16,29.16,29.16,29.16
2004-06-25,29.052,29.052,29.052,29.052
2004-06-28,29.18,29.18,29.18,29.18
2004-06-29,28.91,28.91,28.91,28.91
2004-06-30,29.15,29.15,29.15,29.15
2004-07-01,28.86,28.86,28.86,28.86
2004-07-02,29.03,29.03,29.03,29.03
2004-07-06,28.93,28.93,28.93,28.93
2004-07-07,28.94,28.94,28.94,28.94
2004-07-08,29.0041,29.0041,29.0041,29.0041
2004-07-09,28.95,28.95,28.95,28.95
2004-07-12,28.97,28.97,28.97,28.97
2004-07-13,28.9,28.9,28.9,28.9
2004-07-14,29.22,29.22,29.22,29.22
2004-07-15,29.34,29.34,29.34,29.34
2004-07-16,29.4983,29.4983,29.4983,29.4983
2004-07-19,29.77,29.77,29.77,29.77
2004-07-20,29.89,29.89,29.89,29.89
2004-07-21,29.64,29.64,29.64,29.64
2004-07-22,29.4,29.4,29.4,29.4
2004-07-23,29.38,29.38,29.38,29.38
2004-07-26,29.39,29.39,29.39,29.39
2004-07-27,29.45,29.45,29.45,29.45
2004-07-28,29.5,29.5,29.5,29.5
2004-07-29,29.14,29.14,29.14,29.14
2004-07-30,29.29,29.29,29.29,29.29
2004-08-02,29.41,29.41,29.41,29.41
2004-08-03,29.41,29.41,29.41,29.41
2004-08-04,29.6,29.6,29.6,29.6
2004-08-05,29.34,29.34,29.34,29.34
2004-08-06,29.8462,29.8462,29.8462,29.8462
2004-08-09,29.74,29.74,29.74,29.74
2004-08-10,29.79,29.79,29.79,29.79
2004-08-11,29.86,29.86,29.86,29.86
2004-08-12,29.94,29.94,29.94,29.94
2004-08-13,29.84,29.84,29.84,29.84
2004-08-16,29.89,29.89,29.89,29.89
2004-08-17,29.75,29.75,29.75,29.75
2004-08-18,29.94,29.94,29.94,29.94
2004-08-19,29.76,29.76,29.76,29.76
2004-08-20,29.66,29.66,29.66,29.66
2004-08-23,29.71,29.71,29.71,29.71
2004-08-24,29.81,29.81,29.81,29.81
2004-08-25,29.94,29.94,29.94,29.94
2004-08-26,30.0,30.0,30.0,30.0
2004-08-27,30.01,30.01,30.01,30.01
2004-08-30,30.0,30.0,30.0,30.0
2004-08-31,30.35,30.35,30.35,30.35
2004-09-01,30.22,30.22,30.22,30.22
2004-09-02,30.44,30.44,30.44,30.44
2004-09-03,30.48,30.48,30.48,30.48
2004-09-07,30.65,30.65,30.65,30.65
2004-09-08,30.34,30.34,30.34,30.34
2004-09-09,30.31,30.31,30.31,30.31
2004-09-10,30.35,30.35,30.35,30.35
2004-09-13,30.21,30.21,30.21,30.21
2004-09-14,30.04,30.04,30.04,30.04
2004-09-15,30.04,30.04,30.04,30.04
2004-09-16,30.2367,30.2367,30.2367,30.2367
2004-09-17,30.42,30.42,30.42,30.42
2004-09-20,30.13,30.13,30.13,30.13
2004-09-21,30.42,30.42,30.42,30.42
2004-09-22,30.16,30.16,30.16,30.16
2004-09-23,29.87,29.87,29.87,29.87
2004-09-24,29.85,29.85,29.85,29.85
2004-09-27,29.98,29.98,29.98,29.98
2004-09-28,30.24,30.24,30.24,30.24
2004-09-29,29.93,29.93,29.93,29.93
2004-09-30,29.9987,29.9987,29.9987,29.9987
2004-10-01,30.24,30.24,30.24,30.24
2004-10-04,30.34,30.34,30.34,30.34
2004-10-05,30.24,30.24,30.24,30.24
2004-10-06,30.41,30.41,30.41,30.41
2004-10-07,30.18,30.18,30.18,30.18
2004-10-08,30.6,30.6,30.6,30.6
2004-10-11,30.5,30.5,30.5,30.5
2004-10-12,30.6833,30.6833,30.6833,30.6833
2004-10-13,30.25,30.25,30.25,30.25
2004-10-14,30.13,30.13,30.13,30.13
2004-10-15,30.29,30.29,30.29,30.29
2004-10-18,30.05,30.05,30.05,30.05
2004-10-19,29.94,29.94,29.94,29.94
2004-10-20,30.62,30.62,30.62,30.62
2004-10-21,31.58,31.58,31.58,31.58
2004-10-22,31.61,31.61,31.61,31.61
2004-10-25,31.69,31.69,31.69,31.69
2004-10-26,32.03,32.03,32.03,32.03
2004-10-27,31.94,31.94,31.94,31.94
2004-10-28,31.34,31.34,31.34,31.34
2004-10-29,31.59,31.59,31.59,31.59
2004-11-01,31.64,31.64,31.64,31.64
2004-11-02,31.3609,31.3609,31.3609,31.3609
2004-11-03,31.7147,31.7147,31.7147,31.7147
2004-11-04,32.64,32.64,32.64,32.64
2004-11-05,32.43,32.43,32.43,32.43
2004-11-08,32.7023,32.7023,32.7023,32.7023
2004-11-09,32.6,32.6,32.6,32.6
2004-11-10,32.6,32.6,32.6,32.6
2004-11-11,32.86,32.86,32.86,32.86
2004-11-12,33.16,33.16,33.16,33.16
2004-11-15,33.01,33.01,33.01,33.01
2004-11-16,33.04,33.04,33.04,33.04
2004-11-17,32.68,32.68,32.68,32.68
2004-11-18,32.83,32.83,32.83,32.83
2004-11-19,32.7919,32.7919,32.7919,32.7919
2004-11-22,33.21,33.21,33.21,33.21
2004-11-23,33.25,33.25,33.25,33.25
2004-11-24,33.62,33.62,33.62,33.62
2004-11-26,33.8,33.8,33.8,33.8
2004-11-29,33.4344,33.4344,33.4344,33.4344
2004-11-30,33.0457,33.0457,33.0457,33.0457
2004-12-01,32.79,32.79,32.79,32.79
2004-12-02,32.69,32.69,32.69,32.69
2004-12-03,32.6,32.6,32.6,32.6
2004-12-06,32.9,32.9,32.9,32.9
2004-12-07,32.83,32.83,32.83,32.83
2004-12-08,32.6844,32.6844,32.6844,32.6844
2004-12-09,32.68,32.68,32.68,32.68
2004-12-10,32.7,32.7,32.7,32.7
2004-12-13,33.0901,33.0901,33.0901,33.0901
2004-12-14,33.04,33.04,33.04,33.04
2004-12-15,32.92,32.92,32.92,32.92
2004-12-16,33.2,33.2,33.2,33.2
2004-12-17,33.0,33.0,33.0,33.0
2004-12-20,33.3913,33.3913,33.3913,33.3913
2004-12-21,33.65,33.65,33.65,33.65
2004-12-22,33.8,33.8,33.8,33.8
2004-12-23,33.77,33.77,33.77,33.77
2004-12-27,33.42,33.42,33.42,33.42
2004-12-28,33.63,33.63,33.63,33.63
2004-12-29,33.64,33.64,33.64,33.64
2004-12-30,33.92,33.92,33.92,33.92
2004-12-31,33.52,33.52,33.52,33.52
2005-01-03,33.06,33.06,33.06,33.06
2005-01-04,33.02,33.02,33.02,33.02
2005-01-05,32.84,32.84,32.84,32.84
2005-01-06,32.62,32.62,32.62,32.62
2005-01-07,32.79,32.79,32.79,32.79
2005-01-10,33.04,33.04,33.04,33.04
2005-01-11,33.0,33.0,33.0,33.0
2005-01-12,32.91,32.91,32.91,32.91
2005-01-13,32.81,32.81,32.81,32.81
2005-01-14,33.08,33.08,33.08,33.08
2005-01-18,33.21,33.21,33.21,33.21
2005-01-19,32.98,32.98,32.98,32.98
2005-01-20,32.97,32.97,32.97,32.97
2005-01-21,32.8947,32.8947,32.8947,32.8947
2005-01-24,33.34,33.34,33.34,33.34
2005-01-25,32.72,32.72,32.72,32.72
2005-01-26,33.19,33.19,33.19,33.19
2005-01-27,33.48,33.48,33.48,33.48
2005-01-28,33.5,33.5,33.5,33.5
2005-01-31,33.85,33.85,33.85,33.85
2005-02-01,34.08,34.08,34.08,34.08
2005-02-02,34.88,34.88,34.88,34.88
2005-02-03,33.49,33.49,33.49,33.49
2005-02-04,33.74,33.74,33.74,33.74
2005-02-07,33.69,33.69,33.69,33.69
2005-02-08,33.6,33.6,33.6,33.6
2005-02-09,33.5308,33.5308,33.5308,33.5308
2005-02-10,34.14,34.14,34.14,34.14
2005-02-11,33.18,33.18,33.18,33.18
2005-02-14,33.39,33.39,33.39,33.39
2005-02-15,33.31,33.31,33.31,33.31
2005-02-16,33.2126,33.2126,33.2126,33.2126
2005-02-17,32.97,32.97,32.97,32.97
2005-02-18,32.47,32.47,32.47,32.47
2005-02-22,31.57,31.57,31.57,31.57
2005-02-23,31.84,31.84,31.84,31.84
2005-02-24,31.8513,31.8513,31.8513,31.8513
2005-02-25,32.5167,32.5167,32.5167,32.5167
2005-02-28,32.12,32.12,32.12,32.12
2005-03-01,32.38,32.38,32.38,32.38
2005-03-02,32.39,32.39,32.39,32.39
2005-03-03,32.14,32.14,32.14,32.14
2005-03-04,32.6,32.6,32.6,32.6
2005-03-07,32.55,32.55,32.55,32.55
2005-03-08,32.4,32.4,32.4,32.4
2005-03-09,31.8302,31.8302,31.8302,31.8302
2005-03-10,32.1,32.1,32.1,32.1
2005-03-11,31.8,31.8,31.8,31.8
2005-03-14,32.42,32.42,32.42,32.42
2005-03-15,32.0801,32.0801,32.0801,32.0801
2005-03-16,31.77,31.77,31.77,31.77
2005-03-17,32.17,32.17,32.17,32.17
2005-03-18,32.0772,32.0772,32.0772,32.0772
2005-03-21,31.9,31.9,31.9,31.9
2005-03-22,31.5,31.5,31.5,31.5
2005-03-23,31.35,31.35,31.35,31.35
2005-03-24,31.71,31.71,31.71,31.71
2005-03-28,31.44,31.44,31.44,31.44
2005-03-29,31.25,31.25,31.25,31.25
2005-03-30,31.63,31.63,31.63,31.63
2005-03-31,31.83,31.83,31.83,31.83
2005-04-01,31.95,31.95,31.95,31.95
2005-04-04,31.95,31.95,31.95,31.95
2005-04-05,31.2,31.2,31.2,31.2
2005-04-06,32.01,32.01,32.01,32.01
2005-04-07,32.16,32.16,32.16,32.16
2005-04-08,31.95,31.95,31.95,31.95
2005-04-11,32.32,32.32,32.32,32.32
2005-04-12,32.78,32.78,32.78,32.78
2005-04-13,32.5,32.5,32.5,32.5
2005-04-14,32.23,32.23,32.23,32.23
2005-04-15,31.95,31.95,31.95,31.95
2005-04-18,31.78,31.78,31.78,31.78
