timestamp,open,high,low,close
2016-04-28,109.14,109.14,107.555,107.61
2016-04-29,106.7,107.15,105.98,106.85
2016-05-02,106.91,107.72,105.54,107.17
2016-05-03,103.97,107.17,103.52,107.17
2016-05-04,103.3,104.96,103.3,104.29
2016-05-05,104.29,105.47,104.29,104.67
2016-05-06,102.08,104.49,99.03,104.27
2016-05-09,103.63,104.79,103.58,104.52
2016-05-10,104.96,105.7,104.7,104.96
2016-05-11,105.03,106.06,104.74,105.14
2016-05-12,105.64,106.3,104.93,105.96
2016-05-13,105.02,106.44,104.705,104.92
2016-05-16,104.7291,106.68,104.7291,106.49
2016-05-17,105.91,106.82,105.52,105.7
2016-05-18,105.73,107.43,105.57,106.58
2016-05-19,106.19,107.03,105.31,106.82
2016-05-20,107.27,108.6,107.27,108.07
2016-05-23,107.63,109.11,107.41,108.84
2016-05-24,109.01,111.99,109.01,111.66
2016-05-25,110.91,111.65,110.3,111.25
2016-05-26,110.72,111.16,110.2,110.39
2016-05-27,110.82,111.66,110.725,111.47
2016-05-31,111.5,112.495,111.0,111.81
2016-06-01,110.43,111.0,109.88,110.8
2016-06-02,110.0,111.04,110.0,110.45
2016-06-03,109.525,110.21,108.51,109.64
2016-06-06,109.89,110.82,109.89,110.26
2016-06-07,110.5597,110.5597,109.57,109.62
2016-06-08,109.25,110.55,109.25,110.04
2016-06-09,109.27,110.19,109.14,110.04
2016-06-10,108.81,109.21,107.09,107.51
2016-06-13,107.45,108.31,107.17,107.23
2016-06-14,107.67,107.67,106.45,106.86
2016-06-15,106.88,108.13,106.755,107.08
2016-06-16,106.25,107.66,105.46,107.49
2016-06-17,107.55,108.25,106.43,106.74
2016-06-20,108.29,109.22,107.25,108.1
2016-06-21,107.31,108.19,107.31,107.83
2016-06-22,107.63,107.96,107.06,107.13
2016-06-23,108.47,110.62,108.47,109.71
2016-06-24,103.78,107.33,103.72,104.1504
2016-06-27,102.94,102.94,99.15,99.38
2016-06-28,99.38,101.61,99.38,101.59
2016-06-29,102.5,106.02,101.66,106.0
2016-06-30,106.01,107.31,104.96,107.26
2016-07-01,107.21,109.08,107.21,107.86
2016-07-05,106.8136,107.75,105.36,106.17
2016-07-06,105.57,106.89,104.77,106.75
2016-07-07,106.72,107.905,106.5,107.62
2016-07-08,109.26,109.26,108.2825,108.87
2016-07-11,109.76,110.91,109.425,110.26
2016-07-12,111.375,113.145,111.375,112.98
2016-07-13,113.7299,113.9,112.24,113.86
2016-07-14,115.2,115.39,114.075,115.2
2016-07-15,115.15,116.225,114.91,115.64
2016-07-18,116.5,116.92,116.13,116.86
2016-07-19,116.13,116.66,115.6,116.58
2016-07-20,117.5,117.68,116.76,117.11
2016-07-21,117.11,117.555,116.36,116.83
2016-07-22,117.015,117.33,115.25,117.31
2016-07-25,117.26,117.34,116.36,117.16
2016-07-26,116.79,117.62,116.295,117.55
2016-07-27,116.8,117.88,116.56,117.42
2016-07-28,119.69,122.23,119.02,121.4
2016-07-29,121.37,122.69,121.37,122.2
2016-08-01,122.24,122.69,120.84,122.455
2016-08-02,120.745,120.97,119.16,120.11
2016-08-03,119.58,120.51,119.51,120.51
2016-08-04,120.77,120.77,119.48,119.62
2016-08-05,120.77,121.4,120.41,120.9
2016-08-08,120.42,121.0,119.94,120.16
2016-08-09,120.55,120.94,120.15,120.58
2016-08-10,120.58,120.62,119.37,119.83
2016-08-11,120.12,120.69,119.81,120.41
2016-08-12,120.2,120.83,119.7,119.91
2016-08-15,119.85,120.595,119.22,120.26
2016-08-16,120.055,120.23,119.6,119.64
2016-08-17,120.94,120.94,119.12,120.1
2016-08-18,120.25,120.25,119.065,120.03
2016-08-19,119.975,120.72,119.0,120.3
2016-08-22,120.425,120.63,119.86,120.3
2016-08-23,120.92,121.97,120.92,121.27
2016-08-24,120.685,121.75,120.65,120.94
2016-08-25,120.6,121.35,120.6,121.09
2016-08-26,121.715,122.55,120.99,121.57
2016-08-29,122.4,122.65,121.92,122.6
2016-08-30,122.45,122.97,122.13,122.97
2016-08-31,122.79,124.33,122.59,123.54
2016-09-01,123.54,124.26,122.6449,123.94
2016-09-02,124.56,125.5,124.54,125.43
2016-09-06,125.56,125.99,125.09,125.79
2016-09-07,125.505,125.9,124.95,125.69
2016-09-08,125.565,126.5199,125.46,125.73
2016-09-09,124.95,125.54,122.22,122.22
2016-09-12,121.52,124.39,121.06,124.24
2016-09-13,123.27,123.45,121.51,122.12
2016-09-14,122.37,122.81,121.12,121.52
2016-09-15,121.87,124.72,121.51,124.11
2016-09-16,123.51,123.88,122.46,123.27
2016-09-19,124.095,125.67,124.07,124.68
2016-09-20,125.55,125.84,124.76,124.78
2016-09-21,126.65,127.72,125.45,127.56
2016-09-22,127.86,128.38,126.575,126.83
2016-09-23,126.39,126.7,124.98,124.98
2016-09-26,124.24,125.91,124.24,124.93
2016-09-27,124.44,127.3899,124.44,126.86
2016-09-28,127.01,127.72,125.69,127.56
2016-09-29,127.32,127.6,124.5,125.02
2016-09-30,126.43,127.2,125.92,126.56
