timestamp,open,high,low,close
2004-01-02,30.19,30.19,30.19,30.19
2004-01-05,29.984,29.984,29.984,29.984
2004-01-06,30.1744,30.1744,30.1744,30.1744
2004-01-07,30.23,30.23,30.23,30.23
2004-01-08,30.005,30.005,30.005,30.005
2004-01-09,30.15,30.15,30.15,30.15
2004-01-12,29.82,29.82,29.82,29.82
2004-01-13,29.74,29.74,29.74,29.74
2004-01-14,29.9937,29.9937,29.9937,29.9937
2004-01-15,30.17,30.17,30.17,30.17
2004-01-16,30.52,30.52,30.52,30.52
2004-01-20,30.89,30.89,30.89,30.89
2004-01-21,31.38,31.38,31.38,31.38
2004-01-22,31.68,31.68,31.68,31.68
2004-01-23,31.95,31.95,31.95,31.95
2004-01-26,31.48,31.48,31.48,31.48
2004-01-27,31.43,31.43,31.43,31.43
2004-01-28,31.24,31.24,31.24,31.24
2004-01-29,31.3108,31.3108,31.3108,31.3108
2004-01-30,31.14,31.14,31.14,31.14
2004-02-02,30.93,30.93,30.93,30.93
2004-02-03,31.04,31.04,31.04,31.04
2004-02-04,30.9,30.9,30.9,30.9
2004-02-05,30.93,30.93,30.93,30.93
2004-02-06,31.13,31.13,31.13,31.13
2004-02-09,30.81,30.81,30.81,30.81
2004-02-10,31.27,31.27,31.27,31.27
2004-02-11,31.52,31.52,31.52,31.52
2004-02-12,31.3,31.3,31.3,31.3
2004-02-13,31.01,31.01,31.01,31.01
2004-02-17,31.1,31.1,31.1,31.1
2004-02-18,31.1016,31.1016,31.1016,31.1016
2004-02-19,31.01,31.01,31.01,31.01
2004-02-20,30.94,30.94,30.94,30.94
2004-02-23,30.91,30.91,30.91,30.91
2004-02-24,31.38,31.38,31.38,31.38
2004-02-25,31.57,31.57,31.57,31.57
2004-02-26,31.7325,31.7325,31.7325,31.7325
2004-02-27,31.7,31.7,31.7,31.7
2004-03-01,32.38,32.38,32.38,32.38
2004-03-02,32.447,32.447,32.447,32.447
2004-03-03,32.66,32.66,32.66,32.66
2004-03-04,32.85,32.85,32.85,32.85
2004-03-05,32.96,32.96,32.96,32.96
2004-03-08,32.9,32.9,32.9,32.9
2004-03-09,32.72,32.72,32.72,32.72
2004-03-10,32.3078,32.3078,32.3078,32.3078
2004-03-11,31.71,31.71,31.71,31.71
2004-03-12,31.91,31.91,31.91,31.91
2004-03-15,31.81,31.81,31.81,31.81
2004-03-16,32.12,32.12,32.12,32.12
2004-03-17,32.88,32.88,32.88,32.88
2004-03-18,31.96,31.96,31.96,31.96
2004-03-19,31.6625,31.6625,31.6625,31.6625
2004-03-22,31.36,31.36,31.36,31.36
2004-03-23,31.26,31.26,31.26,31.26
2004-03-24,31.24,31.24,31.24,31.24
2004-03-25,31.25,31.25,31.25,31.25
2004-03-26,31.03,31.03,31.03,31.03
2004-03-29,31.19,31.19,31.19,31.19
2004-03-30,31.91,31.91,31.91,31.91
2004-03-31,31.8,31.8,31.8,31.8
2004-04-01,32.02,32.02,32.02,32.02
2004-04-02,32.11,32.11,32.11,32.11
2004-04-05,32.11,32.11,32.11,32.11
2004-04-06,32.1,32.1,32.1,32.1
2004-04-07,32.19,32.19,32.19,32.19
2004-04-08,32.12,32.12,32.12,32.12
2004-04-12,31.72,31.72,31.72,31.72
2004-04-13,31.1,31.1,31.1,31.1
2004-04-14,31.3,31.3,31.3,31.3
2004-04-15,31.24,31.24,31.24,31.24
2004-04-16,31.27,31.27,31.27,31.27
2004-04-19,31.16,31.16,31.16,31.16
2004-04-20,31.2656,31.2656,31.2656,31.2656
2004-04-21,31.2,31.2,31.2,31.2
2004-04-22,31.6461,31.6461,31.6461,31.6461
2004-04-23,31.74,31.74,31.74,31.74
2004-04-26,31.76,31.76,31.76,31.76
2004-04-27,31.64,31.64,31.64,31.64
2004-04-28,31.22,31.22,31.22,31.22
2004-04-29,31.4,31.4,31.4,31.4
2004-04-30,31.67,31.67,31.67,31.67
2004-05-03,32.172,32.172,32.172,32.172
2004-05-04,32.45,32.45,32.45,32.45
2004-05-05,32.8927,32.8927,32.8927,32.8927
2004-05-06,32.93,32.93,32.93,32.93
2004-05-07,32.3789,32.3789,32.3789,32.3789
2004-05-10,31.8,31.8,31.8,31.8
2004-05-11,31.15,31.15,31.15,31.15
