timestamp,open,high,low,close
2004-01-02,51.51,51.51,51.51,51.51
2004-01-05,53.65,53.65,53.65,53.65
2004-01-06,54.3593,54.3593,54.3593,54.3593
2004-01-07,53.64,53.64,53.64,53.64
2004-01-08,54.0,54.0,54.0,54.0
2004-01-09,54.75,54.75,54.75,54.75
2004-01-12,55.22,55.22,55.22,55.22
2004-01-13,53.28,53.28,53.28,53.28
2004-01-14,56.01,56.01,56.01,56.01
2004-01-15,56.25,56.25,56.25,56.25
2004-01-16,55.73,55.73,55.73,55.73
2004-01-20,55.98,55.98,55.98,55.98
2004-01-21,56.33,56.33,56.33,56.33
2004-01-22,56.13,56.13,56.13,56.13
2004-01-23,55.08,55.08,55.08,55.08
2004-01-26,55.18,55.18,55.18,55.18
2004-01-27,54.01,54.01,54.01,54.01
2004-01-28,53.33,53.33,53.33,53.33
2004-01-29,53.6473,53.6473,53.6473,53.6473
2004-01-30,53.7526,53.7526,53.7526,53.7526
2004-02-02,53.24,53.24,53.24,53.24
2004-02-03,53.18,53.18,53.18,53.18
2004-02-04,52.92,52.92,52.92,52.92
2004-02-05,52.56,52.56,52.56,52.56
2004-02-06,53.36,53.36,53.36,53.36
2004-02-09,52.95,52.95,52.95,52.95
2004-02-10,53.36,53.36,53.36,53.36
2004-02-11,54.03,54.03,54.03,54.03
2004-02-12,54.2,54.2,54.2,54.2
2004-02-13,54.33,54.33,54.33,54.33
2004-02-17,54.48,54.48,54.48,54.48
2004-02-18,54.4698,54.4698,54.4698,54.4698
2004-02-19,54.35,54.35,54.35,54.35
2004-02-20,54.27,54.27,54.27,54.27
2004-02-23,53.43,53.43,53.43,53.43
2004-02-24,53.48,53.48,53.48,53.48
2004-02-25,54.08,54.08,54.08,54.08
2004-02-26,53.57,53.57,53.57,53.57
2004-02-27,53.73,53.73,53.73,53.73
2004-03-01,53.41,53.41,53.41,53.41
2004-03-02,52.89,52.89,52.89,52.89
2004-03-03,52.83,52.83,52.83,52.83
2004-03-04,52.96,52.96,52.96,52.96
2004-03-05,54.29,54.29,54.29,54.29
2004-03-08,53.35,53.35,53.35,53.35
2004-03-09,52.4,52.4,52.4,52.4
2004-03-10,51.0455,51.0455,51.0455,51.0455
2004-03-11,49.85,49.85,49.85,49.85
2004-03-12,50.92,50.92,50.92,50.92
2004-03-15,49.8933,49.8933,49.8933,49.8933
2004-03-16,52.01,52.01,52.01,52.01
2004-03-17,53.46,53.46,53.46,53.46
2004-03-18,53.38,53.38,53.38,53.38
2004-03-19,52.2675,52.2675,52.2675,52.2675
2004-03-22,51.72,51.72,51.72,51.72
2004-03-23,51.56,51.56,51.56,51.56
2004-03-24,51.51,51.51,51.51,51.51
2004-03-25,52.11,52.11,52.11,52.11
2004-03-26,52.38,52.38,52.38,52.38
2004-03-29,53.06,53.06,53.06,53.06
2004-03-30,52.4,52.4,52.4,52.4
2004-03-31,52.13,52.13,52.13,52.13
2004-04-01,52.27,52.27,52.27,52.27
2004-04-02,52.56,52.56,52.56,52.56
2004-04-05,53.62,53.62,53.62,53.62
2004-04-06,53.2853,53.2853,53.2853,53.2853
2004-04-07,53.02,53.02,53.02,53.02
2004-04-08,53.26,53.26,53.26,53.26
2004-04-12,54.35,54.35,54.35,54.35
2004-04-13,52.14100000000001,52.14100000000001,52.14100000000001,52.14100000000001
2004-04-14,49.91,49.91,49.91,49.91
2004-04-15,49.35,49.35,49.35,49.35
2004-04-16,49.76,49.76,49.76,49.76
2004-04-19,49.049,49.049,49.049,49.049
2004-04-20,48.3942,48.3942,48.3942,48.3942
2004-04-21,47.995,47.995,47.995,47.995
2004-04-22,49.5219,49.5219,49.5219,49.5219
2004-04-23,50.19,50.19,50.19,50.19
2004-04-26,49.65,49.65,49.65,49.65
2004-04-27,49.93,49.93,49.93,49.93
2004-04-28,49.02,49.02,49.02,49.02
2004-04-29,48.89,48.89,48.89,48.89
2004-04-30,48.8,48.8,48.8,48.8
2004-05-03,48.61,48.61,48.61,48.61
2004-05-04,49.15,49.15,49.15,49.15
2004-05-05,50.1727,50.1727,50.1727,50.1727
2004-05-06,49.62,49.62,49.62,49.62
2004-05-07,47.6,47.6,47.6,47.6
2004-05-10,46.78,46.78,46.78,46.78
2004-05-11,46.52,46.52,46.52,46.52
2004-05-12,46.8,46.8,46.8,46.8
2004-05-13,46.85,46.85,46.85,46.85
2004-05-14,46.64,46.64,46.64,46.64
2004-05-17,46.0,46.0,46.0,46.0
2004-05-18,46.95,46.95,46.95,46.95
2004-05-19,47.2609,47.2609,47.2609,47.2609
2004-05-20,47.15,47.15,47.15,47.15
2004-05-21,47.81,47.81,47.81,47.81
2004-05-24,47.81,47.81,47.81,47.81
2004-05-25,48.63,48.63,48.63,48.63
2004-05-26,48.7,48.7,48.7,48.7
2004-05-27,48.42,48.42,48.42,48.42
2004-05-28,48.42,48.42,48.42,48.42
2004-06-01,48.41,48.41,48.41,48.41
2004-06-02,48.42,48.42,48.42,48.42
2004-06-03,47.9087,47.9087,47.9087,47.9087
2004-06-04,48.28,48.28,48.28,48.28
2004-06-07,49.2,49.2,49.2,49.2
2004-06-08,48.9,48.9,48.9,48.9
2004-06-09,48.49,48.49,48.49,48.49
2004-06-10,48.56,48.56,48.56,48.56
2004-06-14,47.77,47.77,47.77,47.77
2004-06-15,47.81,47.81,47.81,47.81
2004-06-16,47.56,47.56,47.56,47.56
2004-06-17,48.05,48.05,48.05,48.05
2004-06-18,48.59,48.59,48.59,48.59
2004-06-21,49.08,49.08,49.08,49.08
2004-06-22,49.39,49.39,49.39,49.39
2004-06-23,49.78,49.78,49.78,49.78
2004-06-24,50.01,50.01,50.01,50.01
2004-06-25,49.6133,49.6133,49.6133,49.6133
2004-06-28,48.87,48.87,48.87,48.87
2004-06-29,48.68,48.68,48.68,48.68
2004-06-30,49.04,49.04,49.04,49.04
2004-07-01,49.08,49.08,49.08,49.08
2004-07-02,49.65,49.65,49.65,49.65
2004-07-06,48.89,48.89,48.89,48.89
2004-07-07,48.9097,48.9097,48.9097,48.9097
2004-07-08,48.67,48.67,48.67,48.67
2004-07-09,48.85,48.85,48.85,48.85
2004-07-12,49.51,49.51,49.51,49.51
2004-07-13,44.95,44.95,44.95,44.95
2004-07-14,44.68,44.68,44.68,44.68
2004-07-15,43.8648,43.8648,43.8648,43.8648
2004-07-16,43.51,43.51,43.51,43.51
2004-07-19,43.38,43.38,43.38,43.38
2004-07-20,43.99,43.99,43.99,43.99
2004-07-21,43.79,43.79,43.79,43.79
2004-07-22,43.46,43.46,43.46,43.46
2004-07-23,42.34,42.34,42.34,42.34
2004-07-26,42.2173,42.2173,42.2173,42.2173
2004-07-27,42.76,42.76,42.76,42.76
2004-07-28,42.50899999999999,42.50899999999999,42.50899999999999,42.50899999999999
2004-07-29,43.541,43.541,43.541,43.541
2004-07-30,42.81,42.81,42.81,42.81
2004-08-02,43.6735,43.6735,43.6735,43.6735
2004-08-03,43.54,43.54,43.54,43.54
2004-08-04,43.97,43.97,43.97,43.97
2004-08-05,43.02,43.02,43.02,43.02
2004-08-06,42.4626,42.4626,42.4626,42.4626
2004-08-09,42.31,42.31,42.31,42.31
2004-08-10,43.03,43.03,43.03,43.03
2004-08-11,43.04,43.04,43.04,43.04
2004-08-12,42.71,42.71,42.71,42.71
2004-08-13,42.84,42.84,42.84,42.84
2004-08-16,44.04,44.04,44.04,44.04
2004-08-17,44.71,44.71,44.71,44.71
2004-08-18,45.5,45.5,45.5,45.5
2004-08-19,45.16,45.16,45.16,45.16
2004-08-20,45.29,45.29,45.29,45.29
2004-08-23,45.19,45.19,45.19,45.19
2004-08-24,44.96,44.96,44.96,44.96
2004-08-25,45.38,45.38,45.38,45.38
2004-08-26,45.61,45.61,45.61,45.61
2004-08-27,45.34,45.34,45.34,45.34
2004-08-30,44.95,44.95,44.95,44.95
2004-08-31,45.14,45.14,45.14,45.14
2004-09-01,45.2,45.2,45.2,45.2
2004-09-02,44.58,44.58,44.58,44.58
2004-09-03,45.39,45.39,45.39,45.39
2004-09-07,46.04,46.04,46.04,46.04
2004-09-08,45.63,45.63,45.63,45.63
2004-09-09,45.41,45.41,45.41,45.41
2004-09-10,45.42,45.42,45.42,45.42
2004-09-13,45.37,45.37,45.37,45.37
2004-09-14,45.35,45.35,45.35,45.35
2004-09-15,45.04,45.04,45.04,45.04
2004-09-16,45.0333,45.0333,45.0333,45.0333
2004-09-17,45.01,45.01,45.01,45.01
