timestamp,open,high,low,close
2005-12-01,24.91,25.4,24.91,25.3
2005-12-02,25.3,25.34,25.01,25.07
2005-12-05,25.07,25.45,25.07,25.29
2005-12-06,25.33,25.6,25.16,25.2
2005-12-07,25.1601,25.22,24.89,25.01
2005-12-08,25.09,25.15,24.69,24.9229
2005-12-09,24.9701,25.04,24.78,24.8977
2005-12-12,25.25,25.75,24.73,24.88
2005-12-13,24.87,25.06,24.65,25.02
2005-12-14,24.75,25.02,24.7,24.75
2005-12-15,24.87,24.9,24.67,24.85
2005-12-16,24.86,25.02,24.83,24.9675
2005-12-19,24.96,24.96,24.7,24.83
2005-12-20,24.83,24.94,24.55,24.6
2005-12-21,24.65,24.67,24.35,24.45
2005-12-22,24.33,24.68,24.25,24.57
2005-12-23,24.52,24.77,24.48,24.63
2005-12-24,24.63,24.63,24.63,24.63
2005-12-27,24.64,24.8,24.56,24.63
2005-12-28,24.63,24.74,24.61,24.63
2005-12-29,24.62,24.84,24.5,24.6
2005-12-30,24.62,24.62,23.65,24.19
2006-01-03,24.49,24.87,24.24,24.71
2006-01-04,24.71,25.06,24.66,24.89
2006-01-05,24.89,25.1,24.89,24.92
2006-01-06,24.78,25.02,24.61,24.93
2006-01-09,24.93,25.1,24.54,25.05
2006-01-10,24.94,24.99,24.73,24.87
2006-01-11,24.86,25.29,24.79,25.29
2006-01-12,25.29,25.29,24.87,24.96
2006-01-13,24.96,25.08,24.82,24.99
2006-01-17,24.82,24.89,24.63,24.7524
2006-01-18,24.71,24.86,24.66,24.82
2006-01-19,24.89,24.98,24.84,24.9
2006-01-20,24.9,24.9,24.61,24.7089
2006-01-23,24.71,24.72,24.39,24.45
2006-01-24,24.6,24.9935,24.5,24.66
2006-01-25,24.75,25.25,24.53,25.25
2006-01-26,25.3,25.58,25.27,25.51
2006-01-27,25.52,25.98,25.52,25.89
2006-01-30,25.87,26.16,25.85,26.05
2006-01-31,25.85,26.2,25.85,26.06
2006-02-01,25.95,26.6,25.91,26.57
2006-02-02,26.55,26.75,26.3,26.52
2006-02-03,26.52,26.93,26.43,26.79
2006-02-06,26.83,27.99,26.78,27.14
2006-02-07,27.05,27.2,26.78,26.92
2006-02-08,26.92,27.13,26.69,27.1292
2006-02-09,27.24,27.39,27.02,27.13
2006-02-10,27.09,27.59,27.03,27.48
2006-02-13,27.59,27.81,27.47,27.8
2006-02-14,27.48,28.76,27.48,28.29
2006-02-15,28.29,28.65,27.95,28.44
2006-02-16,28.32,28.65,28.23,28.46
2006-02-17,28.5,28.51,28.18,28.28
2006-02-21,28.25,28.47,28.13,28.15
2006-02-22,28.16,28.36,28.06,28.25
2006-02-23,28.16,28.21,27.77,27.94
2006-02-24,27.98,28.04,27.4214,27.5894
2006-02-27,27.52,27.965999999999998,27.48,27.7697
2006-02-28,27.7,27.76,27.55,27.561
2006-03-01,27.6,28.18,27.6,28.0899
2006-03-02,28.09,28.38,27.97,28.1472
2006-03-03,28.13,28.2,27.87,27.97
2006-03-06,27.51,27.87,26.78,27.1
2006-03-07,27.02,27.02,26.1101,26.5282
2006-03-08,26.53,26.82,26.35,26.79
2006-03-09,26.8,27.1301,26.7,26.7
2006-03-10,27.5,27.5,26.29,27.22
2006-03-13,27.25,27.38,26.94,27.12
2006-03-14,27.21,27.4,27.08,27.3197
2006-03-15,27.33,27.34,27.17,27.3099
2006-03-16,27.32,27.32,26.89,27.1098
2006-03-17,27.12,27.24,26.89,27.0
2006-03-18,26.98,26.98,26.97,26.97
2006-03-20,27.0,27.2,26.71,26.78
2006-03-21,26.78,26.86,26.59,26.72
2006-03-22,26.72,26.95,26.32,26.92
2006-03-23,26.92,27.03,26.92,26.94
2006-03-24,27.0,27.38,26.94,27.37
2006-03-27,27.4,27.42,27.26,27.31
2006-03-28,27.26,27.39,26.95,27.02
2006-03-29,27.05,27.4,26.94,27.26
2006-03-30,27.26,27.46,27.0,27.0254
2006-03-31,27.02,27.28,27.0,27.03
2006-04-03,27.75,27.75,26.9,26.9
2006-04-04,26.95,27.25,26.95,27.12
2006-04-05,26.4,27.19,26.4,27.08
2006-04-06,27.09,27.09,26.34,26.46
2006-04-07,26.77,26.77,26.11,26.16
2006-04-10,26.16,26.23,25.93,26.08
2006-04-11,26.23,26.23,25.54,25.69
2006-04-12,25.78,25.84,25.48,25.639
2006-04-13,25.58,25.67,25.45,25.58
2006-04-17,25.05,25.7101,25.05,25.43
2006-04-18,25.44,26.01,25.44,25.94
2006-04-19,25.99,26.08,25.51,25.75
2006-04-20,25.75,25.78,25.3,25.37
2006-04-21,25.37,25.54,25.3,25.37
2006-04-24,25.35,25.58,25.15,25.58
2006-04-25,25.8,26.02,25.45,25.5
2006-04-26,25.7,26.34,25.6,26.15
2006-04-27,26.16,26.45,26.0,26.38
2006-04-28,26.37,26.45,26.06,26.28
2006-05-01,26.22,26.46,26.11,26.3
2006-05-02,26.25,26.33,26.13,26.16
2006-05-03,26.15,26.22,25.85,25.99
2006-05-04,25.99,26.15,25.86,25.92
2006-05-05,26.1,26.1302,25.87,25.92
2006-05-08,25.97,26.24,25.95,26.14
2006-05-09,26.25,26.34,26.06,26.31
2006-05-10,26.31,26.51,26.08,26.17
2006-05-11,26.18,26.3,25.93,26.12
2006-05-12,26.07,26.13,25.61,25.61
2006-05-15,25.66,25.84,25.55,25.7868
2006-05-16,26.05,26.05,25.59,25.77
2006-05-17,25.55,25.67,24.92,25.1
2006-05-18,25.2,25.2,24.74,24.74
2006-05-19,25.0,25.45,24.89,25.28
2006-05-22,24.97,25.636,24.97,25.2
2006-05-23,25.24,25.55,24.5,25.25
2006-05-24,25.25,25.51,25.2101,25.47
2006-05-25,24.7,25.85,24.7,25.1
2006-05-26,25.7,26.2714,25.7,26.2
2006-05-30,26.43,26.43,25.7,25.84
2006-05-31,25.8,26.39,25.69,26.25
2006-06-01,26.32,26.95,26.06,26.91
2006-06-02,26.91,27.04,26.49,26.73
2006-06-05,26.73,26.97,26.59,26.6
2006-06-06,26.6,27.06,26.5,26.73
2006-06-07,26.78,26.89,26.58,26.735
2006-06-08,26.75,26.96,26.17,26.58
2006-06-09,26.59,26.84,26.4327,26.62
2006-06-12,26.9,27.09,26.4,26.6
2006-06-13,26.05,27.13,26.05,27.05
2006-06-14,27.02,27.29,26.93,27.17
2006-06-15,27.25,27.85,27.19,27.73
2006-06-16,27.73,27.89,27.66,27.79
2006-06-19,27.79,28.02,27.79,27.8398
2006-06-20,27.84,28.0,27.55,27.58
2006-06-21,27.78,27.78,27.0,27.3247
2006-06-22,27.33,27.45,27.01,27.29
2006-06-23,27.29,27.56,27.06,27.37
2006-06-26,27.85,27.85,27.2,27.33
2006-06-27,27.34,27.48,27.29,27.35
2006-06-28,27.35,27.55,27.24,27.55
2006-06-29,27.5,27.84,27.42,27.58
2006-06-30,27.69,28.0,27.69,27.89
2006-07-03,27.9,28.0999,27.83,27.93
2006-07-05,28.3,28.3,27.88,27.9
2006-07-06,27.78,27.9,27.46,27.67
2006-07-07,27.63,27.75,27.48,27.74
2006-07-10,27.74,27.97,27.38,27.38
2006-07-11,27.38,27.47,27.18,27.24
2006-07-12,27.29,27.58,27.01,27.16
2006-07-13,27.16,27.24,26.36,26.56
2006-07-14,26.56,26.79,26.48,26.54
2006-07-17,26.58,26.8,26.5,26.75
2006-07-18,26.75,27.06,26.67,26.99
2006-07-19,27.0,27.57,26.99,27.47
2006-07-20,27.47,27.75,27.25,27.47
2006-07-21,27.36,27.61,27.32,27.34
2006-07-24,27.49,27.96,27.31,27.96
2006-07-25,27.5,29.74,27.5,29.05
2006-07-26,29.1,29.69,28.79,29.5
2006-07-27,29.51,30.08,29.47,29.68
2006-07-28,29.68,30.39,29.68,30.0
2006-07-31,30.1,30.1,29.6,29.99
2006-08-01,29.99,30.19,29.43,29.76
2006-08-02,29.76,30.82,29.76,30.58
2006-08-03,30.2,30.92,30.2,30.9
2006-08-04,30.96,31.07,30.76,30.97
2006-08-07,30.4,31.1399,30.4,30.81
2006-08-08,30.85,30.88,30.57,30.71
2006-08-09,30.9042,31.16,30.05,30.24
2006-08-10,30.22,30.24,29.83,30.19
2006-08-11,30.22,30.32,30.0,30.22
2006-08-14,30.3,30.62,29.8,29.81
2006-08-15,30.0,30.4552,29.9,30.36
2006-08-16,30.36,30.39,30.24,30.25
2006-08-17,30.24,30.48,30.14,30.45
2006-08-18,30.45,30.87,30.29,30.5
