timestamp,open,high,low,close
2007-10-01,26.49,28.49,26.1,27.6
2007-10-02,28.17,29.5,27.2,27.54
2007-10-03,26.0,27.51,26.0,26.64
2007-10-04,26.81,26.8586,26.17,26.54
2007-10-05,27.03,27.43,26.8,27.12
2007-10-08,27.15,27.4,27.0,27.27
2007-10-09,27.35,27.418000000000003,27.05,27.32
2007-10-10,27.74,28.1,26.85,26.97
2007-10-11,27.26,27.36,26.71,26.82
2007-10-12,26.6,28.49,26.53,28.39
2007-10-15,28.64,29.1,28.6301,29.09
2007-10-16,29.8,29.9,28.63,29.03
2007-10-17,29.18,29.18,28.42,28.84
2007-10-18,27.87,28.91,27.78,28.735
2007-10-19,28.59,28.69,27.53,27.53
2007-10-22,28.89,28.89,27.18,27.81
2007-10-23,27.95,28.01,27.57,27.89
2007-10-24,27.89,28.24,27.5,28.23
2007-10-25,28.2,28.58,28.0,28.58
2007-10-26,28.5,29.69,28.5,28.9
2007-10-29,28.7,28.77,27.66,27.78
2007-10-30,27.83,28.7,27.83,28.3
2007-10-31,28.5,28.54,27.71,27.98
2007-11-01,28.53,28.53,27.49,27.67
2007-11-02,27.73,27.91,27.49,27.9
2007-11-05,27.95,28.0,27.21,27.4
2007-11-06,27.01,27.49,27.0,27.25
2007-11-07,27.0,27.73,26.63,26.63
2007-11-08,26.22,26.52,25.89,26.22
2007-11-09,25.8,25.8,24.75,24.75
2007-11-12,24.59,25.07,24.59,24.89
2007-11-13,25.01,25.93,24.75,25.86
2007-11-14,26.06,26.06,24.68,25.0
2007-11-15,25.05,25.05,24.24,24.72
2007-11-16,24.53,24.53,23.21,23.8
2007-11-19,23.4,23.72,23.13,23.13
2007-11-20,23.14,24.33,22.4,24.12
2007-11-21,23.97,24.51,23.97,24.01
2007-11-23,23.9,24.87,23.9,24.84
2007-11-26,24.96,25.29,24.27,24.28
2007-11-27,24.26,24.59,23.99,24.59
2007-11-28,24.73,26.25,24.59,24.59
2007-11-29,26.07,26.77,25.79,26.5
2007-11-30,26.575,26.575,25.67,25.76
2007-12-03,25.96,26.42,25.39,26.0182
2007-12-04,26.43,27.45,26.28,26.37
2007-12-05,26.67,27.28,26.67,26.7
2007-12-06,26.77,27.065,26.66,26.85
2007-12-07,26.87,27.19,26.29,26.52
2007-12-10,26.54,26.86,26.44,26.7
2007-12-11,26.9,27.07,25.5,26.7
2007-12-12,25.54,26.81,25.54,26.25
2007-12-13,25.9,26.69,25.9,26.69
