timestamp,open,high,low,close
2019-12-09,54.72,54.72,54.72,54.72
2019-12-10,55.12,55.12,55.12,55.12
2019-12-11,53.7,53.7,53.7,53.7
2019-12-12,56.08,56.08,56.08,56.08
2019-12-13,56.02,56.02,56.02,56.02
2019-12-16,56.22,56.22,56.22,56.22
2019-12-17,56.67,56.67,56.67,56.67
2019-12-18,56.32,56.32,56.32,56.32
2019-12-19,56.14,56.14,56.14,56.14
2019-12-20,56.67,56.67,56.67,56.67
2019-12-23,56.25,56.25,56.25,56.25
2019-12-24,56.16,56.16,56.16,56.16
2019-12-26,56.72,56.72,56.72,56.72
2019-12-27,56.48,56.48,56.48,56.48
2019-12-30,56.42,56.42,56.42,56.42
2019-12-31,56.32,56.32,56.32,56.32
2020-01-02,56.66,56.66,56.66,56.66
2020-01-03,56.2,56.2,56.2,56.2
2020-01-06,55.73,55.73,55.73,55.73
2020-01-07,55.49,55.49,55.49,55.49
2020-01-08,55.6,55.6,55.6,55.6
2020-01-09,56.18,56.18,56.18,56.18
2020-01-10,55.96,55.96,55.96,55.96
2020-01-13,56.22,56.22,56.22,56.22
2020-01-14,56.36,56.36,56.36,56.36
2020-01-15,55.13,55.13,55.13,55.13
2020-01-16,55.86,55.86,55.86,55.86
2020-01-17,56.29,56.29,56.29,56.29
2020-01-21,56.28,56.28,56.28,56.28
2020-01-22,56.34,56.34,56.34,56.34
2020-01-23,56.36,56.36,56.36,56.36
2020-01-24,55.48,55.48,55.48,55.48
2020-01-27,54.68,54.68,54.68,54.68
2020-01-28,54.96,54.96,54.96,54.96
2020-01-29,53.86,53.86,53.86,53.86
2020-01-30,52.13,52.13,52.13,52.13
2020-01-31,51.5,51.5,51.5,51.5
2020-02-03,52.5,52.5,52.5,52.5
2020-02-04,53.16,53.16,53.16,53.16
2020-02-05,54.43,54.43,54.43,54.43
2020-02-06,54.18,54.18,54.18,54.18
2020-02-07,54.27,54.27,54.27,54.27
2020-02-10,54.33,54.33,54.33,54.33
2020-02-11,54.81,54.81,54.81,54.81
2020-02-12,54.44,54.44,54.44,54.44
2020-02-13,54.82,54.82,54.82,54.82
2020-02-14,54.94,54.94,54.94,54.94
2020-02-18,54.01,54.01,54.01,54.01
2020-02-19,54.61,54.61,54.61,54.61
2020-02-20,55.31,55.31,55.31,55.31
2020-02-21,54.85,54.85,54.85,54.85
2020-02-24,53.77,53.77,53.77,53.77
2020-02-25,51.0,51.0,51.0,51.0
2020-02-26,50.7,50.7,50.7,50.7
2020-02-27,47.55,47.55,47.55,47.55
2020-02-28,46.14,46.14,46.14,46.14
2020-02-29,46.14,46.14,46.14,46.14
2020-03-02,48.81,48.81,48.81,48.81
2020-03-03,46.89,46.89,46.89,46.89
2020-03-04,47.38,47.38,47.38,47.38
2020-03-05,43.61,43.61,43.61,43.61
2020-03-06,40.66,40.66,40.66,40.66
2020-03-09,33.93,33.93,33.93,33.93
2020-03-10,36.0,36.0,36.0,36.0
2020-03-11,34.49,34.49,34.49,34.49
2020-03-12,29.51,29.51,29.51,29.51
2020-03-13,33.71,33.71,33.71,33.71
2020-03-16,27.37,27.37,27.37,27.37
2020-03-17,29.2601,29.2601,29.2601,29.2601
2020-03-18,27.5,27.5,27.5,27.5
2020-03-19,29.0,29.0,29.0,29.0
2020-03-20,30.04,30.04,30.04,30.04
2020-03-23,26.55,26.55,26.55,26.55
2020-03-24,30.08,30.08,30.08,30.08
2020-03-25,31.0,31.0,31.0,31.0
2020-03-26,34.2,34.2,34.2,34.2
2020-03-27,33.45,33.45,33.45,33.45
2020-03-30,32.45,32.45,32.45,32.45
2020-03-31,30.5,30.5,30.5,30.5
2020-04-01,28.47,28.47,28.47,28.47
2020-04-02,28.45,28.45,28.45,28.45
2020-04-03,27.3,27.3,27.3,27.3
2020-04-06,29.7,29.7,29.7,29.7
2020-04-07,30.39,30.39,30.39,30.39
2020-04-08,32.75,32.75,32.75,32.75
2020-04-09,36.85,36.85,36.85,36.85
2020-04-13,33.94,33.94,33.94,33.94
2020-04-14,33.25,33.25,33.25,33.25
2020-04-15,31.0,31.0,31.0,31.0
2020-04-16,32.6,32.6,32.6,32.6
2020-04-17,33.75,33.75,33.75,33.75
2020-04-20,34.13,34.13,34.13,34.13
2020-04-21,34.4,34.4,34.4,34.4
2020-04-22,34.38,34.38,34.38,34.38
2020-04-23,34.29,34.29,34.29,34.29
2020-04-24,35.48,35.48,35.48,35.48
2020-04-27,37.47,37.47,37.47,37.47
2020-04-28,37.52,37.52,37.52,37.52
2020-04-29,39.2,39.2,39.2,39.2
2020-04-30,37.72,37.72,37.72,37.72
2020-05-01,35.44,35.44,35.44,35.44
2020-05-04,35.56,35.56,35.56,35.56
2020-05-05,35.2,35.2,35.2,35.2
2020-05-06,34.3,34.3,34.3,34.3
2020-05-07,35.24,35.24,35.24,35.24
2020-05-08,36.2,36.2,36.2,36.2
2020-05-11,34.45,34.45,34.45,34.45
2020-05-12,32.79,32.79,32.79,32.79
2020-05-13,31.63,31.63,31.63,31.63
2020-05-14,32.25,32.25,32.25,32.25
2020-05-15,31.35,31.35,31.35,31.35
2020-05-18,34.15,34.15,34.15,34.15
2020-05-19,32.34,32.34,32.34,32.34
2020-05-20,33.8499,33.8499,33.8499,33.8499
2020-05-21,34.17,34.17,34.17,34.17
2020-05-22,33.29,33.29,33.29,33.29
2020-05-26,36.75,36.75,36.75,36.75
2020-05-27,39.5,39.5,39.5,39.5
