timestamp,open,high,low,close
2004-01-02,64.12,64.12,64.12,64.12
2004-01-05,64.56,64.56,64.56,64.56
2004-01-06,65.32,65.32,65.32,65.32
2004-01-07,65.2,65.2,65.2,65.2
2004-01-08,65.24,65.24,65.24,65.24
2004-01-09,65.28,65.28,65.28,65.28
2004-01-12,65.56,65.56,65.56,65.56
2004-01-13,65.44,65.44,65.44,65.44
2004-01-14,67.84,67.84,67.84,67.84
2004-01-15,67.8,67.8,67.8,67.8
2004-01-16,67.4,67.4,67.4,67.4
2004-01-20,72.0,72.0,72.0,72.0
2004-01-21,72.2,72.2,72.2,72.2
2004-01-22,72.0,72.0,72.0,72.0
2004-01-23,69.72,69.72,69.72,69.72
2004-01-26,68.16,68.16,68.16,68.16
2004-01-27,64.12,64.12,64.12,64.12
2004-01-28,52.72,52.72,52.72,52.72
2004-01-29,49.12,49.12,49.12,49.12
2004-01-30,49.6,49.6,49.6,49.6
2004-01-31,49.8,49.8,49.8,49.8
2004-02-02,48.8,48.8,48.8,48.8
2004-02-03,50.0,50.0,50.0,50.0
2004-02-04,49.48,49.48,49.48,49.48
2004-02-05,48.68,48.68,48.68,48.68
2004-02-06,52.8,52.8,52.8,52.8
2004-02-09,48.6,48.6,48.6,48.6
2004-02-10,49.4,49.4,49.4,49.4
2004-02-11,50.8,50.8,50.8,50.8
2004-02-12,50.0,50.0,50.0,50.0
2004-02-13,48.972,48.972,48.972,48.972
2004-02-17,49.84,49.84,49.84,49.84
2004-02-18,49.0,49.0,49.0,49.0
2004-02-19,50.0,50.0,50.0,50.0
2004-02-20,49.12,49.12,49.12,49.12
2004-02-23,49.4,49.4,49.4,49.4
2004-02-24,48.84,48.84,48.84,48.84
2004-02-25,49.44,49.44,49.44,49.44
2004-02-26,48.64,48.64,48.64,48.64
2004-02-27,48.08,48.08,48.08,48.08
2004-03-01,47.36,47.36,47.36,47.36
2004-03-02,48.0,48.0,48.0,48.0
2004-03-03,48.04,48.04,48.04,48.04
2004-03-04,48.08,48.08,48.08,48.08
2004-03-05,48.32,48.32,48.32,48.32
2004-03-08,47.8,47.8,47.8,47.8
2004-03-09,46.88,46.88,46.88,46.88
2004-03-10,40.6,40.6,40.6,40.6
2004-03-11,42.12,42.12,42.12,42.12
2004-03-12,39.68,39.68,39.68,39.68
2004-03-15,38.2,38.2,38.2,38.2
2004-03-16,41.4,41.4,41.4,41.4
2004-03-17,43.08,43.08,43.08,43.08
2004-03-18,44.72,44.72,44.72,44.72
2004-03-19,42.8,42.8,42.8,42.8
2004-03-20,42.8,42.8,42.8,42.8
2004-03-22,42.52,42.52,42.52,42.52
2004-03-23,42.52,42.52,42.52,42.52
2004-03-24,43.4,43.4,43.4,43.4
2004-03-25,41.76,41.76,41.76,41.76
2004-03-26,41.2,41.2,41.2,41.2
2004-03-29,42.96,42.96,42.96,42.96
2004-03-30,43.16,43.16,43.16,43.16
2004-03-31,44.64,44.64,44.64,44.64
2004-04-01,44.0,44.0,44.0,44.0
2004-04-02,44.0,44.0,44.0,44.0
2004-04-05,45.0,45.0,45.0,45.0
2004-04-06,44.44,44.44,44.44,44.44
2004-04-07,44.8,44.8,44.8,44.8
