timestamp,open,high,low,close
2017-10-31,40.95,40.95,40.95,40.95
2017-11-01,40.68,40.68,40.68,40.68
2017-11-02,41.35,41.35,41.35,41.35
2017-11-03,41.1949,41.1949,41.1949,41.1949
2017-11-06,41.44,41.44,41.44,41.44
2017-11-07,41.93,41.93,41.93,41.93
2017-11-08,40.08,40.08,40.08,40.08
2017-11-09,40.16,40.16,40.16,40.16
2017-11-10,40.82,40.82,40.82,40.82
2017-11-13,40.44,40.44,40.44,40.44
2017-11-14,40.2,40.2,40.2,40.2
2017-11-15,40.26,40.26,40.26,40.26
2017-11-16,41.0,41.0,41.0,41.0
2017-11-17,41.66,41.66,41.66,41.66
2017-11-20,42.14,42.14,42.14,42.14
2017-11-21,41.25,41.25,41.25,41.25
2017-11-22,41.03,41.03,41.03,41.03
2017-11-24,40.86,40.86,40.86,40.86
2017-11-27,40.59,40.59,40.59,40.59
2017-11-28,40.65,40.65,40.65,40.65
2017-11-29,41.51,41.51,41.51,41.51
2017-11-30,41.69,41.69,41.69,41.69
2017-12-01,41.54,41.54,41.54,41.54
2017-12-04,41.81,41.81,41.81,41.81
2017-12-05,41.65,41.65,41.65,41.65
2017-12-06,41.71,41.71,41.71,41.71
2017-12-07,41.98,41.98,41.98,41.98
2017-12-08,42.26,42.26,42.26,42.26
2017-12-11,41.39,41.39,41.39,41.39
2017-12-12,41.51,41.51,41.51,41.51
2017-12-13,42.27,42.27,42.27,42.27
2017-12-14,42.82,42.82,42.82,42.82
2017-12-15,42.83,42.83,42.83,42.83
2017-12-18,43.49,43.49,43.49,43.49
2017-12-19,43.79,43.79,43.79,43.79
2017-12-20,43.28,43.28,43.28,43.28
2017-12-21,44.27,44.27,44.27,44.27
2017-12-22,44.38,44.38,44.38,44.38
2017-12-26,44.95,44.95,44.95,44.95
2017-12-27,44.65,44.65,44.65,44.65
2017-12-28,44.34,44.34,44.34,44.34
2017-12-29,44.23,44.23,44.23,44.23
2018-01-02,45.26,45.26,45.26,45.26
2018-01-03,45.27,45.27,45.27,45.27
