timestamp,open,high,low,close
2005-01-21,8.6,8.6,8.6,8.6
2005-01-24,9.33,9.33,9.33,9.33
2005-01-25,12.2,12.2,12.2,12.2
2005-01-26,11.0,11.0,11.0,11.0
2005-01-27,10.1,10.1,10.1,10.1
2005-01-28,10.75,10.75,10.75,10.75
2005-01-31,10.97,10.97,10.97,10.97
2005-02-01,10.36,10.36,10.36,10.36
2005-02-02,10.85,10.85,10.85,10.85
2005-02-03,9.9,9.9,9.9,9.9
2005-02-04,10.28,10.28,10.28,10.28
2005-02-07,9.82,9.82,9.82,9.82
2005-02-08,8.8,8.8,8.8,8.8
2005-02-09,8.7,8.7,8.7,8.7
2005-02-10,8.5,8.5,8.5,8.5
2005-02-11,9.13,9.13,9.13,9.13
2005-02-14,9.79,9.79,9.79,9.79
2005-02-15,9.84,9.84,9.84,9.84
2005-02-16,10.0,10.0,10.0,10.0
2005-02-17,10.29,10.29,10.29,10.29
2005-02-18,9.93,9.93,9.93,9.93
2005-02-22,9.49,9.49,9.49,9.49
2005-02-23,9.5,9.5,9.5,9.5
2005-02-24,9.4,9.4,9.4,9.4
2005-02-25,9.35,9.35,9.35,9.35
2005-02-28,9.16,9.16,9.16,9.16
2005-03-01,9.11,9.11,9.11,9.11
2005-03-02,9.86,9.86,9.86,9.86
2005-03-03,9.05,9.05,9.05,9.05
2005-03-04,8.54,8.54,8.54,8.54
2005-03-07,8.45,8.45,8.45,8.45
2005-03-08,8.12,8.12,8.12,8.12
2005-03-09,7.83,7.83,7.83,7.83
2005-03-10,7.31,7.31,7.31,7.31
2005-03-11,7.06,7.06,7.06,7.06
2005-03-14,7.37,7.37,7.37,7.37
2005-03-15,8.8,8.8,8.8,8.8
2005-03-16,8.39,8.39,8.39,8.39
2005-03-17,8.19,8.19,8.19,8.19
2005-03-18,8.94,8.94,8.94,8.94
2005-03-21,8.57,8.57,8.57,8.57
2005-03-22,8.14,8.14,8.14,8.14
2005-03-23,8.4,8.4,8.4,8.4
2005-03-24,8.63,8.63,8.63,8.63
2005-03-28,8.67,8.67,8.67,8.67
2005-03-29,8.3,8.3,8.3,8.3
2005-03-30,8.2,8.2,8.2,8.2
2005-03-31,7.67,7.67,7.67,7.67
2005-04-01,7.28,7.28,7.28,7.28
2005-04-04,7.07,7.07,7.07,7.07
2005-04-05,6.94,6.94,6.94,6.94
2005-04-06,7.1078,7.1078,7.1078,7.1078
2005-04-07,7.45,7.45,7.45,7.45
2005-04-08,7.22,7.22,7.22,7.22
2005-04-11,7.18,7.18,7.18,7.18
2005-04-12,7.35,7.35,7.35,7.35
2005-04-13,7.28,7.28,7.28,7.28
2005-04-14,7.33,7.33,7.33,7.33
2005-04-15,7.26,7.26,7.26,7.26
2005-04-18,7.31,7.31,7.31,7.31
2005-04-19,7.51,7.51,7.51,7.51
2005-04-20,7.41,7.41,7.41,7.41
2005-04-21,7.6,7.6,7.6,7.6
2005-04-22,7.58,7.58,7.58,7.58
2005-04-25,7.57,7.57,7.57,7.57
2005-04-26,7.25,7.25,7.25,7.25
2005-04-27,7.2,7.2,7.2,7.2
2005-04-28,6.85,6.85,6.85,6.85
2005-04-29,6.6478,6.6478,6.6478,6.6478
2005-05-02,6.5,6.5,6.5,6.5
2005-05-03,6.65,6.65,6.65,6.65
2005-05-04,6.66,6.66,6.66,6.66
2005-05-05,6.73,6.73,6.73,6.73
2005-05-06,6.74,6.74,6.74,6.74
2005-05-09,6.37,6.37,6.37,6.37
2005-05-10,6.16,6.16,6.16,6.16
2005-05-11,5.89,5.89,5.89,5.89
2005-05-12,5.94,5.94,5.94,5.94
2005-05-13,5.7,5.7,5.7,5.7
2005-05-16,5.56,5.56,5.56,5.56
2005-05-17,5.73,5.73,5.73,5.73
2005-05-18,5.6595,5.6595,5.6595,5.6595
2005-05-19,5.9,5.9,5.9,5.9
2005-05-20,6.45,6.45,6.45,6.45
2005-05-23,6.4,6.4,6.4,6.4
2005-05-24,6.26,6.26,6.26,6.26
2005-05-25,6.39,6.39,6.39,6.39
2005-05-26,7.91,7.91,7.91,7.91
2005-05-27,7.45,7.45,7.45,7.45
2005-05-31,7.55,7.55,7.55,7.55
2005-06-01,7.53,7.53,7.53,7.53
2005-06-02,7.42,7.42,7.42,7.42
2005-06-03,8.6,8.6,8.6,8.6
2005-06-06,8.55,8.55,8.55,8.55
2005-06-07,8.52,8.52,8.52,8.52
2005-06-08,8.23,8.23,8.23,8.23
2005-06-09,8.34,8.34,8.34,8.34
2005-06-10,8.09,8.09,8.09,8.09
2005-06-13,8.28,8.28,8.28,8.28
2005-06-14,8.44,8.44,8.44,8.44
2005-06-15,8.8,8.8,8.8,8.8
2005-06-16,9.2,9.2,9.2,9.2
2005-06-17,8.98,8.98,8.98,8.98
2005-06-20,9.4,9.4,9.4,9.4
2005-06-21,9.26,9.26,9.26,9.26
2005-06-22,9.19,9.19,9.19,9.19
2005-06-23,9.36,9.36,9.36,9.36
2005-06-24,9.6936,9.6936,9.6936,9.6936
2005-06-27,9.65,9.65,9.65,9.65
2005-06-28,9.935,9.935,9.935,9.935
2005-06-29,10.45,10.45,10.45,10.45
2005-06-30,10.6,10.6,10.6,10.6
2005-07-01,11.0,11.0,11.0,11.0
2005-07-05,10.58,10.58,10.58,10.58
2005-07-06,10.72,10.72,10.72,10.72
2005-07-07,10.59,10.59,10.59,10.59
2005-07-08,10.93,10.93,10.93,10.93
2005-07-11,11.0,11.0,11.0,11.0
2005-07-12,11.1,11.1,11.1,11.1
2005-07-13,10.6,10.6,10.6,10.6
2005-07-14,10.16,10.16,10.16,10.16
2005-07-15,9.85,9.85,9.85,9.85
2005-07-18,9.2,9.2,9.2,9.2
