timestamp,open,high,low,close
2015-08-04,6.24,6.24,6.24,6.24
2015-08-05,6.3,6.3,6.3,6.3
2015-08-06,6.12,6.12,6.12,6.12
2015-08-07,6.18,6.18,6.18,6.18
2015-08-10,6.215,6.215,6.215,6.215
2015-08-11,5.7,5.7,5.7,5.7
2015-08-12,5.56,5.56,5.56,5.56
2015-08-13,5.89,5.89,5.89,5.89
2015-08-14,5.66,5.66,5.66,5.66
2015-08-17,5.65,5.65,5.65,5.65
2015-08-18,5.6649,5.6649,5.6649,5.6649
2015-08-19,5.52,5.52,5.52,5.52
2015-08-20,5.42,5.42,5.42,5.42
2015-08-21,5.35,5.35,5.35,5.35
2015-08-24,5.1,5.1,5.1,5.1
2015-08-25,5.23,5.23,5.23,5.23
2015-08-26,5.41,5.41,5.41,5.41
2015-08-27,5.51,5.51,5.51,5.51
2015-08-28,5.56,5.56,5.56,5.56
2015-08-31,5.37,5.37,5.37,5.37
2015-09-01,5.66,5.66,5.66,5.66
2015-09-02,5.64,5.64,5.64,5.64
2015-09-03,5.89,5.89,5.89,5.89
2015-09-04,5.55,5.55,5.55,5.55
2015-09-08,5.61,5.61,5.61,5.61
2015-09-09,5.56,5.56,5.56,5.56
2015-09-10,5.39,5.39,5.39,5.39
2015-09-11,5.37,5.37,5.37,5.37
2015-09-14,5.4,5.4,5.4,5.4
2015-09-15,5.61,5.61,5.61,5.61
2015-09-16,5.6,5.6,5.6,5.6
2015-09-17,5.57,5.57,5.57,5.57
2015-09-18,5.4893,5.4893,5.4893,5.4893
2015-09-21,5.445,5.445,5.445,5.445
2015-09-22,5.3234,5.3234,5.3234,5.3234
2015-09-23,5.2,5.2,5.2,5.2
2015-09-24,5.34,5.34,5.34,5.34
2015-09-25,5.51,5.51,5.51,5.51
2015-09-28,5.36,5.36,5.36,5.36
2015-09-29,5.34,5.34,5.34,5.34
2015-09-30,5.37,5.37,5.37,5.37
2015-10-01,5.5,5.5,5.5,5.5
2015-10-02,5.7,5.7,5.7,5.7
2015-10-05,5.75,5.75,5.75,5.75
2015-10-06,5.74,5.74,5.74,5.74
2015-10-07,5.8,5.8,5.8,5.8
2015-10-08,5.85,5.85,5.85,5.85
2015-10-09,5.84,5.84,5.84,5.84
2015-10-12,5.79,5.79,5.79,5.79
