timestamp,open,high,low,close
2004-01-02,52.34,52.34,52.34,52.34
2004-01-05,52.43,52.43,52.43,52.43
2004-01-06,53.34,53.34,53.34,53.34
2004-01-07,53.39,53.39,53.39,53.39
2004-01-08,53.2,53.2,53.2,53.2
2004-01-09,52.6,52.6,52.6,52.6
2004-01-12,52.55,52.55,52.55,52.55
2004-01-13,52.72,52.72,52.72,52.72
2004-01-14,53.1,53.1,53.1,53.1
2004-01-15,53.49,53.49,53.49,53.49
2004-01-16,53.48,53.48,53.48,53.48
2004-01-20,52.95,52.95,52.95,52.95
2004-01-21,53.45,53.45,53.45,53.45
2004-01-22,53.18,53.18,53.18,53.18
2004-01-23,54.21,54.21,54.21,54.21
2004-01-26,54.61,54.61,54.61,54.61
2004-01-27,54.43,54.43,54.43,54.43
2004-01-28,53.34,53.34,53.34,53.34
2004-01-29,54.4,54.4,54.4,54.4
2004-01-30,53.85,53.85,53.85,53.85
2004-02-02,54.69,54.69,54.69,54.69
2004-02-03,54.8,54.8,54.8,54.8
2004-02-04,55.39,55.39,55.39,55.39
2004-02-05,56.25,56.25,56.25,56.25
2004-02-06,57.45,57.45,57.45,57.45
2004-02-09,57.32,57.32,57.32,57.32
2004-02-10,57.53,57.53,57.53,57.53
2004-02-11,57.05,57.05,57.05,57.05
2004-02-12,56.98,56.98,56.98,56.98
2004-02-13,56.32,56.32,56.32,56.32
2004-02-17,57.6,57.6,57.6,57.6
2004-02-18,57.05,57.05,57.05,57.05
2004-02-19,58.4,58.4,58.4,58.4
2004-02-20,59.43,59.43,59.43,59.43
2004-02-23,60.1,60.1,60.1,60.1
2004-02-24,59.95,59.95,59.95,59.95
2004-02-25,59.71,59.71,59.71,59.71
2004-02-26,59.4,59.4,59.4,59.4
2004-02-27,59.56,59.56,59.56,59.56
2004-03-01,60.45,60.45,60.45,60.45
2004-03-02,59.55,59.55,59.55,59.55
2004-03-03,60.36,60.36,60.36,60.36
2004-03-04,60.8,60.8,60.8,60.8
2004-03-05,60.24,60.24,60.24,60.24
2004-03-08,60.46,60.46,60.46,60.46
2004-03-09,60.0,60.0,60.0,60.0
2004-03-10,58.0,58.0,58.0,58.0
2004-03-11,57.9,57.9,57.9,57.9
2004-03-12,58.48,58.48,58.48,58.48
2004-03-13,58.38,58.38,58.38,58.38
2004-03-15,57.9,57.9,57.9,57.9
2004-03-16,57.97,57.97,57.97,57.97
2004-03-17,58.4603,58.4603,58.4603,58.4603
2004-03-18,59.03,59.03,59.03,59.03
2004-03-19,58.6125,58.6125,58.6125,58.6125
2004-03-22,58.1,58.1,58.1,58.1
2004-03-23,58.25,58.25,58.25,58.25
2004-03-24,58.665,58.665,58.665,58.665
2004-03-25,59.85,59.85,59.85,59.85
2004-03-26,59.41,59.41,59.41,59.41
2004-03-29,60.13,60.13,60.13,60.13
2004-03-30,60.0,60.0,60.0,60.0
2004-03-31,59.69,59.69,59.69,59.69
2004-04-01,58.35,58.35,58.35,58.35
2004-04-02,58.6,58.6,58.6,58.6
2004-04-05,58.8,58.8,58.8,58.8
2004-04-06,58.7085,58.7085,58.7085,58.7085
2004-04-07,58.12,58.12,58.12,58.12
2004-04-08,56.55,56.55,56.55,56.55
2004-04-12,57.35,57.35,57.35,57.35
2004-04-13,56.48,56.48,56.48,56.48
2004-04-14,57.53,57.53,57.53,57.53
2004-04-15,57.79,57.79,57.79,57.79
2004-04-16,58.44,58.44,58.44,58.44
2004-04-19,58.37,58.37,58.37,58.37
2004-04-20,58.1291,58.1291,58.1291,58.1291
2004-04-21,58.3459,58.3459,58.3459,58.3459
2004-04-22,58.5051,58.5051,58.5051,58.5051
2004-04-23,58.97,58.97,58.97,58.97
2004-04-26,58.14,58.14,58.14,58.14
2004-04-27,58.6,58.6,58.6,58.6
2004-04-28,57.98,57.98,57.98,57.98
