timestamp,open,high,low,close
2004-01-02,17.08,17.16,16.9,16.96
2004-01-05,17.11,17.14,16.9,16.96
2004-01-06,16.99,17.02,16.88,16.955
2004-01-07,16.95,17.12,16.92,17.11
2004-01-08,17.14,17.31,17.1,17.31
2004-01-09,17.33,17.34,17.17,17.23
2004-01-12,17.15,17.22,17.09,17.11
2004-01-13,17.15,17.19,17.07,17.08
2004-01-14,17.19,17.22,17.11,17.15
2004-01-15,17.14,17.14,16.96,17.07
2004-01-16,17.15,17.15,16.96,16.99
2004-01-20,17.08,17.13,16.98,17.09
2004-01-21,17.19,17.3,17.14,17.28
2004-01-22,17.28,17.44,17.22,17.28
2004-01-23,17.32,17.38,17.05,17.11
2004-01-26,17.17,17.19,16.91,17.12
2004-01-27,17.18,17.19,16.95,16.95
2004-01-28,17.16,17.92,17.09,17.15
2004-01-29,17.21,17.4,17.06,17.22
2004-01-30,17.19,17.32,17.09,17.2608
2004-02-02,17.32,17.6,17.26,17.48
2004-02-03,17.4,17.5,17.3,17.45
2004-02-04,17.34,17.45,16.99,17.45
2004-02-05,17.1,17.18,16.96,17.1
2004-02-06,17.12,17.26,17.09,17.22
2004-02-09,17.16,17.29,17.1,17.28
2004-02-10,17.25,17.41,17.22,17.29
2004-02-11,17.29,17.45,17.1,17.45
2004-02-12,17.35,17.44,17.31,17.32
2004-02-13,17.36,17.42,17.24,17.24
2004-02-17,17.4,17.52,17.34,17.5
2004-02-18,17.53,17.65,17.42,17.5416
2004-02-19,17.54,17.61,17.44,17.44
2004-02-20,17.48,17.58,17.26,17.47
2004-02-23,17.5,17.54,17.42,17.48
2004-02-24,17.46,17.49,17.26,17.38
2004-02-25,17.34,17.5,17.31,17.4
2004-02-26,17.35,17.46,17.31,17.4346
2004-02-27,17.12,17.63,17.12,17.47
2004-03-01,17.59,18.02,17.51,17.95
2004-03-02,17.94,17.96,17.683,17.73
2004-03-03,17.72,17.75,17.52,17.72
2004-03-04,17.71,17.79,17.67,17.79
2004-03-05,17.73,17.92,17.71,17.84
2004-03-08,17.86,17.94,17.81,17.83
2004-03-09,17.83,17.91,17.76,17.86
2004-03-10,17.9,17.95,17.77,17.78
2004-03-11,17.75,17.8,17.51,17.61
2004-03-12,17.61,17.77,17.5,17.72
2004-03-15,17.67,17.89,17.67,17.88
2004-03-16,17.87,17.94,17.75,17.82
2004-03-17,17.88,18.27,17.86,18.24
2004-03-18,18.2,18.2,17.98,18.16
2004-03-19,18.11,18.33,18.09,18.2525
2004-03-22,18.08,18.26,18.08,18.25
2004-03-23,18.24,18.3,18.12,18.2
2004-03-24,18.08,18.23,18.03,18.14
2004-03-25,18.17,18.21,18.06,18.12
2004-03-26,18.07,18.16,18.02,18.02
2004-03-29,18.1,18.12,17.96,18.08
2004-03-30,18.08,18.08,17.95,17.98
2004-03-31,17.95,17.95,17.78,17.81
2004-04-01,17.88,18.01,17.85,17.97
2004-04-02,18.0,18.03,17.81,17.93
2004-04-05,17.89,17.91,17.75,17.85
2004-04-06,17.8,17.83,17.66,17.79
2004-04-07,17.79,17.83,17.71,17.78
2004-04-08,17.82,17.87,17.74,17.8
2004-04-12,17.82,17.82,17.33,17.41
2004-04-13,17.41,17.41,16.74,17.0
2004-04-14,16.81,17.07,16.65,17.06
2004-04-15,17.2,17.31,17.12,17.16
2004-04-16,17.18,17.23,16.96,16.99
2004-04-19,16.95,17.12,16.92,17.1
2004-04-20,17.16,17.16,16.9,16.9985
2004-04-21,17.0,17.0,16.75,16.8
2004-04-22,16.46,17.23,16.46,17.1205
2004-04-23,17.0,17.05,16.86,16.91
2004-04-26,16.88,17.0,16.7,16.86
2004-04-27,16.82,16.91,16.66,16.76
2004-04-28,16.85,17.24,16.83,17.15
2004-04-29,17.11,17.29,16.67,16.74
2004-04-30,16.88,16.88,16.62,16.69
2004-05-03,16.68,16.93,16.54,16.93
2004-05-04,16.92,16.95,16.8,16.81
2004-05-05,16.79,16.86,16.68,16.7055
2004-05-06,16.65,16.72,16.46,16.56
2004-05-07,16.58,16.64,15.97,16.12
2004-05-10,16.04,16.04,15.71,15.85
2004-05-11,15.89,15.9,15.54,15.67
2004-05-12,15.6,15.81,15.49,15.8016
2004-05-13,15.8,15.82,15.67,15.69
2004-05-14,15.72,15.89,15.6,15.8
2004-05-17,15.79,15.79,15.59,15.67
2004-05-18,15.67,15.87,15.66,15.86
2004-05-19,15.86,16.09,15.72,15.73
2004-05-20,15.74,16.03,15.7,15.93
2004-05-21,16.05,16.16,15.95,16.05
2004-05-24,16.08,16.23,16.05,16.05
2004-05-25,16.2,16.6,16.17,16.59
2004-05-26,16.54,16.75,16.480999999999998,16.69
2004-05-27,16.77,16.91,16.72,16.85
2004-05-28,16.87,17.0,16.79,16.99
2004-06-01,16.99,16.99,16.82,16.89
2004-06-02,16.9,16.94,16.73,16.8
2004-06-03,16.72,16.76,16.6,16.69
2004-06-04,16.74,16.8,16.66,16.73
2004-06-07,16.74,16.94,16.72,16.94
2004-06-08,16.92,16.93,16.71,16.8
2004-06-09,16.79,16.87,16.65,16.7
2004-06-10,16.72,16.79,16.67,16.74
2004-06-14,16.74,16.8,16.59,16.63
2004-06-15,16.7,16.78,16.6,16.68
2004-06-16,16.66,16.82,16.65,16.79
2004-06-17,16.8,16.83,16.68,16.8
2004-06-18,16.75,16.9,16.75,16.86
2004-06-21,16.92,17.22,16.87,17.09
2004-06-22,17.03,17.16,17.01,17.05
2004-06-23,17.04,17.23,17.0,17.23
2004-06-24,17.18,17.2,17.11,17.14
2004-06-25,17.08,17.15,16.51,17.09
2004-06-28,17.09,17.2,17.05,17.14
2004-06-29,17.15,17.17,16.85,16.91
2004-06-30,16.76,16.79,16.5,16.71
2004-07-01,16.73,16.77,16.38,16.43
2004-07-02,16.44,16.69,16.44,16.67
2004-07-06,16.63,16.78,16.62,16.74
2004-07-07,16.68,16.82,16.66,16.7497
2004-07-08,16.71,16.83,16.7,16.7
2004-07-09,16.76,16.8,16.61,16.79
2004-07-12,16.75,16.81,16.62,16.76
2004-07-13,16.76,16.8,16.66,16.8
2004-07-14,16.75,16.94,16.72,16.84
2004-07-15,16.9,17.04,16.88,17.0
2004-07-16,17.1,17.17,17.0,17.16
2004-07-19,17.19,17.23,17.09,17.18
2004-07-20,17.25,17.3909,17.16,17.32
2004-07-21,17.42,17.42,16.86,16.87
2004-07-22,16.85,16.9,16.67,16.68
2004-07-23,16.68,16.75,16.53,16.56
2004-07-26,16.55,16.65,16.45,16.48
2004-07-27,16.47,16.51,16.33,16.42
2004-07-28,16.45,16.71,16.36,16.65
2004-07-29,16.73,17.1,16.65,17.1
2004-07-30,17.08,17.15,17.02,17.11
2004-08-02,17.11,17.36,17.07,17.31
2004-08-03,17.29,17.31,17.21,17.23
2004-08-04,17.22,17.31,17.01,17.31
2004-08-05,17.23,17.38,17.1,17.1
2004-08-06,17.08,17.39,17.08,17.2346
2004-08-09,17.3,17.31,17.14,17.15
2004-08-10,17.23,17.29,17.11,17.29
2004-08-11,17.27,17.34,17.22,17.32
2004-08-12,17.25,17.33,17.2,17.25
2004-08-13,17.29,17.31,17.14,17.24
2004-08-16,17.21,17.31,17.17,17.29
2004-08-17,17.31,17.33,17.18,17.19
2004-08-18,17.22,17.53,17.22,17.51
2004-08-19,17.41,17.5,17.32,17.42
2004-08-20,17.41,17.54,17.38,17.53
2004-08-23,17.5,17.63,17.45,17.46
