timestamp,open,high,low,close
2004-01-02,16.765,16.765,16.765,16.765
2004-01-05,17.01,17.01,17.01,17.01
2004-01-06,17.5197,17.5197,17.5197,17.5197
2004-01-07,17.22,17.22,17.22,17.22
2004-01-08,17.27,17.27,17.27,17.27
2004-01-09,17.075,17.075,17.075,17.075
2004-01-12,17.275,17.275,17.275,17.275
2004-01-13,17.085,17.085,17.085,17.085
2004-01-14,17.3,17.3,17.3,17.3
2004-01-15,17.295,17.295,17.295,17.295
2004-01-16,17.19,17.19,17.19,17.19
2004-01-20,16.991,16.991,16.991,16.991
2004-01-21,17.405,17.405,17.405,17.405
2004-01-22,17.43,17.43,17.43,17.43
2004-01-23,17.535,17.535,17.535,17.535
2004-01-26,17.5967,17.5967,17.5967,17.5967
2004-01-27,16.98,16.98,16.98,16.98
2004-01-28,16.68,16.68,16.68,16.68
2004-01-29,16.2787,16.2787,16.2787,16.2787
2004-01-30,16.955,16.955,16.955,16.955
2004-02-02,16.875,16.875,16.875,16.875
2004-02-03,16.75,16.75,16.75,16.75
2004-02-04,16.725,16.725,16.725,16.725
2004-02-05,16.515,16.515,16.515,16.515
2004-02-06,16.625,16.625,16.625,16.625
2004-02-09,16.525,16.525,16.525,16.525
2004-02-10,16.59,16.59,16.59,16.59
2004-02-11,17.08,17.08,17.08,17.08
2004-02-12,17.625,17.625,17.625,17.625
2004-02-13,17.655,17.655,17.655,17.655
2004-02-17,17.75,17.75,17.75,17.75
2004-02-18,17.6858,17.6858,17.6858,17.6858
2004-02-19,17.8,17.8,17.8,17.8
2004-02-20,17.82,17.82,17.82,17.82
2004-02-23,17.765,17.765,17.765,17.765
2004-02-24,17.745,17.745,17.745,17.745
2004-02-25,18.025,18.025,18.025,18.025
2004-02-26,18.52,18.52,18.52,18.52
2004-02-27,18.515,18.515,18.515,18.515
2004-03-01,18.53,18.53,18.53,18.53
2004-03-02,18.585,18.585,18.585,18.585
2004-03-03,18.775,18.775,18.775,18.775
2004-03-04,19.05,19.05,19.05,19.05
2004-03-05,19.14,19.14,19.14,19.14
2004-03-08,18.95,18.95,18.95,18.95
2004-03-09,19.045,19.045,19.045,19.045
2004-03-10,18.525,18.525,18.525,18.525
2004-03-11,18.6193,18.6193,18.6193,18.6193
2004-03-12,18.59,18.59,18.59,18.59
2004-03-15,18.5402,18.5402,18.5402,18.5402
2004-03-16,18.455,18.455,18.455,18.455
2004-03-17,18.8444,18.8444,18.8444,18.8444
2004-03-18,18.64,18.64,18.64,18.64
2004-03-19,18.5563,18.5563,18.5563,18.5563
2004-03-22,18.305,18.305,18.305,18.305
2004-03-23,18.5829,18.5829,18.5829,18.5829
2004-03-24,18.485,18.485,18.485,18.485
2004-03-25,18.72,18.72,18.72,18.72
2004-03-26,18.73,18.73,18.73,18.73
2004-03-29,19.0219,19.0219,19.0219,19.0219
2004-03-30,19.325,19.325,19.325,19.325
2004-03-31,18.995,18.995,18.995,18.995
2004-04-01,19.025,19.025,19.025,19.025
2004-04-02,19.265,19.265,19.265,19.265
2004-04-05,19.745,19.745,19.745,19.745
2004-04-06,19.5764,19.5764,19.5764,19.5764
2004-04-07,19.515,19.515,19.515,19.515
2004-04-08,19.515,19.515,19.515,19.515
2004-04-12,19.56,19.56,19.56,19.56
2004-04-13,19.175,19.175,19.175,19.175
2004-04-14,18.905,18.905,18.905,18.905
2004-04-15,18.75,18.75,18.75,18.75
2004-04-16,19.195,19.195,19.195,19.195
2004-04-19,18.8795,18.8795,18.8795,18.8795
2004-04-20,18.3142,18.3142,18.3142,18.3142
2004-04-21,18.125,18.125,18.125,18.125
2004-04-22,19.7862,19.7862,19.7862,19.7862
2004-04-23,19.525,19.525,19.525,19.525
2004-04-26,19.3145,19.3145,19.3145,19.3145
2004-04-27,19.3935,19.3935,19.3935,19.3935
2004-04-28,19.33,19.33,19.33,19.33
2004-04-29,19.325,19.325,19.325,19.325
2004-04-30,19.395,19.395,19.395,19.395
2004-05-03,19.615,19.615,19.615,19.615
2004-05-04,19.38,19.38,19.38,19.38
2004-05-05,19.55,19.55,19.55,19.55
2004-05-06,19.405,19.405,19.405,19.405
2004-05-07,18.88,18.88,18.88,18.88
2004-05-10,18.7736,18.7736,18.7736,18.7736
2004-05-11,18.87,18.87,18.87,18.87
2004-05-12,18.655,18.655,18.655,18.655
2004-05-13,18.15,18.15,18.15,18.15
2004-05-14,18.16,18.16,18.16,18.16
2004-05-17,18.095,18.095,18.095,18.095
2004-05-18,18.31,18.31,18.31,18.31
2004-05-19,18.1,18.1,18.1,18.1
2004-05-20,17.86,17.86,17.86,17.86
2004-05-21,18.185,18.185,18.185,18.185
2004-05-24,18.185,18.185,18.185,18.185
2004-05-25,18.365,18.365,18.365,18.365
2004-05-26,18.4,18.4,18.4,18.4
2004-05-27,18.265,18.265,18.265,18.265
2004-05-28,18.75,18.75,18.75,18.75
2004-06-01,18.535,18.535,18.535,18.535
2004-06-02,18.555,18.555,18.555,18.555
2004-06-03,18.5194,18.5194,18.5194,18.5194
2004-06-04,18.535,18.535,18.535,18.535
2004-06-07,18.51,18.51,18.51,18.51
2004-06-08,19.01,19.01,19.01,19.01
2004-06-09,18.815,18.815,18.815,18.815
2004-06-10,18.725,18.725,18.725,18.725
2004-06-14,18.44,18.44,18.44,18.44
2004-06-15,18.69,18.69,18.69,18.69
2004-06-16,18.83,18.83,18.83,18.83
2004-06-17,18.87,18.87,18.87,18.87
2004-06-18,19.005,19.005,19.005,19.005
2004-06-21,18.715,18.715,18.715,18.715
2004-06-22,18.725,18.725,18.725,18.725
2004-06-23,18.705,18.705,18.705,18.705
2004-06-24,18.825,18.825,18.825,18.825
2004-06-25,18.81,18.81,18.81,18.81
2004-06-28,18.595,18.595,18.595,18.595
2004-06-29,18.615,18.615,18.615,18.615
2004-06-30,18.61,18.61,18.61,18.61
2004-07-01,18.52,18.52,18.52,18.52
2004-07-02,18.31,18.31,18.31,18.31
2004-07-06,17.94,17.94,17.94,17.94
2004-07-07,18.1094,18.1094,18.1094,18.1094
2004-07-08,17.965,17.965,17.965,17.965
2004-07-09,18.01,18.01,18.01,18.01
2004-07-12,18.35,18.35,18.35,18.35
2004-07-13,18.65,18.65,18.65,18.65
2004-07-14,18.9733,18.9733,18.9733,18.9733
2004-07-15,19.445,19.445,19.445,19.445
2004-07-16,19.24,19.24,19.24,19.24
2004-07-19,19.545,19.545,19.545,19.545
2004-07-20,19.61,19.61,19.61,19.61
2004-07-21,19.195,19.195,19.195,19.195
2004-07-22,19.085,19.085,19.085,19.085
2004-07-23,18.955,18.955,18.955,18.955
2004-07-26,19.06,19.06,19.06,19.06
2004-07-27,19.515,19.515,19.515,19.515
2004-07-28,19.2495,19.2495,19.2495,19.2495
2004-07-29,19.235,19.235,19.235,19.235
2004-07-30,19.215,19.215,19.215,19.215
2004-08-02,19.295,19.295,19.295,19.295
2004-08-03,19.13,19.13,19.13,19.13
2004-08-04,19.055,19.055,19.055,19.055
2004-08-05,18.6,18.6,18.6,18.6
2004-08-06,18.3867,18.3867,18.3867,18.3867
2004-08-09,18.575,18.575,18.575,18.575
2004-08-10,18.88,18.88,18.88,18.88
2004-08-11,18.5601,18.5601,18.5601,18.5601
2004-08-12,18.53,18.53,18.53,18.53
2004-08-13,18.735,18.735,18.735,18.735
2004-08-16,18.695,18.695,18.695,18.695
2004-08-17,18.9394,18.9394,18.9394,18.9394
2004-08-18,19.225,19.225,19.225,19.225
2004-08-19,19.18,19.18,19.18,19.18
2004-08-20,19.505,19.505,19.505,19.505
2004-08-23,19.41,19.41,19.41,19.41
2004-08-24,19.635,19.635,19.635,19.635
2004-08-25,19.78,19.78,19.78,19.78
2004-08-26,19.875,19.875,19.875,19.875
2004-08-27,19.6588,19.6588,19.6588,19.6588
2004-08-30,19.6,19.6,19.6,19.6
2004-08-31,19.855,19.855,19.855,19.855
2004-09-01,20.065,20.065,20.065,20.065
2004-09-02,19.99,19.99,19.99,19.99
2004-09-03,19.975,19.975,19.975,19.975
2004-09-07,19.885,19.885,19.885,19.885
2004-09-08,19.665,19.665,19.665,19.665
2004-09-09,20.305,20.305,20.305,20.305
2004-09-10,20.2457,20.2457,20.2457,20.2457
2004-09-13,20.43,20.43,20.43,20.43
2004-09-14,20.195,20.195,20.195,20.195
2004-09-15,20.15,20.15,20.15,20.15
2004-09-16,20.179,20.179,20.179,20.179
2004-09-17,20.3323,20.3323,20.3323,20.3323
2004-09-20,20.325,20.325,20.325,20.325
2004-09-21,20.315,20.315,20.315,20.315
2004-09-22,20.0,20.0,20.0,20.0
2004-09-23,20.085,20.085,20.085,20.085
2004-09-24,20.298,20.298,20.298,20.298
2004-09-27,20.08,20.08,20.08,20.08
2004-09-28,20.15,20.15,20.15,20.15
2004-09-29,20.215,20.215,20.215,20.215
2004-09-30,20.33,20.33,20.33,20.33
2004-10-01,20.195,20.195,20.195,20.195
2004-10-04,20.435,20.435,20.435,20.435
