Dates;FTSE;EuroStoxx50;SP500;Gold;French-2Y;French-5Y;French-10Y;French-30Y;US-2Y;US-5Y;US-10Y;US-30Y;Russel2000;EuroStox_Small;FTSE_Small;MSCI_EM;CRB
01/02/1989;2039.7;875.47;297.09;392.5;99.081;99.039;99.572;100;100.031;100.345;101.08;101.936;154.38;117.5;1636.57;133.584;286.67
02/02/1989;2043.4;878.08;296.84;392;98.898;99.117;99.278;99.692;100;100.314;101.017;101.905;154.94;117.69;1642.94;135.052;287.03
03/02/1989;2069.9;884.09;296.97;388.75;98.907;99.002;99.145;99.178;99.812;100.062;100.921;101.718;155.69;118.62;1659.11;137.134;285.63
06/02/1989;2044.3;885.49;296.04;388;98.484;98.502;98.51;97.739;99.812;100.062;100.794;101.468;155.58;118.89;1656.86;137.037;284.69
07/02/1989;2072.8;883.82;299.63;392.75;98.438;98.312;98.292;97.688;99.906;100.251;101.144;102.092;156.84;118.28;1662.76;136.914;284.21
08/02/1989;2096.2;891.81;298.65;390.5;98.558;98.658;98.756;97.893;99.812;100.156;101.016;101.655;157;118.73;1681.85;137.027;284.38
09/02/1989;2079.1;889.28;296.06;394.25;98.558;98.582;98.718;97.893;99.781;99.779;100.063;100.03;156.55;119.02;1685.32;137.093;285.47
10/02/1989;2056.1;888.1;292.02;390.25;98.677;98.506;98.576;98.355;99.624;99.308;99.458;99.093;155.07;118.97;1675.42;138.298;285.11
13/02/1989;2032.7;876.81;292.54;384.75;98.346;98.126;98.016;96.814;99.624;99.308;99.458;99.093;154.7;118.01;1666.27;137.205;284.01
14/02/1989;2049.1;878.7;291.81;386;98.163;98.012;97.741;96.197;99.624;99.151;99.172;98.625;154.98;117.99;1675.12;137.145;285.09
15/02/1989;2047.5;870.83;294.24;382;98.025;97.333;97.333;95.58;99.687;99.214;99.458;98.968;155.56;116.97;1677.66;138.239;285.49
16/02/1989;2033.8;872.89;294.81;382.25;98.117;97.333;97.627;95.786;99.718;99.308;99.427;99.124;155.56;117.24;1680.15;138.756;284.28
17/02/1989;2042.9;869.54;296.76;380.25;97.887;97.335;97.276;94.861;99.655;99.308;99.49;99.312;157.07;117.17;1680.31;139.226;284.68
20/02/1989;2065.8;876.73;296.76;382.5;97.795;97.04;97.105;95.169;99.655;99.308;99.49;99.312;157.07;117.78;1691.57;139.296;284.68
21/02/1989;2061;874.7;295.98;383.25;97.694;97.005;96.916;94.553;99.593;99.182;99.331;99.249;156.77;118.09;1698.77;140.528;286.28
22/02/1989;2033.7;867.41;290.91;386.25;97.722;96.856;96.527;94.039;99.405;98.868;98.886;98.593;155.39;117.89;1696;142.163;286.17
23/02/1989;2016.6;856.7;292.05;391.5;97.566;96.635;95.986;92.6;99.312;98.648;98.632;98.343;155.41;116.49;1687.35;142.447;286.82
24/02/1989;2019.5;864.05;287.13;389.25;97.612;96.747;96.014;93.319;99.187;98.491;98.314;97.906;154.25;117.56;1691.76;143.296;285.46
27/02/1989;1996.7;845.09;287.82;390.25;97.336;96.716;95.73;93.319;99.249;98.648;98.504;98.218;153.96;115.13;1681.28;142.916;287.09
28/02/1989;2002.4;852.86;288.86;387;97.612;97.053;96.546;93.833;99.374;98.899;99.045;98.718;154.56;115.97;1686.24;142.524;287.21
01/03/1989;2021.3;859.83;287.11;384.25;97.703;97.017;96.441;93.833;99.374;98.584;98.41;97.99;154.67;116.57;1696.35;142.08;286
02/03/1989;2039.7;860.68;289.95;383.25;97.703;97.13;96.242;94.039;99.405;98.805;98.854;98.75;155.68;117.04;1701.23;142.873;287.19
03/03/1989;2059.2;871.1;291.18;386.5;97.749;97.319;96.574;93.782;99.437;98.836;98.854;98.623;156.32;118.21;1714.22;145.321;288.09
06/03/1989;2072.8;879.28;294.81;386.5;98.025;97.624;97.228;93.987;99.531;98.994;99.204;99.129;157.24;118.54;1718.21;144.911;287.94
07/03/1989;2083.5;878.31;293.87;391.25;98.025;97.587;97.152;94.244;99.468;98.899;99.108;99.003;157.53;118.73;1727.61;145.117;286.67
08/03/1989;2083.3;872.83;294.08;394.75;97.951;97.513;96.953;94.244;99.499;99.025;99.235;99.382;157.9;118.38;1735.46;144.459;287.99
09/03/1989;2075.9;873.66;293.93;392;97.988;97.515;97.2;94.244;99.436;98.931;99.235;99.287;157.79;118.91;1736.62;146.164;287.51
10/03/1989;2085.2;870.96;292.88;393.25;98.07;97.592;96.801;94.655;99.186;98.457;98.632;98.338;157.75;118.63;1743.96;146.724;287.85
13/03/1989;2103;872.52;295.32;392.75;97.914;97.26;96.612;93.525;99.154;98.363;98.473;98.275;157.98;119.01;1748.32;146.036;287.96
14/03/1989;2125.4;876.31;295.14;395.5;97.933;97.299;97.01;94.347;99.217;98.552;98.822;98.718;157.73;119.27;1759.41;146.445;288.99
15/03/1989;2121.2;881.84;296.67;393;98.006;97.301;97.608;95.066;99.217;98.615;98.822;98.686;158.33;119.8;1760.59;147.94;289.18
16/03/1989;2112.6;882.9;299.44;388.25;97.979;97.731;97.826;94.758;99.248;98.583;98.854;98.718;159.27;119.99;1761.97;149.704;288.83
17/03/1989;2073.1;879.88;292.69;393;97.997;97.733;96.962;95.374;98.903;97.889;97.774;96.978;156.71;120.07;1745.79;150.21;289.09
20/03/1989;2053.6;853.38;289.92;396;97.657;97.254;96.697;94.295;98.684;97.479;97.361;96.598;155.3;116.77;1735.95;150.854;288
21/03/1989;2072.2;874.93;291.33;393;97.767;97.292;97.076;94.295;98.684;97.542;97.551;96.978;156.16;119.44;1742.12;149.93;288.08
22/03/1989;2048.6;874.77;290.49;394.25;97.951;97.554;97.389;94.336;98.903;97.826;98.028;97.516;156.03;119.61;1739.26;149.941;287.96
23/03/1989;2057;875.44;288.98;395.5;97.978;97.666;97.484;94.346;98.903;97.826;98.091;97.642;156.01;119.97;1740.69;150.183;287.48
24/03/1989;2057;875.9;288.98;395.5;97.978;97.666;97.484;94.346;98.903;97.826;98.091;97.642;156.01;120.1;1740.69;150.191;287.48
27/03/1989;2057;873.69;290.57;395.5;97.978;97.666;97.484;94.346;98.84;97.794;98.06;97.611;155.87;120.01;1740.69;151.225;287.14
28/03/1989;2070.5;875.62;291.59;387.75;97.886;97.861;97.531;94.655;98.84;97.826;98.187;97.895;156.57;120.32;1744.29;150.829;287.15
29/03/1989;2071.7;880.18;292.35;382.25;97.932;97.863;97.475;94.737;98.934;98.078;98.695;98.591;156.8;121.08;1742.37;151.058;286.65
30/03/1989;2049.4;882;292.52;384.25;97.978;98.012;97.655;94.911;98.903;98.047;98.599;98.37;156.76;121.06;1737.81;152.316;285.24
31/03/1989;2075;883.82;294.87;383.75;98.024;98.014;97.702;94.768;99.122;98.394;99.076;99.002;157.9;121.6;1739.92;155.992;285.12
03/04/1989;2079.6;891.11;296.39;384.75;98.116;98.243;98.085;95.528;99.341;98.772;99.425;99.16;158.29;122.43;1739.3;157.177;284.69
04/04/1989;2082.8;892.13;295.31;387;98.208;98.487;98.106;95.723;99.527;99.214;99.838;99.761;157.97;123.32;1740.81;158.697;284.67
05/04/1989;2078.2;893.29;296.24;383.25;98.208;98.62;98.158;95.98;99.403;98.993;99.648;99.635;158.52;123.53;1736.24;160.437;284.71
06/04/1989;2052.5;889.88;295.29;384.5;98.198;98.62;98.168;95.836;99.309;98.867;99.425;99.445;158.4;123.09;1730.25;159.916;284.15
07/04/1989;2045.7;891.2;297.16;382.25;98.253;98.621;98.116;95.764;99.278;98.583;99.044;98.812;159.27;123.84;1714.87;159.363;284.31
10/04/1989;2025;895.58;297.11;382.25;98.207;98.551;97.888;95.271;99.278;98.52;98.949;98.781;159.45;124.54;1705.86;161.378;283.94
11/04/1989;2031.3;899.74;298.49;385.25;98.226;98.44;98.064;95.271;99.309;98.614;99.107;98.907;160.33;125.13;1699.52;164.061;284.88
12/04/1989;2033;902.61;298.99;387.25;98.18;98.441;98.064;95.353;99.309;98.583;99.044;98.812;161.21;124.93;1703.24;165.84;285.01
13/04/1989;2028.7;902.29;296.4;389;98.226;98.367;98.064;95.631;99.153;98.299;98.663;98.338;160.53;125.1;1702.57;169.911;285.41
14/04/1989;2053.6;904.91;301.36;387.25;98.161;98.667;98.686;96.298;99.558;99.119;99.616;99.54;161.63;125.59;1705.75;172.687;286.24
17/04/1989;2054.7;909.4;301.72;385;98.207;98.746;98.758;96.966;99.465;98.962;99.52;99.318;161.45;126.14;1710.99;173.545;286.61
18/04/1989;2074.4;911.73;306.02;384.25;98.171;98.897;99.462;97.46;99.808;99.687;100.41;100.52;162.29;126.75;1717.15;172.691;286.58
19/04/1989;2087;911.97;307.15;383.25;98.345;99.067;99.69;97.737;99.776;99.687;100.346;100.33;162.46;126.81;1724.3;174.317;285.45
20/04/1989;2064.4;908.91;306.19;383;98.62;99.274;99.98;97.943;99.527;99.088;99.647;99.718;162.59;126.33;1718.56;175.644;284.87
21/04/1989;2061;908.9;309.61;384.5;98.115;98.508;99.048;96.709;99.589;99.309;99.87;100.045;163.31;127.18;1715.07;178.71;284.67
24/04/1989;2062;909.26;308.69;384.75;98.115;98.643;99.12;96.915;99.558;99.277;99.838;100.045;163.29;127.66;1717.71;180.889;284.01
25/04/1989;2071.2;904.67;306.75;385.5;98.106;98.645;99.099;96.935;99.714;99.498;100.155;100.393;163.28;127.43;1721.58;180.364;283.07
26/04/1989;2093.4;901.26;306.93;384;98.115;98.645;98.882;96.863;99.745;99.561;100.187;100.298;163.6;126.9;1727.96;183.169;283.56
27/04/1989;2115.7;901.96;309.58;384.25;98.069;98.684;98.561;96.606;99.901;100.003;100.536;100.836;164.28;126.95;1731.23;184.74;282.32
28/04/1989;2118;901.71;309.64;378.25;98.253;99.113;99.275;97.634;99.901;100.034;100.632;100.646;164.68;127.38;1737.26;184.242;282.6
01/05/1989;2118;900.64;309.12;378.25;98.253;99.113;99.275;97.634;99.715;99.561;99.965;99.95;164.29;127.22;1737.26;184.354;283.3
02/05/1989;2103.1;899.12;308.12;377.25;98.299;98.883;99.11;97.172;99.901;99.939;100.377;100.425;164.54;127.22;1739.07;186.211;284.09
03/05/1989;2105.7;897.81;308.16;378.25;98.299;98.903;99.182;97.449;99.901;99.782;100.219;99.792;164.78;127.04;1734.61;186.982;283.92
04/05/1989;2119;896.8;307.77;378.75;98.299;98.903;99.182;97.449;99.932;99.939;100.409;99.95;165.17;126.88;1740.86;184.066;283.11
05/05/1989;2132.8;904.73;307.61;375.75;98.189;98.924;99.42;97.737;100.179;100.349;100.759;100.361;165.72;127.51;1744.84;184.589;283.22
08/05/1989;2119.6;900.19;306;377.5;98.189;98.924;99.42;97.737;100.055;100.129;100.504;99.982;165.23;127.17;1747.57;186.997;283.36
09/05/1989;2125.1;898.8;305.19;376.75;98.115;98.734;98.757;96.925;99.87;99.655;99.774;98.906;165.31;127.14;1748.18;186.04;283.41
10/05/1989;2117;896.6;305.8;377.25;98.023;98.697;98.623;96.432;99.823;99.592;99.647;98.78;165.64;127.18;1745.36;184.596;284.18
11/05/1989;2110.6;893.82;306.95;379;98.042;98.505;98.499;96.092;100.024;100.034;100.091;99.302;166.05;126.9;1743.71;183.754;284.74
12/05/1989;2135.7;892.69;313.84;377.25;97.886;98.775;98.954;96.555;100.551;101.138;101.934;101.595;167.12;127.18;1747.42;181.113;284.97
15/05/1989;2149.9;891.69;316.16;373.75;97.886;98.775;98.954;96.555;100.365;100.98;101.838;101.468;167.32;126.92;1750.86;182.848;284.49
16/05/1989;2136.7;891.42;315.28;374;97.931;98.625;98.799;96.349;100.396;101.012;101.934;101.785;167.26;127.11;1749.66;183.787;283.58
17/05/1989;2155.8;890.49;317.48;370.25;97.885;98.434;98.488;96.195;100.334;100.791;101.807;101.974;168.27;126.66;1750.79;185.244;284.05
18/05/1989;2177.3;896.03;317.97;370.5;97.748;98.435;98.623;96.195;100.272;100.886;102.061;102.291;168.99;127.15;1752.77;185.104;283.43
19/05/1989;2204.7;898.16;321.24;365.75;97.83;98.661;98.995;96.709;100.334;101.075;102.474;102.923;169.64;127;1758.39;185.441;284.7
22/05/1989;2169;902.16;321.98;360.25;97.702;98.515;98.861;96.565;100.519;101.548;103.331;104.157;169.52;127.13;1751.52;182.334;283.03
23/05/1989;2151.6;904.47;318.32;364.5;97.839;98.631;99.202;97.14;100.519;101.517;103.109;104.03;169.06;128;1738.81;179.31;282.77
