Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1959-07-01,114.6,114.6,114.2,114.3
1959-07-02,114.2,114.4,113.7,114.4
1959-07-06,114.1,114.2,113.4,113.6
1959-07-07,113.5,114.6,113.5,114.3
1959-07-08,114.3,114.3,113.4,113.4
1959-07-09,113.4,114.3,113.4,114.1
1959-07-10,114.5,115.1,114.4,115.1
1959-07-13,114.0,114.4,113.6,113.6
1959-07-14,114.0,115.4,114.0,115.3
1959-07-15,115.3,115.4,114.4,114.5
1959-07-16,114.4,115.1,114.2,114.5
1959-07-17,114.7,114.7,114.5,114.6
1959-07-20,114.3,115.1,113.7,115.0
1959-07-21,115.0,115.1,114.5,114.5
1959-07-22,114.4,114.5,113.7,114.1
1959-07-23,113.7,113.7,113.0,113.0
1959-07-24,113.2,114.0,113.2,114.0
1959-07-27,113.7,114.3,113.5,113.6
1959-07-28,113.4,113.5,113.1,113.2
1959-07-29,113.1,113.5,113.1,113.2
1959-07-30,113.5,113.6,113.2,113.3
1959-07-31,113.4,113.7,113.3,113.6
1959-08-03,113.2,113.4,113.0,113.1
1959-08-04,113.0,113.4,112.7,113.2
1959-08-05,113.1,113.6,113.0,113.3
1959-08-06,113.1,113.1,112.3,112.4
1959-08-07,112.3,112.4,112.1,112.2
1959-08-10,112.1,112.5,112.0,112.1
1959-08-11,112.1,112.2,112.0,112.1
1959-08-12,111.7,112.0,111.6,111.7
1959-08-13,111.7,112.2,111.7,112.1
1959-08-14,112.3,112.5,112.3,112.4
1959-08-17,112.3,112.3,112.0,112.0
1959-08-18,112.1,112.1,111.7,112.0
1959-08-19,112.0,112.2,111.7,112.0
1959-08-20,112.0,112.2,111.7,112.1
1959-08-21,112.2,112.5,112.2,112.4
1959-08-24,112.1,112.4,112.0,112.2
1959-08-25,112.2,112.4,112.1,112.4
1959-08-26,112.3,112.4,112.2,112.2
1959-08-27,112.2,112.3,111.6,112.0
1959-08-28,111.7,111.7,111.5,111.6
1959-08-31,111.4,112.0,111.3,112.0
1959-09-01,112.0,112.2,111.7,112.0
1959-09-02,112.2,112.3,112.1,112.2
1959-09-03,112.2,112.3,112.0,112.3
1959-09-04,112.2,112.3,112.1,112.2
1959-09-08,112.3,112.3,111.6,111.7
1959-09-09,111.4,111.4,111.1,111.2
1959-09-10,111.2,111.4,111.1,111.2
1959-09-11,110.6,111.0,110.4,110.4
1959-09-14,110.3,110.3,110.1,110.1
1959-09-15,110.1,110.2,109.7,109.7
1959-09-16,110.0,110.3,110.0,110.0
1959-09-17,110.1,110.1,109.6,109.7
1959-09-18,109.7,110.0,109.5,109.6
1959-09-21,109.5,109.5,109.2,109.2
1959-09-22,113.2,113.6,113.1,113.3
1959-09-23,113.5,114.2,113.5,114.2
1959-09-24,114.4,114.6,114.2,114.2
1959-09-25,114.1,114.1,113.4,113.6
1959-09-28,113.6,114.0,113.5,114.0
1959-09-29,113.7,114.0,113.5,113.5
1959-09-30,113.4,113.7,113.3,113.5
1959-10-01,113.6,113.7,113.5,113.5
1959-10-02,113.6,114.3,113.6,114.1
1959-10-05,114.3,114.5,114.1,114.1
1959-10-06,114.1,114.3,114.1,114.2
1959-10-07,114.1,114.3,114.0,114.2
1959-10-08,114.1,114.4,114.1,114.2
1959-10-09,114.1,114.2,113.6,113.7
1959-10-12,113.3,113.7,113.2,113.2
1959-10-13,113.4,113.5,113.1,113.5
1959-10-14,113.2,113.2,113.0,113.1
