date,price
12/29/2006,1.542
12/28/2006,1.582
12/27/2006,1.588
12/26/2006,1.572
12/22/2006,1.623
12/21/2006,1.642
12/20/2006,1.676
12/19/2006,1.701
12/18/2006,1.662
12/15/2006,1.686
12/14/2006,1.665
12/13/2006,1.617
12/12/2006,1.595
12/11/2006,1.599
12/8/2006,1.621
12/7/2006,1.628
12/6/2006,1.621
12/5/2006,1.636
12/4/2006,1.667
12/1/2006,1.686
11/30/2006,1.819
11/29/2006,1.671
11/28/2006,1.627
11/27/2006,1.594
11/22/2006,1.589
11/21/2006,1.633
11/20/2006,1.554
11/17/2006,1.541
11/16/2006,1.53
11/15/2006,1.582
11/14/2006,1.545
11/13/2006,1.537
11/10/2006,1.563
11/9/2006,1.601
11/8/2006,1.564
11/7/2006,1.524
11/6/2006,1.529
11/3/2006,1.507
11/2/2006,1.453
11/1/2006,1.463
10/31/2006,1.465
10/30/2006,1.456
10/27/2006,1.56
10/26/2006,1.564
10/25/2006,1.592
10/24/2006,1.538
10/23/2006,1.472
10/20/2006,1.467
10/19/2006,1.489
10/18/2006,1.47
10/17/2006,1.463
10/16/2006,1.492
10/13/2006,1.468
10/12/2006,1.451
10/11/2006,1.45
10/10/2006,1.467
10/9/2006,1.495
10/6/2006,1.504
10/5/2006,1.517
10/4/2006,1.498
10/3/2006,1.457
10/2/2006,1.509
09/29/2006,1.549
09/28/2006,1.501
09/27/2006,1.54
09/26/2006,1.492
09/25/2006,1.5
09/22/2006,1.471
09/21/2006,1.499
09/20/2006,1.467
09/19/2006,1.504
09/18/2006,1.58
09/15/2006,1.575
09/14/2006,1.552
09/13/2006,1.553
09/12/2006,1.552
09/11/2006,1.595
09/8/2006,1.609
09/7/2006,1.642
09/6/2006,1.64
09/5/2006,1.647
09/1/2006,1.734
08/31/2006,1.75
08/30/2006,1.802
08/29/2006,1.789
08/28/2006,1.783
08/25/2006,1.895
08/24/2006,1.862
08/23/2006,1.859
08/22/2006,1.939
08/21/2006,1.937
08/18/2006,1.967
08/17/2006,1.932
08/16/2006,1.978
08/15/2006,1.992
08/14/2006,1.991
08/11/2006,2.064
08/10/2006,1.989
08/9/2006,2.172
08/8/2006,2.226
08/7/2006,2.252
08/4/2006,2.232
08/3/2006,2.293
08/2/2006,2.338
08/1/2006,2.276
07/31/2006,2.229
07/28/2006,2.234
07/27/2006,2.296
07/26/2006,2.296
07/25/2006,2.285
07/24/2006,2.314
07/21/2006,2.289
07/20/2006,2.248
07/19/2006,2.23
07/18/2006,2.267
07/17/2006,2.285
07/14/2006,2.325
07/13/2006,2.301
07/12/2006,2.256
07/11/2006,2.193
07/10/2006,2.175
07/7/2006,2.239
07/6/2006,2.259
07/5/2006,2.276
06/30/2006,2.202
06/29/2006,2.295
06/28/2006,2.206
06/27/2006,2.199
06/26/2006,2.179
06/23/2006,2.128
06/22/2006,2.118
06/21/2006,2.066
06/20/2006,2.006
06/19/2006,1.991
06/16/2006,2.038
06/15/2006,2.04
06/14/2006,2.036
06/13/2006,2.052
06/12/2006,2.124
06/9/2006,2.153
06/8/2006,2.102
06/7/2006,2.124
06/6/2006,2.179
06/5/2006,2.164
06/2/2006,2.198
06/1/2006,2.127
05/31/2006,2.141
05/30/2006,2.15
05/26/2006,2.137
05/25/2006,2.104
05/24/2006,2.019
05/23/2006,2.108
05/22/2006,2.057
05/19/2006,2.038
05/18/2006,2.015
05/17/2006,1.975
05/16/2006,2.026
05/15/2006,2.054
05/12/2006,2.179
05/11/2006,2.22
05/10/2006,2.169
05/9/2006,2.047
05/8/2006,2.004
05/5/2006,2.041
05/4/2006,1.995
05/3/2006,2.086
05/2/2006,2.175
05/1/2006,2.147
04/28/2006,2.092
04/27/2006,2.072
04/26/2006,2.134
04/25/2006,2.129
04/24/2006,2.174
04/21/2006,2.238
04/20/2006,2.215
04/19/2006,2.239
04/18/2006,2.224
04/17/2006,2.17
04/13/2006,2.108
04/12/2006,2.091
04/11/2006,2.054
04/10/2006,2.009
04/7/2006,1.977
04/6/2006,2
04/5/2006,1.947
04/4/2006,1.896
04/3/2006,1.863
03/31/2006,1.946
03/30/2006,1.996
03/29/2006,1.954
03/28/2006,1.885
03/27/2006,1.829
03/24/2006,1.823
03/23/2006,1.816
03/22/2006,1.737
03/21/2006,1.84
03/20/2006,1.83
03/17/2006,1.86
03/16/2006,1.874
03/15/2006,1.829
03/14/2006,1.866
03/13/2006,1.743
03/10/2006,1.688
03/9/2006,1.72
03/8/2006,1.65
03/7/2006,1.633
03/6/2006,1.656
03/3/2006,1.743
03/2/2006,1.693
03/1/2006,1.622
02/28/2006,1.556
02/27/2006,1.525
02/24/2006,1.551
02/23/2006,1.513
02/22/2006,1.475
02/21/2006,1.476
02/17/2006,1.503
02/16/2006,1.412
02/15/2006,1.385
02/14/2006,1.385
02/13/2006,1.431
02/10/2006,1.462
02/9/2006,1.514
02/8/2006,1.548
02/7/2006,1.594
02/6/2006,1.644
02/3/2006,1.682
02/2/2006,1.666
02/1/2006,1.729
01/31/2006,1.726
01/30/2006,1.775
01/27/2006,1.736
01/26/2006,1.684
01/25/2006,1.665
01/24/2006,1.744
01/23/2006,1.793
01/20/2006,1.817
01/19/2006,1.776
01/18/2006,1.773
01/17/2006,1.823
01/13/2006,1.731
01/12/2006,1.719
01/11/2006,1.733
01/10/2006,1.737
01/9/2006,1.768
01/6/2006,1.816
01/5/2006,1.787
01/4/2006,1.785
01/3/2006,1.751
12/30/2005,1.71
12/29/2005,1.652
12/28/2005,1.591
12/27/2005,1.513
12/23/2005,1.551
12/22/2005,1.541
12/21/2005,1.536
12/20/2005,1.509
12/19/2005,1.527
12/16/2005,1.569
12/15/2005,1.617
12/14/2005,1.641
12/13/2005,1.646
12/12/2005,1.647
12/9/2005,1.605
12/8/2005,1.627
12/7/2005,1.568
12/6/2005,1.584
12/5/2005,1.59
12/2/2005,1.611
12/1/2005,1.563
11/30/2005,1.425
11/29/2005,1.395
11/28/2005,1.418
11/23/2005,1.458
11/22/2005,1.488
11/21/2005,1.457
11/18/2005,1.462
11/17/2005,1.46
11/16/2005,1.483
11/15/2005,1.456
11/14/2005,1.496
11/11/2005,1.485
11/10/2005,1.507
11/9/2005,1.551
11/8/2005,1.562
11/7/2005,1.556
11/4/2005,1.608
11/3/2005,1.627
11/2/2005,1.569
11/1/2005,1.604
10/31/2005,1.526
10/28/2005,1.624
10/27/2005,1.593
10/26/2005,1.585
10/25/2005,1.654
10/24/2005,1.582
10/21/2005,1.64
10/20/2005,1.613
10/19/2005,1.676
10/18/2005,1.735
10/17/2005,1.815
10/14/2005,1.749
10/13/2005,1.758
10/12/2005,1.828
10/11/2005,1.833
10/10/2005,1.801
10/7/2005,1.829
10/6/2005,1.841
10/5/2005,1.908
10/4/2005,2.016
10/3/2005,2.062
09/30/2005,2.138
09/29/2005,2.252
09/28/2005,2.339
09/27/2005,2.166
09/26/2005,2.129
09/23/2005,2.086
09/22/2005,2.139
09/21/2005,2.053
09/20/2005,1.977
09/19/2005,2.043
09/16/2005,1.785
09/15/2005,1.899
09/14/2005,1.937
09/13/2005,1.892
09/12/2005,1.874
09/9/2005,1.96
09/8/2005,2.036
09/7/2005,2.022
09/6/2005,2.055
09/2/2005,2.184
09/1/2005,2.409
08/31/2005,2.615
08/30/2005,2.475
08/29/2005,2.061
08/26/2005,1.927
08/25/2005,1.964
08/24/2005,1.926
08/23/2005,1.858
08/22/2005,1.862
08/19/2005,1.904
08/18/2005,1.863
08/17/2005,1.891
08/16/2005,1.984
08/15/2005,1.962
08/12/2005,2.005
08/11/2005,1.95
08/10/2005,1.896
08/9/2005,1.822
08/8/2005,1.857
08/5/2005,1.832
08/4/2005,1.802
08/3/2005,1.771
08/2/2005,1.782
08/1/2005,1.747
07/29/2005,1.739
07/28/2005,1.722
07/27/2005,1.716
07/26/2005,1.696
07/25/2005,1.706
07/22/2005,1.728
07/21/2005,1.681
07/20/2005,1.676
07/19/2005,1.674
07/18/2005,1.647
