,leg_1,leg_2,coint_t,pvalue,hedge_ratio,hurst_exponent,half_life,crossovers
0,AJG,ICE,-5.147983659620082,1.1216930205026491e-05,0.8324063708606491,0.2803003575860494,1.1781467163424277,True
1,ABT,STE,-4.7549555309938745,6.626876222307934e-05,1.7228732688712358,0.2794651952447683,7.25324869137458,False
2,NTRS,RJF,-4.70208791252976,8.339605520560768e-05,1.0740651191580186,0.2697384956427923,1.2421562466147327,False
3,NSC,UNP,-4.660216193480452,9.989092645992373e-05,0.8383811292691428,0.3242200350027729,1.4510634470799704,True
4,NTRS,RF,-4.61611692081354,0.0001206168069132746,0.24335318118307875,0.2537121965385828,2.4601143959084384,True
5,APH,ORCL,-4.531470188837633,0.00017243548450799316,0.3571430117033584,0.32163578029650786,1.1471488516385007,True
6,EOG,FANG,-4.528536595667512,0.00017456596096897275,1.2339169880869334,0.34004637309261077,1.670930445887998,True
7,FANG,WMB,-4.511073960508412,0.00018777576856455558,0.12209588137753137,0.49970792316703216,2.4271103876687947,False
8,RF,SCHW,-4.457179646147333,0.00023480440867232506,2.509444187004382,0.3269616534771,3.81398389004013,False
9,MDT,ZBH,-4.446371183089225,0.00024549555318393034,1.2378482802999504,0.32650838899949114,3.2522475993642486,False
10,AVY,NOC,-4.402310671993148,0.0002940500971728567,2.923124964477975,0.3785409975830869,5.650699373220938,True
11,CMG,UA,-4.390322724385885,0.0003087594822774848,-0.015057566588254143,0.46250377745482896,2.543875111015674,False
12,EOG,WMB,-4.387542361938999,0.00031226926781990623,0.16348140947485662,0.4875773238581153,3.1523441140018735,True
13,CTXS,JKHY,-4.384426355332312,0.000316247663609254,1.283970246807812,0.312459527282072,33.29135361797777,True
14,MET,USB,-4.375731949264388,0.0003276037769046616,1.2850901145838127,0.3671324687016073,3.7149712099118313,False
15,AEP,SRE,-4.346653070044919,0.00036845512061987635,1.3802950827583504,0.24988730405493145,1.1899501890274922,True
16,FANG,MRO,-4.3276401310448485,0.00039772216649807063,0.15386622741278996,0.40522288316563027,57.29487755995276,False
17,ICE,MMC,-4.314325795865951,0.0004195110056584043,1.0725135035838131,0.35392874927932516,3.3123970250655166,True
18,AON,ICE,-4.300992016777289,0.0004424585318928937,0.4214094275951416,0.3133437047043226,1.9630799206081573,False
19,ABT,ZTS,-4.282496763059792,0.0004762573722621254,1.7419562257862584,0.2833581191165217,1.0882768127772935,True
20,AMAT,MCHP,-4.266025460844512,0.0005083948457325704,1.389704631003942,0.3041786607177734,1.3392890321094986,True
21,CB,HIG,-4.2572579092801375,0.0005263246934362712,0.46532525512039286,0.36178169261388765,1.801841448277375,True
22,PCAR,PWR,-4.246612156157917,0.0005488968913314956,0.7632824514679122,0.27663314736467,1.223112465790751,True
23,ANSS,KLAC,-4.235758059666686,0.0005728477760372512,0.5584663017472192,0.3438624891789903,1.2060193514338338,True
24,ITW,PCAR,-4.231485835107363,0.000582542180916174,0.3173153942188788,0.39309599267752415,1.1905468949740834,True
25,AVY,LMT,-4.229017120263076,0.0005882143238947437,3.047368092233216,0.35449423722430606,2.1447618423346335,True
26,DXC,JNPR,-4.228593519172183,0.0005891928051897903,0.06038192040672085,0.3474782367638611,1.1018473862099805,True
27,J,WM,-4.210017378175406,0.0006336406393706495,1.25612750818868,0.3363159864773907,8.241238157468583,True
28,DOV,RSG,-4.187513255124897,0.0006917127788435367,0.7692703475996345,0.3851553267185509,2.754089690005535,True
29,MMC,WLTW,-4.17353483966172,0.0007302646004655164,1.758648451897221,0.3303928972242896,2.3532195247023973,True
30,EOG,MRO,-4.1728214934889305,0.0007322851128403494,0.19674585034914988,0.3481821820918613,8.144012861431632,True
31,NWS,NWSA,-4.168106101429552,0.0007457738255534269,0.9964038363366893,0.196929272990682,36.02573997891964,True
32,CFG,FITB,-4.159279342650729,0.0007716526948079764,0.6719134312998304,0.34222779879947834,6.753699539540018,True
33,NTRS,SCHW,-4.126793245167511,0.0008743374718752861,0.5991178210284565,0.3314009743049367,2.1384266945852968,True
34,DPZ,LOW,-4.12320985718844,0.0008864171294329283,0.24060924426856906,0.48065810717644913,1.3269911641991554,False
35,BR,MXIM,-4.120380883941932,0.0008960639196302089,0.3365188522845013,0.3258274328531524,1.2452461677109172,True
36,NTRS,TFC,-4.111236149595668,0.0009279245616585882,0.5043902065140775,0.32124593301262827,46.30103669152844,True
37,MAS,PCAR,-4.105790525788812,0.0009473981674210731,1.3149322893796545,0.3535467276105335,1.6326211831629336,True
38,MHK,UA,-4.094890027130601,0.0009875333557993209,0.04848987519256953,0.46374809022934815,8.816025500892497,False
39,CMI,PWR,-4.092732123444359,0.0009956650322776952,0.24587176389841062,0.3531169186158334,9.213919206664746,True
40,ES,WEC,-4.0720507452956465,0.0010768400592929468,1.1981475574082163,0.28024553964756815,2.4413154110031177,True
41,BBY,DPZ,-4.068836129048132,0.0010899996762201655,4.375281479890002,0.4269018661901305,1.000624724101605,False
42,DRI,VFC,-4.063104628025102,0.0011138362221076818,0.5914576692128638,0.3168341870463035,2.411957782125371,True
43,ADI,FIS,-4.058951685891647,0.001131411101025882,1.255980847835411,0.3471111618171029,2.6244562728599368,True
44,GPN,J,-4.053503448538763,0.001154860532816519,0.3904480580431774,0.37979562057194255,1.2388838553082195,True
45,CMS,LNT,-4.050546113988753,0.0011677783000994626,0.7925769608311691,0.28818814679232535,5.088663161709118,False
46,AZO,UA,-4.047049874558827,0.0011832240378780497,-0.01976744991503619,0.45072240953386405,2.104357207003426,False
47,EXPE,HAS,-4.03652003710976,0.0012309028386387967,0.5655865226054729,0.3000806587609892,1.2023035113868905,False
48,FIS,GRMN,-4.024894109755507,0.0012856238769324187,0.7440606296392177,0.4241554263317482,2.1482849277686555,False
49,L,USB,-4.019203308828933,0.00131322871861823,1.1451794909913584,0.41520131590785714,7.664070925304522,True
50,HBAN,MTB,-4.012933518641664,0.0013442813406608501,12.049758447699658,0.39770714226137005,6.841197538865312,False
51,GM,MGM,-4.001889233845717,0.0014006509146162439,1.0903915992327347,0.4118056780176076,2.5791343871490873,True
52,HIG,MET,-3.987874423702998,0.0014753523050899402,0.7821016055539647,0.3328963272933416,4.477881065041113,False
